"","Alabama","","","","Alaska","","","","Arizona","","","","Arkansas","","","","California","","","","Colorado","","","","Connecticut","","","","Delaware","","","","District of Columbia","","","","Florida","","","","Georgia","","","","Hawaii","","","","Idaho","","","","Illinois","","","","Indiana","","","","Iowa","","","","Kansas","","","","Kentucky","","","","Louisiana","","","","Maine","","","","Maryland","","","","Massachusetts","","","","Michigan","","","","Minnesota","","","","Mississippi","","","","Missouri","","","","Montana","","","","Nebraska","","","","Nevada","","","","New Hampshire","","","","New Jersey","","","","New Mexico","","","","New York","","","","North Carolina","","","","North Dakota","","","","Ohio","","","","Oklahoma","","","","Oregon","","","","Pennsylvania","","","","Rhode Island","","","","South Carolina","","","","South Dakota","","","","Tennessee","","","","Texas","","","","Utah","","","","Vermont","","","","Virginia","","","","Washington","","","","West Virginia","","","","Wisconsin","","","","Wyoming","","","","Puerto Rico","","",""
"Label (Grouping)","Alabama!!Estimate","Alabama!!Margin of Error","Alabama!!Percent","Alabama!!Percent Margin of Error","Alaska!!Estimate","Alaska!!Margin of Error","Alaska!!Percent","Alaska!!Percent Margin of Error","Arizona!!Estimate","Arizona!!Margin of Error","Arizona!!Percent","Arizona!!Percent Margin of Error","Arkansas!!Estimate","Arkansas!!Margin of Error","Arkansas!!Percent","Arkansas!!Percent Margin of Error","California!!Estimate","California!!Margin of Error","California!!Percent","California!!Percent Margin of Error","Colorado!!Estimate","Colorado!!Margin of Error","Colorado!!Percent","Colorado!!Percent Margin of Error","Connecticut!!Estimate","Connecticut!!Margin of Error","Connecticut!!Percent","Connecticut!!Percent Margin of Error","Delaware!!Estimate","Delaware!!Margin of Error","Delaware!!Percent","Delaware!!Percent Margin of Error","District of Columbia!!Estimate","District of Columbia!!Margin of Error","District of Columbia!!Percent","District of Columbia!!Percent Margin of Error","Florida!!Estimate","Florida!!Margin of Error","Florida!!Percent","Florida!!Percent Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Georgia!!Percent","Georgia!!Percent Margin of Error","Hawaii!!Estimate","Hawaii!!Margin of Error","Hawaii!!Percent","Hawaii!!Percent Margin of Error","Idaho!!Estimate","Idaho!!Margin of Error","Idaho!!Percent","Idaho!!Percent Margin of Error","Illinois!!Estimate","Illinois!!Margin of Error","Illinois!!Percent","Illinois!!Percent Margin of Error","Indiana!!Estimate","Indiana!!Margin of Error","Indiana!!Percent","Indiana!!Percent Margin of Error","Iowa!!Estimate","Iowa!!Margin of Error","Iowa!!Percent","Iowa!!Percent Margin of Error","Kansas!!Estimate","Kansas!!Margin of Error","Kansas!!Percent","Kansas!!Percent Margin of Error","Kentucky!!Estimate","Kentucky!!Margin of Error","Kentucky!!Percent","Kentucky!!Percent Margin of Error","Louisiana!!Estimate","Louisiana!!Margin of Error","Louisiana!!Percent","Louisiana!!Percent Margin of Error","Maine!!Estimate","Maine!!Margin of Error","Maine!!Percent","Maine!!Percent Margin of Error","Maryland!!Estimate","Maryland!!Margin of Error","Maryland!!Percent","Maryland!!Percent Margin of Error","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","Michigan!!Estimate","Michigan!!Margin of Error","Michigan!!Percent","Michigan!!Percent Margin of Error","Minnesota!!Estimate","Minnesota!!Margin of Error","Minnesota!!Percent","Minnesota!!Percent Margin of Error","Mississippi!!Estimate","Mississippi!!Margin of Error","Mississippi!!Percent","Mississippi!!Percent Margin of Error","Missouri!!Estimate","Missouri!!Margin of Error","Missouri!!Percent","Missouri!!Percent Margin of Error","Montana!!Estimate","Montana!!Margin of Error","Montana!!Percent","Montana!!Percent Margin of Error","Nebraska!!Estimate","Nebraska!!Margin of Error","Nebraska!!Percent","Nebraska!!Percent Margin of Error","Nevada!!Estimate","Nevada!!Margin of Error","Nevada!!Percent","Nevada!!Percent Margin of Error","New Hampshire!!Estimate","New Hampshire!!Margin of Error","New Hampshire!!Percent","New Hampshire!!Percent Margin of Error","New Jersey!!Estimate","New Jersey!!Margin of Error","New Jersey!!Percent","New Jersey!!Percent Margin of Error","New Mexico!!Estimate","New Mexico!!Margin of Error","New Mexico!!Percent","New Mexico!!Percent Margin of Error","New York!!Estimate","New York!!Margin of Error","New York!!Percent","New York!!Percent Margin of Error","North Carolina!!Estimate","North Carolina!!Margin of Error","North Carolina!!Percent","North Carolina!!Percent Margin of Error","North Dakota!!Estimate","North Dakota!!Margin of Error","North Dakota!!Percent","North Dakota!!Percent Margin of Error","Ohio!!Estimate","Ohio!!Margin of Error","Ohio!!Percent","Ohio!!Percent Margin of Error","Oklahoma!!Estimate","Oklahoma!!Margin of Error","Oklahoma!!Percent","Oklahoma!!Percent Margin of Error","Oregon!!Estimate","Oregon!!Margin of Error","Oregon!!Percent","Oregon!!Percent Margin of Error","Pennsylvania!!Estimate","Pennsylvania!!Margin of Error","Pennsylvania!!Percent","Pennsylvania!!Percent Margin of Error","Rhode Island!!Estimate","Rhode Island!!Margin of Error","Rhode Island!!Percent","Rhode Island!!Percent Margin of Error","South Carolina!!Estimate","South Carolina!!Margin of Error","South Carolina!!Percent","South Carolina!!Percent Margin of Error","South Dakota!!Estimate","South Dakota!!Margin of Error","South Dakota!!Percent","South Dakota!!Percent Margin of Error","Tennessee!!Estimate","Tennessee!!Margin of Error","Tennessee!!Percent","Tennessee!!Percent Margin of Error","Texas!!Estimate","Texas!!Margin of Error","Texas!!Percent","Texas!!Percent Margin of Error","Utah!!Estimate","Utah!!Margin of Error","Utah!!Percent","Utah!!Percent Margin of Error","Vermont!!Estimate","Vermont!!Margin of Error","Vermont!!Percent","Vermont!!Percent Margin of Error","Virginia!!Estimate","Virginia!!Margin of Error","Virginia!!Percent","Virginia!!Percent Margin of Error","Washington!!Estimate","Washington!!Margin of Error","Washington!!Percent","Washington!!Percent Margin of Error","West Virginia!!Estimate","West Virginia!!Margin of Error","West Virginia!!Percent","West Virginia!!Percent Margin of Error","Wisconsin!!Estimate","Wisconsin!!Margin of Error","Wisconsin!!Percent","Wisconsin!!Percent Margin of Error","Wyoming!!Estimate","Wyoming!!Margin of Error","Wyoming!!Percent","Wyoming!!Percent Margin of Error","Puerto Rico!!Estimate","Puerto Rico!!Margin of Error","Puerto Rico!!Percent","Puerto Rico!!Percent Margin of Error"
"HOUSING OCCUPANCY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total housing units","2,182,199","±249","2,182,199","(X)","311,182","±194","311,182","(X)","2,864,360","±369","2,864,360","(X)","1,324,471","±234","1,324,471","(X)","13,721,187","±730","13,721,187","(X)","2,224,661","±359","2,224,661","(X)","1,494,042","±230","1,494,042","(X)","409,779","±736","409,779","(X)","298,908","±51","298,908","(X)","9,027,271","±1,180","9,027,271","(X)","4,103,118","±411","4,103,118","(X)","522,314","±118","522,314","(X)","674,394","±189","674,394","(X)","5,296,209","±1,208","5,296,209","(X)","2,800,799","±396","2,800,799","(X)","1,340,588","±287","1,340,588","(X)","1,237,738","±367","1,237,738","(X)","1,932,731","±270","1,932,731","(X)","1,978,974","±263","1,978,974","(X)","725,650","±249","725,650","(X)","2,391,508","±329","2,391,508","(X)","2,819,028","±246","2,819,028","(X)","4,525,654","±338","4,525,654","(X)","2,354,075","±405","2,354,075","(X)","1,281,760","±248","1,281,760","(X)","2,723,449","±319","2,723,449","(X)","489,183","±119","489,183","(X)","801,182","±185","801,182","(X)","1,183,917","±133","1,183,917","(X)","617,702","±142","617,702","(X)","3,562,720","±312","3,562,720","(X)","908,168","±178","908,168","(X)","8,119,804","±706","8,119,804","(X)","4,362,956","±384","4,362,956","(X)","320,888","±121","320,888","(X)","5,133,528","±397","5,133,528","(X)","1,674,724","±191","1,674,724","(X)","1,684,244","±278","1,684,244","(X)","5,579,394","±523","5,579,394","(X)","464,741","±84","464,741","(X)","2,157,063","±687","2,157,063","(X)","366,521","±278","366,521","(X)","2,829,125","±239","2,829,125","(X)","10,099,242","±1,506","10,099,242","(X)","993,125","±165","993,125","(X)","324,385","±95","324,385","(X)","3,387,801","±429","3,387,801","(X)","2,907,605","±257","2,907,605","(X)","881,821","±210","881,821","(X)","2,634,806","±1,169","2,634,806","(X)","265,554","±96","265,554","(X)","1,567,959","±6,908","1,567,959","(X)"
"    Occupied housing units","1,844,546","±11,416","84.5%","±0.5","257,330","±3,380","82.7%","±1.1","2,356,055","±12,130","82.3%","±0.4","1,127,621","±7,837","85.1%","±0.6","12,468,743","±22,250","90.9%","±0.2","1,975,388","±9,057","88.8%","±0.4","1,351,643","±7,309","90.5%","±0.5","333,192","±3,426","81.3%","±0.9","268,670","±3,200","89.9%","±1.1","7,106,283","±31,131","78.7%","±0.3","3,494,542","±15,336","85.2%","±0.4","448,563","±5,562","85.9%","±1.1","580,193","±6,204","86.0%","±0.9","4,737,208","±12,865","89.4%","±0.2","2,467,111","±11,107","88.1%","±0.4","1,216,765","±7,072","90.8%","±0.5","1,101,701","±5,567","89.0%","±0.5","1,672,134","±9,367","86.5%","±0.5","1,702,030","±9,725","86.0%","±0.5","552,051","±5,238","76.1%","±0.7","2,134,517","±9,936","89.3%","±0.4","2,532,067","±9,349","89.8%","±0.3","3,772,433","±14,208","83.4%","±0.3","2,096,477","±7,824","89.1%","±0.3","1,080,991","±8,431","84.3%","±0.7","2,341,074","±10,807","86.0%","±0.4","404,250","±4,567","82.6%","±0.9","723,800","±4,514","90.3%","±0.6","982,352","±9,598","83.0%","±0.8","516,454","±4,150","83.6%","±0.7","3,167,629","±9,918","88.9%","±0.3","767,285","±6,715","84.5%","±0.7","7,187,938","±18,167","88.5%","±0.2","3,683,364","±19,202","84.4%","±0.4","283,440","±2,528","88.3%","±0.8","4,538,555","±15,280","88.4%","±0.3","1,442,731","±7,338","86.1%","±0.4","1,516,979","±8,379","90.1%","±0.5","4,937,333","±13,801","88.5%","±0.2","412,259","±3,948","88.7%","±0.9","1,768,834","±12,783","82.0%","±0.6","323,215","±3,255","88.2%","±0.9","2,467,428","±12,592","87.2%","±0.4","8,850,370","±21,114","87.6%","±0.2","884,253","±5,722","89.0%","±0.6","257,358","±2,656","79.3%","±0.8","2,990,650","±13,887","88.3%","±0.4","2,632,621","±9,876","90.5%","±0.3","735,408","±6,147","83.4%","±0.7","2,275,352","±8,388","86.4%","±0.3","222,539","±3,310","83.8%","±1.3","1,256,151","±8,804","80.1%","±0.4"
"    Vacant housing units","337,653","±11,507","15.5%","±0.5","53,852","±3,386","17.3%","±1.1","508,305","±12,046","17.7%","±0.4","196,850","±7,921","14.9%","±0.6","1,252,444","±22,254","9.1%","±0.2","249,273","±9,119","11.2%","±0.4","142,399","±7,284","9.5%","±0.5","76,587","±3,563","18.7%","±0.9","30,238","±3,197","10.1%","±1.1","1,920,988","±31,127","21.3%","±0.3","608,576","±15,274","14.8%","±0.4","73,751","±5,554","14.1%","±1.1","94,201","±6,230","14.0%","±0.9","559,001","±12,520","10.6%","±0.2","333,688","±11,290","11.9%","±0.4","123,823","±7,161","9.2%","±0.5","136,037","±5,692","11.0%","±0.5","260,597","±9,472","13.5%","±0.5","276,944","±9,814","14.0%","±0.5","173,599","±5,288","23.9%","±0.7","256,991","±9,981","10.7%","±0.4","286,961","±9,342","10.2%","±0.3","753,221","±14,154","16.6%","±0.3","257,598","±7,977","10.9%","±0.3","200,769","±8,421","15.7%","±0.7","382,375","±10,755","14.0%","±0.4","84,933","±4,588","17.4%","±0.9","77,382","±4,526","9.7%","±0.6","201,565","±9,573","17.0%","±0.8","101,248","±4,169","16.4%","±0.7","395,091","±9,944","11.1%","±0.3","140,883","±6,743","15.5%","±0.7","931,866","±18,228","11.5%","±0.2","679,592","±19,324","15.6%","±0.4","37,448","±2,551","11.7%","±0.8","594,973","±15,288","11.6%","±0.3","231,993","±7,324","13.9%","±0.4","167,265","±8,370","9.9%","±0.5","642,061","±13,718","11.5%","±0.2","52,482","±3,967","11.3%","±0.9","388,229","±12,752","18.0%","±0.6","43,306","±3,341","11.8%","±0.9","361,697","±12,678","12.8%","±0.4","1,248,872","±21,442","12.4%","±0.2","108,872","±5,725","11.0%","±0.6","67,027","±2,648","20.7%","±0.8","397,151","±13,925","11.7%","±0.4","274,984","±9,841","9.5%","±0.3","146,413","±6,200","16.6%","±0.7","359,454","±8,722","13.6%","±0.3","43,015","±3,325","16.2%","±1.3","311,808","±6,667","19.9%","±0.4"
"    Homeowner vacancy rate","2.6","±0.3","(X)","(X)","1.2","±0.4","(X)","(X)","3.8","±0.4","(X)","(X)","2.4","±0.4","(X)","(X)","2.1","±0.1","(X)","(X)","2.3","±0.2","(X)","(X)","1.7","±0.3","(X)","(X)","2.4","±0.6","(X)","(X)","2.2","±0.8","(X)","(X)","3.6","±0.2","(X)","(X)","4.0","±0.3","(X)","(X)","2.2","±0.6","(X)","(X)","2.4","±0.6","(X)","(X)","2.8","±0.2","(X)","(X)","2.4","±0.2","(X)","(X)","1.9","±0.3","(X)","(X)","2.5","±0.4","(X)","(X)","2.4","±0.2","(X)","(X)","2.0","±0.3","(X)","(X)","2.2","±0.4","(X)","(X)","2.1","±0.3","(X)","(X)","1.4","±0.2","(X)","(X)","2.9","±0.2","(X)","(X)","1.5","±0.2","(X)","(X)","1.8","±0.3","(X)","(X)","2.7","±0.3","(X)","(X)","2.5","±0.5","(X)","(X)","2.0","±0.3","(X)","(X)","4.1","±0.6","(X)","(X)","1.5","±0.3","(X)","(X)","1.9","±0.2","(X)","(X)","1.9","±0.4","(X)","(X)","2.1","±0.1","(X)","(X)","2.7","±0.3","(X)","(X)","1.3","±0.4","(X)","(X)","2.4","±0.2","(X)","(X)","2.5","±0.3","(X)","(X)","2.1","±0.3","(X)","(X)","2.0","±0.1","(X)","(X)","2.1","±0.6","(X)","(X)","2.7","±0.3","(X)","(X)","1.9","±0.5","(X)","(X)","2.3","±0.3","(X)","(X)","2.3","±0.1","(X)","(X)","2.5","±0.4","(X)","(X)","2.2","±0.5","(X)","(X)","2.0","±0.2","(X)","(X)","2.0","±0.2","(X)","(X)","2.4","±0.4","(X)","(X)","2.3","±0.2","(X)","(X)","1.9","±0.7","(X)","(X)","3.8","±0.3","(X)","(X)"
"    Rental vacancy rate","8.3","±0.8","(X)","(X)","5.9","±1.2","(X)","(X)","10.2","±0.8","(X)","(X)","10.0","±0.9","(X)","(X)","4.9","±0.2","(X)","(X)","5.6","±0.5","(X)","(X)","7.9","±0.8","(X)","(X)","8.6","±1.7","(X)","(X)","4.9","±1.0","(X)","(X)","10.9","±0.4","(X)","(X)","10.7","±0.6","(X)","(X)","8.4","±1.4","(X)","(X)","5.5","±1.2","(X)","(X)","7.3","±0.4","(X)","(X)","8.5","±0.6","(X)","(X)","6.6","±0.8","(X)","(X)","8.1","±0.7","(X)","(X)","7.9","±0.7","(X)","(X)","8.2","±0.6","(X)","(X)","7.7","±1.1","(X)","(X)","7.1","±0.7","(X)","(X)","4.8","±0.4","(X)","(X)","7.7","±0.5","(X)","(X)","5.4","±0.6","(X)","(X)","13.1","±1.2","(X)","(X)","8.2","±0.6","(X)","(X)","7.6","±1.2","(X)","(X)","6.4","±0.9","(X)","(X)","11.7","±0.9","(X)","(X)","4.3","±0.9","(X)","(X)","7.0","±0.4","(X)","(X)","7.4","±0.9","(X)","(X)","4.5","±0.2","(X)","(X)","9.3","±0.6","(X)","(X)","4.5","±1.3","(X)","(X)","7.9","±0.4","(X)","(X)","8.5","±0.8","(X)","(X)","5.1","±0.6","(X)","(X)","6.1","±0.4","(X)","(X)","5.8","±0.9","(X)","(X)","12.1","±0.9","(X)","(X)","7.4","±1.6","(X)","(X)","8.5","±0.6","(X)","(X)","9.2","±0.3","(X)","(X)","5.4","±0.9","(X)","(X)","4.2","±1.0","(X)","(X)","7.5","±0.5","(X)","(X)","5.6","±0.6","(X)","(X)","8.1","±1.0","(X)","(X)","5.2","±0.5","(X)","(X)","9.1","±2.2","(X)","(X)","8.7","±0.7","(X)","(X)"
"UNITS IN STRUCTURE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total housing units","2,182,199","±249","2,182,199","(X)","311,182","±194","311,182","(X)","2,864,360","±369","2,864,360","(X)","1,324,471","±234","1,324,471","(X)","13,721,187","±730","13,721,187","(X)","2,224,661","±359","2,224,661","(X)","1,494,042","±230","1,494,042","(X)","409,779","±736","409,779","(X)","298,908","±51","298,908","(X)","9,027,271","±1,180","9,027,271","(X)","4,103,118","±411","4,103,118","(X)","522,314","±118","522,314","(X)","674,394","±189","674,394","(X)","5,296,209","±1,208","5,296,209","(X)","2,800,799","±396","2,800,799","(X)","1,340,588","±287","1,340,588","(X)","1,237,738","±367","1,237,738","(X)","1,932,731","±270","1,932,731","(X)","1,978,974","±263","1,978,974","(X)","725,650","±249","725,650","(X)","2,391,508","±329","2,391,508","(X)","2,819,028","±246","2,819,028","(X)","4,525,654","±338","4,525,654","(X)","2,354,075","±405","2,354,075","(X)","1,281,760","±248","1,281,760","(X)","2,723,449","±319","2,723,449","(X)","489,183","±119","489,183","(X)","801,182","±185","801,182","(X)","1,183,917","±133","1,183,917","(X)","617,702","±142","617,702","(X)","3,562,720","±312","3,562,720","(X)","908,168","±178","908,168","(X)","8,119,804","±706","8,119,804","(X)","4,362,956","±384","4,362,956","(X)","320,888","±121","320,888","(X)","5,133,528","±397","5,133,528","(X)","1,674,724","±191","1,674,724","(X)","1,684,244","±278","1,684,244","(X)","5,579,394","±523","5,579,394","(X)","464,741","±84","464,741","(X)","2,157,063","±687","2,157,063","(X)","366,521","±278","366,521","(X)","2,829,125","±239","2,829,125","(X)","10,099,242","±1,506","10,099,242","(X)","993,125","±165","993,125","(X)","324,385","±95","324,385","(X)","3,387,801","±429","3,387,801","(X)","2,907,605","±257","2,907,605","(X)","881,821","±210","881,821","(X)","2,634,806","±1,169","2,634,806","(X)","265,554","±96","265,554","(X)","1,567,959","±6,908","1,567,959","(X)"
"    1-unit, detached","1,493,947","±11,505","68.5%","±0.5","194,894","±3,968","62.6%","±1.3","1,808,892","±15,131","63.2%","±0.5","916,585","±8,871","69.2%","±0.7","7,955,970","±22,341","58.0%","±0.2","1,394,331","±10,416","62.7%","±0.5","884,297","±7,637","59.2%","±0.5","238,955","±4,664","58.3%","±1.1","36,515","±2,365","12.2%","±0.8","4,886,782","±28,209","54.1%","±0.3","2,715,056","±17,608","66.2%","±0.4","281,053","±4,001","53.8%","±0.8","488,706","±5,390","72.5%","±0.8","3,091,053","±14,889","58.4%","±0.3","2,035,677","±11,389","72.7%","±0.4","989,797","±6,692","73.8%","±0.5","893,982","±6,745","72.2%","±0.5","1,289,031","±11,552","66.7%","±0.6","1,272,327","±9,911","64.3%","±0.5","502,022","±5,859","69.2%","±0.8","1,229,850","±10,356","51.4%","±0.4","1,463,253","±10,217","51.9%","±0.4","3,249,245","±14,216","71.8%","±0.3","1,586,650","±8,376","67.4%","±0.4","891,315","±9,042","69.5%","±0.7","1,907,384","±11,210","70.0%","±0.4","340,535","±5,252","69.6%","±1.1","577,176","±4,685","72.0%","±0.6","686,328","±9,691","58.0%","±0.8","394,279","±5,912","63.8%","±1.0","1,905,248","±13,371","53.5%","±0.4","577,532","±7,173","63.6%","±0.8","3,401,598","±16,742","41.9%","±0.2","2,854,195","±17,161","65.4%","±0.4","198,041","±3,286","61.7%","±1.0","3,494,954","±16,496","68.1%","±0.3","1,220,117","±8,669","72.9%","±0.5","1,080,568","±9,751","64.2%","±0.6","3,165,605","±13,939","56.7%","±0.2","251,987","±4,847","54.2%","±1.0","1,347,078","±14,238","62.4%","±0.7","249,760","±4,306","68.1%","±1.2","1,931,708","±13,266","68.3%","±0.5","6,573,800","±24,033","65.1%","±0.2","676,023","±7,131","68.1%","±0.7","216,849","±3,093","66.8%","±1.0","2,111,474","±14,753","62.3%","±0.4","1,841,873","±12,693","63.3%","±0.4","622,230","±5,921","70.6%","±0.7","1,757,502","±10,048","66.7%","±0.4","178,546","±3,446","67.2%","±1.3","1,057,534","±8,692","67.4%","±0.5"
