"","Alabama","","","","Alaska","","","","Arizona","","","","Arkansas","","","","California","","","","Colorado","","","","Connecticut","","","","Delaware","","","","District of Columbia","","","","Florida","","","","Georgia","","","","Hawaii","","","","Idaho","","","","Illinois","","","","Indiana","","","","Iowa","","","","Kansas","","","","Kentucky","","","","Louisiana","","","","Maine","","","","Maryland","","","","Massachusetts","","","","Michigan","","","","Minnesota","","","","Mississippi","","","","Missouri","","","","Montana","","","","Nebraska","","","","Nevada","","","","New Hampshire","","","","New Jersey","","","","New Mexico","","","","New York","","","","North Carolina","","","","North Dakota","","","","Ohio","","","","Oklahoma","","","","Oregon","","","","Pennsylvania","","","","Rhode Island","","","","South Carolina","","","","South Dakota","","","","Tennessee","","","","Texas","","","","Utah","","","","Vermont","","","","Virginia","","","","Washington","","","","West Virginia","","","","Wisconsin","","","","Wyoming","","","","Puerto Rico","","",""
"    Total housing units","2,182,199","±249","2,182,199","(X)","311,182","±194","311,182","(X)","2,864,360","±369","2,864,360","(X)","1,324,471","±234","1,324,471","(X)","13,721,187","±730","13,721,187","(X)","2,224,661","±359","2,224,661","(X)","1,494,042","±230","1,494,042","(X)","409,779","±736","409,779","(X)","298,908","±51","298,908","(X)","9,027,271","±1,180","9,027,271","(X)","4,103,118","±411","4,103,118","(X)","522,314","±118","522,314","(X)","674,394","±189","674,394","(X)","5,296,209","±1,208","5,296,209","(X)","2,800,799","±396","2,800,799","(X)","1,340,588","±287","1,340,588","(X)","1,237,738","±367","1,237,738","(X)","1,932,731","±270","1,932,731","(X)","1,978,974","±263","1,978,974","(X)","725,650","±249","725,650","(X)","2,391,508","±329","2,391,508","(X)","2,819,028","±246","2,819,028","(X)","4,525,654","±338","4,525,654","(X)","2,354,075","±405","2,354,075","(X)","1,281,760","±248","1,281,760","(X)","2,723,449","±319","2,723,449","(X)","489,183","±119","489,183","(X)","801,182","±185","801,182","(X)","1,183,917","±133","1,183,917","(X)","617,702","±142","617,702","(X)","3,562,720","±312","3,562,720","(X)","908,168","±178","908,168","(X)","8,119,804","±706","8,119,804","(X)","4,362,956","±384","4,362,956","(X)","320,888","±121","320,888","(X)","5,133,528","±397","5,133,528","(X)","1,674,724","±191","1,674,724","(X)","1,684,244","±278","1,684,244","(X)","5,579,394","±523","5,579,394","(X)","464,741","±84","464,741","(X)","2,157,063","±687","2,157,063","(X)","366,521","±278","366,521","(X)","2,829,125","±239","2,829,125","(X)","10,099,242","±1,506","10,099,242","(X)","993,125","±165","993,125","(X)","324,385","±95","324,385","(X)","3,387,801","±429","3,387,801","(X)","2,907,605","±257","2,907,605","(X)","881,821","±210","881,821","(X)","2,634,806","±1,169","2,634,806","(X)","265,554","±96","265,554","(X)","1,567,959","±6,908","1,567,959","(X)"
"    No bedroom","29,132","±3,629","1.3%","±0.2","19,626","±1,971","6.3%","±0.6","72,817","±5,355","2.5%","±0.2","24,201","±2,851","1.8%","±0.2","496,946","±13,524","3.6%","±0.1","43,493","±3,471","2.0%","±0.2","32,323","±3,229","2.2%","±0.2","3,895","±1,106","1.0%","±0.3","26,061","±2,102","8.7%","±0.7","167,946","±8,716","1.9%","±0.1","50,626","±4,336","1.2%","±0.1","24,085","±3,009","4.6%","±0.6","12,696","±2,142","1.9%","±0.3","137,811","±7,102","2.6%","±0.1","38,428","±3,117","1.4%","±0.1","19,349","±1,932","1.4%","±0.1","28,428","±2,964","2.3%","±0.2","28,148","±2,912","1.5%","±0.2","26,620","±2,941","1.3%","±0.1","18,994","±1,999","2.6%","±0.3","32,248","±3,171","1.3%","±0.1","79,168","±5,050","2.8%","±0.2","65,732","±3,895","1.5%","±0.1","42,103","±3,518","1.8%","±0.1","16,328","±2,372","1.3%","±0.2","41,350","±3,769","1.5%","±0.1","12,477","±1,762","2.6%","±0.4","11,864","±1,801","1.5%","±0.2","34,170","±3,298","2.9%","±0.3","12,005","±2,034","1.9%","±0.3","125,990","±5,796","3.5%","±0.2","26,851","±3,071","3.0%","±0.3","348,124","±11,172","4.3%","±0.1","59,862","±5,103","1.4%","±0.1","4,850","±1,025","1.5%","±0.3","74,555","±4,924","1.5%","±0.1","25,619","±2,365","1.5%","±0.1","42,807","±3,902","2.5%","±0.2","112,213","±5,225","2.0%","±0.1","10,782","±1,371","2.3%","±0.3","44,091","±4,831","2.0%","±0.2","5,992","±1,246","1.6%","±0.3","33,888","±3,263","1.2%","±0.1","191,725","±8,812","1.9%","±0.1","15,106","±2,157","1.5%","±0.2","7,417","±1,163","2.3%","±0.4","50,417","±4,987","1.5%","±0.1","78,193","±5,437","2.7%","±0.2","11,105","±1,543","1.3%","±0.2","47,211","±3,650","1.8%","±0.1","4,719","±1,125","1.8%","±0.4","29,551","±2,477","1.9%","±0.2"
"    1 bedroom","133,441","±6,658","6.1%","±0.3","46,090","±3,406","14.8%","±1.1","329,695","±10,951","11.5%","±0.4","96,727","±5,193","7.3%","±0.4","1,966,763","±20,779","14.3%","±0.2","266,314","±7,757","12.0%","±0.3","181,790","±5,170","12.2%","±0.3","30,102","±2,761","7.3%","±0.7","95,456","±3,465","31.9%","±1.2","980,744","±17,619","10.9%","±0.2","298,726","±10,357","7.3%","±0.3","76,100","±3,701","14.6%","±0.7","51,499","±3,315","7.6%","±0.5","624,592","±13,589","11.8%","±0.3","257,927","±8,712","9.2%","±0.3","130,445","±6,077","9.7%","±0.5","116,141","±5,260","9.4%","±0.4","166,331","±6,908","8.6%","±0.4","176,122","±6,661","8.9%","±0.3","86,616","±4,021","11.9%","±0.6","248,257","±7,177","10.4%","±0.3","404,229","±9,673","14.3%","±0.3","414,770","±7,730","9.2%","±0.2","276,763","±6,998","11.8%","±0.3","79,264","±4,628","6.2%","±0.4","266,204","±7,974","9.8%","±0.3","55,419","±3,424","11.3%","±0.7","90,184","±4,026","11.3%","±0.5","131,416","±7,880","11.1%","±0.7","67,702","±3,397","11.0%","±0.5","505,717","±9,782","14.2%","±0.3","88,907","±4,665","9.8%","±0.5","1,603,890","±17,802","19.8%","±0.2","287,441","±9,875","6.6%","±0.2","31,040","±2,264","9.7%","±0.7","489,273","±9,770","9.5%","±0.2","152,311","±5,717","9.1%","±0.3","172,812","±6,293","10.3%","±0.4","591,287","±10,624","10.6%","±0.2","64,154","±4,344","13.8%","±0.9","120,683","±6,058","5.6%","±0.3","37,462","±2,571","10.2%","±0.7","233,225","±8,713","8.2%","±0.3","1,287,153","±18,877","12.7%","±0.2","74,048","±4,505","7.5%","±0.5","38,449","±2,270","11.9%","±0.7","287,886","±10,095","8.5%","±0.3","351,438","±9,348","12.1%","±0.3","65,864","±3,734","7.5%","±0.4","266,232","±6,648","10.1%","±0.3","25,848","±3,020","9.7%","±1.1","104,309","±4,732","6.7%","±0.3"
"    2 bedrooms","520,988","±9,151","23.9%","±0.4","83,052","±3,412","26.7%","±1.1","794,467","±14,849","27.7%","±0.5","377,247","±7,446","28.5%","±0.6","3,854,836","±28,123","28.1%","±0.2","577,745","±10,580","26.0%","±0.5","419,149","±8,989","28.1%","±0.6","83,858","±4,292","20.5%","±1.0","79,528","±4,271","26.6%","±1.4","3,030,298","±25,787","33.6%","±0.3","965,790","±16,305","23.5%","±0.4","134,716","±5,149","25.8%","±1.0","164,507","±6,595","24.4%","±1.0","1,525,301","±17,696","28.8%","±0.3","752,689","±12,244","26.9%","±0.4","381,802","±7,066","28.5%","±0.5","335,474","±7,166","27.1%","±0.6","535,050","±11,007","27.7%","±0.6","512,226","±10,727","25.9%","±0.5","223,581","±5,518","30.8%","±0.8","554,611","±11,106","23.2%","±0.5","786,999","±11,830","27.9%","±0.4","1,195,331","±13,544","26.4%","±0.3","632,808","±10,318","26.9%","±0.4","279,082","±8,499","21.8%","±0.7","769,226","±11,665","28.2%","±0.4","133,084","±4,890","27.2%","±1.0","214,323","±5,437","26.8%","±0.7","317,177","±10,794","26.8%","±0.9","191,673","±5,305","31.0%","±0.9","922,142","±10,910","25.9%","±0.3","238,585","±7,974","26.3%","±0.9","2,181,150","±22,303","26.9%","±0.3","1,171,111","±17,269","26.8%","±0.4","97,158","±3,775","30.3%","±1.2","1,369,342","±14,284","26.7%","±0.3","425,363","±7,870","25.4%","±0.5","467,076","±10,742","27.7%","±0.6","1,304,857","±12,901","23.4%","±0.2","139,303","±5,281","30.0%","±1.1","544,156","±10,940","25.2%","±0.5","102,336","±3,947","27.9%","±1.1","766,129","±13,202","27.1%","±0.5","2,381,087","±25,868","23.6%","±0.3","204,529","±6,554","20.6%","±0.7","88,243","±3,112","27.2%","±1.0","812,181","±13,279","24.0%","±0.4","764,698","±14,592","26.3%","±0.5","260,486","±6,054","29.5%","±0.7","762,437","±10,026","28.9%","±0.4","69,030","±3,248","26.0%","±1.2","328,996","±7,804","21.0%","±0.5"
"    3 bedrooms","1,099,857","±11,412","50.4%","±0.5","105,450","±3,381","33.9%","±1.1","1,076,789","±15,648","37.6%","±0.5","652,072","±8,201","49.2%","±0.6","4,557,758","±24,303","33.2%","±0.2","750,458","±12,942","33.7%","±0.6","547,983","±7,593","36.7%","±0.5","182,596","±4,785","44.6%","±1.2","64,506","±3,284","21.6%","±1.1","3,490,004","±27,571","38.7%","±0.3","1,817,198","±18,161","44.3%","±0.4","188,190","±4,987","36.0%","±1.0","271,695","±6,163","40.3%","±0.9","1,957,529","±17,140","37.0%","±0.3","1,242,174","±13,773","44.4%","±0.5","519,288","±7,127","38.7%","±0.5","464,346","±8,188","37.5%","±0.7","857,913","±11,551","44.4%","±0.6","951,847","±12,413","48.1%","±0.6","275,041","±6,033","37.9%","±0.8","894,621","±13,278","37.4%","±0.6","981,367","±12,327","34.8%","±0.4","1,986,293","±15,952","43.9%","±0.4","805,254","±10,035","34.2%","±0.4","694,271","±8,774","54.2%","±0.7","1,136,458","±13,549","41.7%","±0.5","180,013","±4,765","36.8%","±1.0","302,357","±5,748","37.7%","±0.7","452,880","±9,888","38.3%","±0.8","238,036","±5,442","38.5%","±0.9","1,144,298","±14,349","32.1%","±0.4","412,993","±7,583","45.5%","±0.8","2,549,993","±19,483","31.4%","±0.2","2,069,060","±17,114","47.4%","±0.4","105,625","±3,528","32.9%","±1.1","2,173,482","±16,576","42.3%","±0.3","820,670","±9,673","49.0%","±0.6","712,448","±10,075","42.3%","±0.6","2,394,496","±16,328","42.9%","±0.3","182,181","±5,359","39.2%","±1.2","1,056,953","±11,830","49.0%","±0.6","128,978","±3,581","35.2%","±1.0","1,297,058","±13,737","45.8%","±0.5","4,218,161","±26,035","41.8%","±0.3","303,471","±8,293","30.6%","±0.8","125,383","±3,714","38.7%","±1.1","1,350,464","±14,911","39.9%","±0.4","1,099,536","±15,397","37.8%","±0.5","405,658","±6,581","46.0%","±0.7","1,074,207","±11,732","40.8%","±0.4","104,861","±3,760","39.5%","±1.4","859,115","±10,744","54.8%","±0.6"
"    4 bedrooms","329,537","±8,480","15.1%","±0.4","45,559","±2,836","14.6%","±0.9","476,463","±12,555","16.6%","±0.4","152,099","±6,177","11.5%","±0.5","2,249,556","±22,140","16.4%","±0.2","416,422","±9,011","18.7%","±0.4","247,861","±7,191","16.6%","±0.5","92,786","±4,725","22.6%","±1.2","21,376","±2,117","7.2%","±0.7","1,150,707","±18,690","12.7%","±0.2","725,178","±13,246","17.7%","±0.3","69,989","±3,716","13.4%","±0.7","121,596","±5,516","18.0%","±0.8","839,962","±10,797","15.9%","±0.2","417,157","±10,398","14.9%","±0.4","228,898","±5,593","17.1%","±0.4","223,575","±5,790","18.1%","±0.5","278,212","±6,846","14.4%","±0.4","267,671","±6,936","13.5%","±0.4","93,935","±4,150","12.9%","±0.6","495,742","±10,468","20.7%","±0.4","440,498","±8,449","15.6%","±0.3","712,034","±10,623","15.7%","±0.2","461,573","±7,019","19.6%","±0.3","182,840","±6,257","14.3%","±0.5","402,435","±8,765","14.8%","±0.3","77,649","±4,335","15.9%","±0.9","141,411","±4,715","17.7%","±0.6","198,652","±8,776","16.8%","±0.7","88,320","±4,674","14.3%","±0.8","669,677","±8,927","18.8%","±0.3","122,171","±5,610","13.5%","±0.6","1,069,610","±13,508","13.2%","±0.2","618,585","±13,201","14.2%","±0.3","60,338","±2,522","18.8%","±0.8","873,245","±13,042","17.0%","±0.3","217,393","±6,324","13.0%","±0.4","232,213","±6,352","13.8%","±0.4","943,311","±12,217","16.9%","±0.2","53,794","±3,170","11.6%","±0.7","316,703","±10,422","14.7%","±0.5","67,252","±2,957","18.3%","±0.8","401,750","±10,918","14.2%","±0.4","1,694,458","±22,104","16.8%","±0.2","213,897","±7,016","21.5%","±0.7","50,405","±2,647","15.5%","±0.8","680,108","±11,166","20.1%","±0.3","482,261","±9,154","16.6%","±0.3","111,528","±4,541","12.6%","±0.5","393,252","±8,256","14.9%","±0.3","42,936","±2,949","16.2%","±1.1","209,399","±5,983","13.4%","±0.4"
"    5 or more bedrooms","69,244","±4,312","3.2%","±0.2","11,405","±1,451","3.7%","±0.5","114,129","±7,327","4.0%","±0.3","22,125","±2,192","1.7%","±0.2","595,328","±14,453","4.3%","±0.1","170,229","±6,353","7.7%","±0.3","64,936","±3,726","4.3%","±0.2","16,542","±1,751","4.0%","±0.4","11,981","±1,915","4.0%","±0.6","207,572","±8,951","2.3%","±0.1","245,600","±8,779","6.0%","±0.2","29,234","±2,186","5.6%","±0.4","52,401","±3,667","7.8%","±0.5","211,014","±7,056","4.0%","±0.1","92,424","±4,748","3.3%","±0.2","60,806","±2,983","4.5%","±0.2","69,774","±3,937","5.6%","±0.3","67,077","±4,063","3.5%","±0.2","44,488","±3,653","2.2%","±0.2","27,483","±2,145","3.8%","±0.3","166,029","±5,749","6.9%","±0.2","126,767","±5,575","4.5%","±0.2","151,494","±5,296","3.3%","±0.1","135,574","±3,992","5.8%","±0.2","29,975","±2,752","2.3%","±0.2","107,776","±4,407","4.0%","±0.2","30,541","±2,405","6.2%","±0.5","41,043","±2,368","5.1%","±0.3","49,622","±4,726","4.2%","±0.4","19,966","±2,054","3.2%","±0.3","194,896","±5,013","5.5%","±0.1","18,661","±2,439","2.1%","±0.3","367,037","±8,863","4.5%","±0.1","156,897","±7,174","3.6%","±0.2","21,877","±1,745","6.8%","±0.5","153,631","±6,088","3.0%","±0.1","33,368","±2,803","2.0%","±0.2","56,888","±3,813","3.4%","±0.2","233,230","±6,217","4.2%","±0.1","14,527","±1,869","3.1%","±0.4","74,477","±4,934","3.5%","±0.2","24,501","±2,190","6.7%","±0.6","97,075","±5,373","3.4%","±0.2","326,658","±10,309","3.2%","±0.1","182,074","±5,477","18.3%","±0.6","14,488","±1,728","4.5%","±0.5","206,745","±6,764","6.1%","±0.2","131,479","±5,232","4.5%","±0.2","27,180","±2,439","3.1%","±0.3","91,467","±3,651","3.5%","±0.1","18,160","±2,042","6.8%","±0.8","36,589","±2,511","2.3%","±0.2"
"HOUSING TENURE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","1,844,546","±11,416","1,844,546","(X)","257,330","±3,380","257,330","(X)","2,356,055","±12,130","2,356,055","(X)","1,127,621","±7,837","1,127,621","(X)","12,468,743","±22,250","12,468,743","(X)","1,975,388","±9,057","1,975,388","(X)","1,351,643","±7,309","1,351,643","(X)","333,192","±3,426","333,192","(X)","268,670","±3,200","268,670","(X)","7,106,283","±31,131","7,106,283","(X)","3,494,542","±15,336","3,494,542","(X)","448,563","±5,562","448,563","(X)","580,193","±6,204","580,193","(X)","4,737,208","±12,865","4,737,208","(X)","2,467,111","±11,107","2,467,111","(X)","1,216,765","±7,072","1,216,765","(X)","1,101,701","±5,567","1,101,701","(X)","1,672,134","±9,367","1,672,134","(X)","1,702,030","±9,725","1,702,030","(X)","552,051","±5,238","552,051","(X)","2,134,517","±9,936","2,134,517","(X)","2,532,067","±9,349","2,532,067","(X)","3,772,433","±14,208","3,772,433","(X)","2,096,477","±7,824","2,096,477","(X)","1,080,991","±8,431","1,080,991","(X)","2,341,074","±10,807","2,341,074","(X)","404,250","±4,567","404,250","(X)","723,800","±4,514","723,800","(X)","982,352","±9,598","982,352","(X)","516,454","±4,150","516,454","(X)","3,167,629","±9,918","3,167,629","(X)","767,285","±6,715","767,285","(X)","7,187,938","±18,167","7,187,938","(X)","3,683,364","±19,202","3,683,364","(X)","283,440","±2,528","283,440","(X)","4,538,555","±15,280","4,538,555","(X)","1,442,731","±7,338","1,442,731","(X)","1,516,979","±8,379","1,516,979","(X)","4,937,333","±13,801","4,937,333","(X)","412,259","±3,948","412,259","(X)","1,768,834","±12,783","1,768,834","(X)","323,215","±3,255","323,215","(X)","2,467,428","±12,592","2,467,428","(X)","8,850,370","±21,114","8,850,370","(X)","884,253","±5,722","884,253","(X)","257,358","±2,656","257,358","(X)","2,990,650","±13,887","2,990,650","(X)","2,632,621","±9,876","2,632,621","(X)","735,408","±6,147","735,408","(X)","2,275,352","±8,388","2,275,352","(X)","222,539","±3,310","222,539","(X)","1,256,151","±8,804","1,256,151","(X)"
"    Owner-occupied","1,289,217","±12,212","69.9%","±0.5","162,312","±3,867","63.1%","±1.5","1,501,528","±15,067","63.7%","±0.6","750,984","±9,249","66.6%","±0.7","6,843,369","±25,886","54.9%","±0.2","1,271,804","±10,881","64.4%","±0.5","911,059","±6,941","67.4%","±0.5","238,560","±4,816","71.6%","±1.2","110,625","±3,425","41.2%","±1.2","4,741,169","±31,771","66.7%","±0.3","2,256,703","±18,001","64.6%","±0.5","254,700","±5,244","56.8%","±1.0","398,816","±6,649","68.7%","±1.0","3,190,282","±18,062","67.3%","±0.3","1,720,062","±14,287","69.7%","±0.5","880,368","±8,898","72.4%","±0.6","747,079","±8,180","67.8%","±0.6","1,151,479","±11,521","68.9%","±0.6","1,130,694","±10,222","66.4%","±0.5","391,697","±5,080","71.0%","±0.9","1,437,447","±9,760","67.3%","±0.4","1,573,279","±12,931","62.1%","±0.5","2,706,280","±14,314","71.7%","±0.3","1,525,449","±9,656","72.8%","±0.4","754,663","±8,918","69.8%","±0.6","1,593,031","±12,451","68.0%","±0.5","274,570","±4,597","67.9%","±1.0","484,308","±5,955","66.9%","±0.8","552,991","±9,890","56.3%","±0.8","369,070","±5,978","71.5%","±0.9","2,060,480","±13,626","65.0%","±0.4","523,004","±7,065","68.2%","±0.8","3,851,687","±18,573","53.6%","±0.2","2,449,902","±20,860","66.5%","±0.4","186,254","±3,477","65.7%","±1.1","3,039,713","±16,684","67.0%","±0.3","966,998","±7,973","67.0%","±0.5","922,012","±11,388","60.8%","±0.7","3,431,023","±18,207","69.5%","±0.3","249,754","±5,701","60.6%","±1.2","1,223,474","±12,626","69.2%","±0.6","221,382","±3,961","68.5%","±1.2","1,660,076","±14,005","67.3%","±0.5","5,568,300","±32,153","62.9%","±0.3","613,499","±6,550","69.4%","±0.7","183,452","±2,866","71.3%","±1.0","2,013,595","±16,957","67.3%","±0.5","1,653,712","±13,459","62.8%","±0.5","531,392","±6,308","72.3%","±0.7","1,543,908","±11,604","67.9%","±0.4","157,223","±3,270","70.6%","±1.3","876,741","±9,559","69.8%","±0.6"
"    Renter-occupied","555,329","±9,348","30.1%","±0.5","95,018","±4,471","36.9%","±1.5","854,527","±15,846","36.3%","±0.6","376,637","±8,537","33.4%","±0.7","5,625,374","±23,999","45.1%","±0.2","703,584","±11,056","35.6%","±0.5","440,584","±7,734","32.6%","±0.5","94,632","±4,248","28.4%","±1.2","158,045","±3,930","58.8%","±1.2","2,365,114","±25,972","33.3%","±0.3","1,237,839","±18,123","35.4%","±0.5","193,863","±5,082","43.2%","±1.0","181,377","±6,700","31.3%","±1.0","1,546,926","±16,631","32.7%","±0.3","747,049","±12,479","30.3%","±0.5","336,397","±7,489","27.6%","±0.6","354,622","±5,979","32.2%","±0.6","520,655","±11,195","31.1%","±0.6","571,336","±10,145","33.6%","±0.5","160,354","±5,460","29.0%","±0.9","697,070","±9,889","32.7%","±0.4","958,788","±13,982","37.9%","±0.5","1,066,153","±10,655","28.3%","±0.3","571,028","±8,946","27.2%","±0.4","326,328","±6,852","30.2%","±0.6","748,043","±11,337","32.0%","±0.5","129,680","±4,780","32.1%","±1.0","239,492","±5,819","33.1%","±0.8","429,361","±9,097","43.7%","±0.8","147,384","±4,801","28.5%","±0.9","1,107,149","±14,128","35.0%","±0.4","244,281","±6,805","31.8%","±0.8","3,336,251","±18,987","46.4%","±0.2","1,233,462","±17,570","33.5%","±0.4","97,186","±3,186","34.3%","±1.1","1,498,842","±14,730","33.0%","±0.3","475,733","±8,920","33.0%","±0.5","594,967","±11,145","39.2%","±0.7","1,506,310","±15,295","30.5%","±0.3","162,505","±5,344","39.4%","±1.2","545,360","±11,328","30.8%","±0.6","101,833","±4,336","31.5%","±1.2","807,352","±12,867","32.7%","±0.5","3,282,070","±27,556","37.1%","±0.3","270,754","±7,097","30.6%","±0.7","73,906","±2,835","28.7%","±1.0","977,055","±13,943","32.7%","±0.5","978,909","±14,209","37.2%","±0.5","204,016","±5,469","27.7%","±0.7","731,444","±10,367","32.1%","±0.4","65,316","±3,158","29.4%","±1.3","379,410","±8,608","30.2%","±0.6"
"    Average household size of owner-occupied unit","2.57","±0.02","(X)","(X)","2.79","±0.05","(X)","(X)","2.67","±0.02","(X)","(X)","2.58","±0.02","(X)","(X)","3.00","±0.01","(X)","(X)","2.60","±0.02","(X)","(X)","2.68","±0.02","(X)","(X)","2.67","±0.04","(X)","(X)","2.32","±0.05","(X)","(X)","2.61","±0.01","(X)","(X)","2.75","±0.02","(X)","(X)","3.16","±0.07","(X)","(X)","2.73","±0.03","(X)","(X)","2.74","±0.01","(X)","(X)","2.65","±0.01","(X)","(X)","2.53","±0.02","(X)","(X)","2.64","±0.02","(X)","(X)","2.60","±0.02","(X)","(X)","2.68","±0.02","(X)","(X)","2.46","±0.03","(X)","(X)","2.76","±0.02","(X)","(X)","2.69","±0.01","(X)","(X)","2.63","±0.01","(X)","(X)","2.59","±0.01","(X)","(X)","2.67","±0.03","(X)","(X)","2.58","±0.01","(X)","(X)","2.49","±0.03","(X)","(X)","2.59","±0.02","(X)","(X)","2.73","±0.04","(X)","(X)","2.61","±0.03","(X)","(X)","2.83","±0.01","(X)","(X)","2.73","±0.03","(X)","(X)","2.76","±0.01","(X)","(X)","2.58","±0.02","(X)","(X)","2.50","±0.04","(X)","(X)","2.57","±0.01","(X)","(X)","2.59","±0.02","(X)","(X)","2.53","±0.02","(X)","(X)","2.62","±0.01","(X)","(X)","2.59","±0.04","(X)","(X)","2.57","±0.02","(X)","(X)","2.53","±0.04","(X)","(X)","2.58","±0.02","(X)","(X)","2.94","±0.01","(X)","(X)","3.26","±0.03","(X)","(X)","2.43","±0.03","(X)","(X)","2.67","±0.02","(X)","(X)","2.61","±0.02","(X)","(X)","2.52","±0.02","(X)","(X)","2.57","±0.01","(X)","(X)","2.56","±0.05","(X)","(X)","2.95","±0.02","(X)","(X)"
"    Average household size of renter-occupied unit","2.47","±0.04","(X)","(X)","2.57","±0.08","(X)","(X)","2.72","±0.03","(X)","(X)","2.44","±0.04","(X)","(X)","2.91","±0.01","(X)","(X)","2.41","±0.03","(X)","(X)","2.31","±0.03","(X)","(X)","2.59","±0.08","(X)","(X)","2.03","±0.05","(X)","(X)","2.64","±0.02","(X)","(X)","2.70","±0.03","(X)","(X)","2.72","±0.06","(X)","(X)","2.58","±0.06","(X)","(X)","2.47","±0.02","(X)","(X)","2.37","±0.03","(X)","(X)","2.18","±0.03","(X)","(X)","2.31","±0.03","(X)","(X)","2.40","±0.03","(X)","(X)","2.49","±0.03","(X)","(X)","2.05","±0.05","(X)","(X)","2.48","±0.03","(X)","(X)","2.21","±0.02","(X)","(X)","2.37","±0.02","(X)","(X)","2.20","±0.03","(X)","(X)","2.68","±0.06","(X)","(X)","2.30","±0.03","(X)","(X)","2.21","±0.07","(X)","(X)","2.24","±0.04","(X)","(X)","2.74","±0.05","(X)","(X)","2.15","±0.05","(X)","(X)","2.53","±0.02","(X)","(X)","2.51","±0.06","(X)","(X)","2.47","±0.01","(X)","(X)","2.50","±0.03","(X)","(X)","1.99","±0.06","(X)","(X)","2.29","±0.02","(X)","(X)","2.47","±0.03","(X)","(X)","2.44","±0.03","(X)","(X)","2.21","±0.02","(X)","(X)","2.23","±0.05","(X)","(X)","2.55","±0.05","(X)","(X)","2.25","±0.06","(X)","(X)","2.43","±0.03","(X)","(X)","2.65","±0.02","(X)","(X)","2.85","±0.06","(X)","(X)","2.11","±0.06","(X)","(X)","2.53","±0.03","(X)","(X)","2.42","±0.02","(X)","(X)","2.29","±0.05","(X)","(X)","2.19","±0.02","(X)","(X)","2.33","±0.09","(X)","(X)","2.85","±0.04","(X)","(X)"
"YEAR HOUSEHOLDER MOVED INTO UNIT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","1,844,546","±11,416","1,844,546","(X)","257,330","±3,380","257,330","(X)","2,356,055","±12,130","2,356,055","(X)","1,127,621","±7,837","1,127,621","(X)","12,468,743","±22,250","12,468,743","(X)","1,975,388","±9,057","1,975,388","(X)","1,351,643","±7,309","1,351,643","(X)","333,192","±3,426","333,192","(X)","268,670","±3,200","268,670","(X)","7,106,283","±31,131","7,106,283","(X)","3,494,542","±15,336","3,494,542","(X)","448,563","±5,562","448,563","(X)","580,193","±6,204","580,193","(X)","4,737,208","±12,865","4,737,208","(X)","2,467,111","±11,107","2,467,111","(X)","1,216,765","±7,072","1,216,765","(X)","1,101,701","±5,567","1,101,701","(X)","1,672,134","±9,367","1,672,134","(X)","1,702,030","±9,725","1,702,030","(X)","552,051","±5,238","552,051","(X)","2,134,517","±9,936","2,134,517","(X)","2,532,067","±9,349","2,532,067","(X)","3,772,433","±14,208","3,772,433","(X)","2,096,477","±7,824","2,096,477","(X)","1,080,991","±8,431","1,080,991","(X)","2,341,074","±10,807","2,341,074","(X)","404,250","±4,567","404,250","(X)","723,800","±4,514","723,800","(X)","982,352","±9,598","982,352","(X)","516,454","±4,150","516,454","(X)","3,167,629","±9,918","3,167,629","(X)","767,285","±6,715","767,285","(X)","7,187,938","±18,167","7,187,938","(X)","3,683,364","±19,202","3,683,364","(X)","283,440","±2,528","283,440","(X)","4,538,555","±15,280","4,538,555","(X)","1,442,731","±7,338","1,442,731","(X)","1,516,979","±8,379","1,516,979","(X)","4,937,333","±13,801","4,937,333","(X)","412,259","±3,948","412,259","(X)","1,768,834","±12,783","1,768,834","(X)","323,215","±3,255","323,215","(X)","2,467,428","±12,592","2,467,428","(X)","8,850,370","±21,114","8,850,370","(X)","884,253","±5,722","884,253","(X)","257,358","±2,656","257,358","(X)","2,990,650","±13,887","2,990,650","(X)","2,632,621","±9,876","2,632,621","(X)","735,408","±6,147","735,408","(X)","2,275,352","±8,388","2,275,352","(X)","222,539","±3,310","222,539","(X)","1,256,151","±8,804","1,256,151","(X)"
