"","Alabama","","","","Alaska","","","","Arizona","","","","Arkansas","","","","California","","","","Colorado","","","","Connecticut","","","","Delaware","","","","District of Columbia","","","","Florida","","","","Georgia","","","","Hawaii","","","","Idaho","","","","Illinois","","","","Indiana","","","","Iowa","","","","Kansas","","","","Kentucky","","","","Louisiana","","","","Maine","","","","Maryland","","","","Massachusetts","","","","Michigan","","","","Minnesota","","","","Mississippi","","","","Missouri","","","","Montana","","","","Nebraska","","","","Nevada","","","","New Hampshire","","","","New Jersey","","","","New Mexico","","","","New York","","","","North Carolina","","","","North Dakota","","","","Ohio","","","","Oklahoma","","","","Oregon","","","","Pennsylvania","","","","Rhode Island","","","","South Carolina","","","","South Dakota","","","","Tennessee","","","","Texas","","","","Utah","","","","Vermont","","","","Virginia","","","","Washington","","","","West Virginia","","","","Wisconsin","","","","Wyoming","","","","Puerto Rico","","",""
"        Built 1940 to 1949","99,785","±5,500","4.6%","±0.3","6,170","±1,137","2.0%","±0.4","49,695","±2,877","1.7%","±0.1","56,057","±3,908","4.2%","±0.3","844,490","±13,384","6.1%","±0.1","63,661","±3,772","2.8%","±0.2","108,911","±5,044","7.3%","±0.3","18,294","±2,077","4.4%","±0.5","35,199","±2,659","11.6%","±0.9","196,709","±6,648","2.2%","±0.1","120,256","±5,558","2.9%","±0.1","19,117","±1,829","3.6%","±0.3","27,442","±2,238","4.1%","±0.3","334,234","±8,047","6.3%","±0.2","174,878","±4,648","6.2%","±0.2","73,163","±3,477","5.4%","±0.3","75,528","±3,462","6.1%","±0.3","92,055","±4,370","4.8%","±0.2","92,825","±4,632","4.7%","±0.2","35,714","±2,908","4.9%","±0.4","131,309","±5,094","5.5%","±0.2","167,473","±6,391","6.0%","±0.2","357,459","±7,715","7.9%","±0.2","119,621","±4,374","5.0%","±0.2","49,377","±3,750","3.8%","±0.3","148,523","±5,580","5.5%","±0.2","25,068","±1,932","5.2%","±0.4","37,437","±2,389","4.6%","±0.3","11,962","±1,611","1.0%","±0.1","22,191","±2,043","3.6%","±0.3","287,586","±7,638","8.0%","±0.2","37,748","±2,257","4.2%","±0.2","687,406","±12,889","8.5%","±0.2","167,941","±6,833","3.8%","±0.2","15,447","±1,397","4.6%","±0.4","324,829","±9,726","6.3%","±0.2","100,580","±3,986","6.0%","±0.2","92,870","±3,771","5.5%","±0.2","460,931","±8,668","8.3%","±0.2","34,055","±2,805","7.4%","±0.6","69,157","±4,023","3.2%","±0.2","20,947","±1,932","5.7%","±0.5","135,190","±5,465","4.8%","±0.2","382,878","±9,957","3.7%","±0.1","40,845","±2,754","4.1%","±0.3","10,273","±1,332","3.2%","±0.4","165,295","±5,753","4.8%","±0.2","140,383","±5,947","4.8%","±0.2","66,962","±3,309","7.6%","±0.4","156,238","±5,631","5.9%","±0.2","13,166","±2,049","5.0%","±0.8","48,912","±2,920","3.1%","±0.2"
"        Built 1939 or earlier","116,931","±5,595","5.3%","±0.3","5,122","±770","1.7%","±0.3","49,190","±3,408","1.7%","±0.1","63,289","±3,897","4.8%","±0.3","1,282,885","±14,201","9.3%","±0.1","186,651","±6,196","8.3%","±0.3","321,529","±7,380","21.6%","±0.5","36,416","±2,478","8.8%","±0.6","108,240","±4,038","35.7%","±1.3","204,709","±7,099","2.3%","±0.1","186,309","±6,297","4.5%","±0.2","16,749","±2,058","3.2%","±0.4","62,961","±2,984","9.3%","±0.4","1,167,702","±13,972","22.1%","±0.3","498,787","±10,983","17.8%","±0.4","359,755","±6,381","26.7%","±0.5","209,402","±5,503","16.9%","±0.4","207,446","±6,227","10.7%","±0.3","136,563","±4,920","6.9%","±0.2","184,613","±5,745","25.5%","±0.8","298,568","±6,806","12.4%","±0.3","946,584","±11,468","33.6%","±0.4","701,025","±10,697","15.5%","±0.2","402,646","±5,748","17.0%","±0.2","61,890","±3,687","4.8%","±0.3","376,338","±7,097","13.8%","±0.3","72,923","±2,968","15.0%","±0.6","177,034","±4,311","21.9%","±0.5","15,686","±1,941","1.3%","±0.2","126,797","±4,962","20.6%","±0.8","636,399","±11,331","17.8%","±0.3","44,532","±3,079","4.9%","±0.3","2,657,927","±22,874","32.7%","±0.3","229,765","±7,421","5.2%","±0.2","53,059","±2,622","15.6%","±0.8","1,080,219","±9,782","21.1%","±0.2","138,715","±4,158","8.2%","±0.2","197,591","±5,716","11.7%","±0.3","1,465,703","±15,066","26.3%","±0.3","138,449","±4,616","30.0%","±1.0","103,562","±5,184","4.8%","±0.2","67,274","±2,848","18.2%","±0.8","178,559","±6,460","6.3%","±0.2","395,058","±9,559","3.9%","±0.1","76,571","±2,960","7.6%","±0.3","86,266","±3,128","26.6%","±1.0","259,939","±7,725","7.6%","±0.2","325,496","±8,319","11.1%","±0.3","146,069","±5,411","16.6%","±0.6","520,048","±8,686","19.7%","±0.3","29,308","±2,424","11.0%","±0.9","39,001","±2,630","2.5%","±0.2"
"ROOMS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total housing units","2,190,027","±209","2,190,027","(X)","307,417","±118","307,417","(X)","2,892,359","±448","2,892,359","(X)","1,329,777","±274","1,329,777","(X)","13,791,262","±659","13,791,262","(X)","2,247,291","±365","2,247,291","(X)","1,488,072","±488","1,488,072","(X)","412,015","±82","412,015","(X)","302,975","±82","302,975","(X)","9,047,973","±677","9,047,973","(X)","4,110,162","±454","4,110,162","(X)","526,305","±118","526,305","(X)","676,192","±151","676,192","(X)","5,289,653","±519","5,289,653","(X)","2,809,640","±388","2,809,640","(X)","1,349,607","±435","1,349,607","(X)","1,239,755","±265","1,239,755","(X)","1,936,634","±375","1,936,634","(X)","1,990,967","±283","1,990,967","(X)","723,140","±130","723,140","(X)","2,404,177","±294","2,404,177","(X)","2,813,641","±270","2,813,641","(X)","4,525,266","±593","4,525,266","(X)","2,368,754","±644","2,368,754","(X)","1,283,192","±201","1,283,192","(X)","2,719,109","±265","2,719,109","(X)","485,767","±162","485,767","(X)","806,888","±638","806,888","(X)","1,186,936","±122","1,186,936","(X)","616,496","±199","616,496","(X)","3,578,260","±359","3,578,260","(X)","905,134","±292","905,134","(X)","8,126,399","±557","8,126,399","(X)","4,394,515","±559","4,394,515","(X)","339,293","±180","339,293","(X)","5,124,126","±417","5,124,126","(X)","1,682,358","±207","1,682,358","(X)","1,684,107","±180","1,684,107","(X)","5,565,354","±405","5,565,354","(X)","461,658","±77","461,658","(X)","2,158,784","±213","2,158,784","(X)","370,207","±292","370,207","(X)","2,840,998","±322","2,840,998","(X)","10,256,203","±658","10,256,203","(X)","1,006,164","±170","1,006,164","(X)","323,936","±138","323,936","(X)","3,412,577","±461","3,412,577","(X)","2,928,300","±262","2,928,300","(X)","879,424","±204","879,424","(X)","2,633,420","±384","2,633,420","(X)","265,471","±91","265,471","(X)","1,572,849","±6,980","1,572,849","(X)"
"        1 room","25,913","±2,811","1.2%","±0.1","17,730","±1,492","5.8%","±0.5","64,829","±4,548","2.2%","±0.2","22,241","±3,213","1.7%","±0.2","426,830","±10,606","3.1%","±0.1","40,252","±4,447","1.8%","±0.2","30,711","±3,061","2.1%","±0.2","3,627","±1,080","0.9%","±0.3","18,192","±2,506","6.0%","±0.8","157,358","±7,425","1.7%","±0.1","48,571","±4,568","1.2%","±0.1","24,316","±2,187","4.6%","±0.4","11,335","±2,152","1.7%","±0.3","119,501","±5,920","2.3%","±0.1","38,037","±3,376","1.4%","±0.1","14,968","±1,762","1.1%","±0.1","25,230","±3,041","2.0%","±0.2","26,088","±2,607","1.3%","±0.1","27,801","±2,956","1.4%","±0.1","19,789","±2,389","2.7%","±0.3","28,509","±3,343","1.2%","±0.1","62,174","±3,967","2.2%","±0.1","55,581","±3,437","1.2%","±0.1","36,391","±3,150","1.5%","±0.1","14,088","±2,195","1.1%","±0.2","38,301","±3,395","1.4%","±0.1","14,831","±2,025","3.1%","±0.4","13,316","±1,893","1.7%","±0.2","30,784","±2,758","2.6%","±0.2","12,222","±1,927","2.0%","±0.3","77,348","±5,133","2.2%","±0.1","23,762","±2,522","2.6%","±0.3","313,312","±12,130","3.9%","±0.1","54,325","±4,323","1.2%","±0.1","5,799","±1,403","1.7%","±0.4","65,156","±4,606","1.3%","±0.1","24,111","±2,091","1.4%","±0.1","39,371","±3,439","2.3%","±0.2","97,231","±5,759","1.7%","±0.1","9,899","±1,636","2.1%","±0.4","22,213","±3,071","1.0%","±0.1","4,720","±1,250","1.3%","±0.3","34,150","±3,535","1.2%","±0.1","187,371","±8,767","1.8%","±0.1","11,900","±1,833","1.2%","±0.2","8,076","±1,181","2.5%","±0.4","46,173","±3,830","1.4%","±0.1","68,902","±5,100","2.4%","±0.2","10,682","±1,526","1.2%","±0.2","40,059","±2,982","1.5%","±0.1","5,055","±1,050","1.9%","±0.4","31,040","±2,607","2.0%","±0.2"
"        2 rooms","25,756","±2,898","1.2%","±0.1","24,046","±2,425","7.8%","±0.8","107,906","±4,766","3.7%","±0.2","22,251","±2,572","1.7%","±0.2","549,838","±11,762","4.0%","±0.1","86,575","±4,268","3.9%","±0.2","35,460","±3,286","2.4%","±0.2","4,078","±779","1.0%","±0.2","25,049","±2,126","8.3%","±0.7","193,659","±7,462","2.1%","±0.1","49,866","±4,080","1.2%","±0.1","46,804","±2,930","8.9%","±0.6","18,889","±2,375","2.8%","±0.4","119,563","±5,778","2.3%","±0.1","42,977","±3,324","1.5%","±0.1","27,813","±2,902","2.1%","±0.2","24,912","±2,693","2.0%","±0.2","33,280","±3,112","1.7%","±0.2","35,240","±3,049","1.8%","±0.2","27,079","±2,353","3.7%","±0.3","41,355","±2,894","1.7%","±0.1","90,002","±4,449","3.2%","±0.2","83,120","±3,632","1.8%","±0.1","68,359","±3,314","2.9%","±0.1","21,027","±2,254","1.6%","±0.2","50,735","±3,138","1.9%","±0.1","17,913","±1,940","3.7%","±0.4","20,911","±2,054","2.6%","±0.3","43,467","±3,442","3.7%","±0.3","14,932","±1,876","2.4%","±0.3","76,775","±4,441","2.1%","±0.1","20,634","±2,145","2.3%","±0.2","312,844","±11,214","3.8%","±0.1","71,010","±5,102","1.6%","±0.1","8,276","±1,121","2.4%","±0.3","77,576","±4,812","1.5%","±0.1","30,886","±2,512","1.8%","±0.1","58,392","±3,778","3.5%","±0.2","96,806","±4,289","1.7%","±0.1","14,800","±1,816","3.2%","±0.4","28,494","±3,103","1.3%","±0.1","11,608","±1,828","3.1%","±0.5","43,667","±2,976","1.5%","±0.1","296,563","±9,648","2.9%","±0.1","20,941","±2,354","2.1%","±0.2","11,491","±1,269","3.5%","±0.4","60,026","±3,838","1.8%","±0.1","110,081","±5,392","3.8%","±0.2","11,971","±2,021","1.4%","±0.2","65,387","±3,843","2.5%","±0.1","7,548","±1,423","2.8%","±0.5","56,058","±3,779","3.6%","±0.2"
"        3 rooms","126,190","±5,965","5.8%","±0.3","39,238","±2,864","12.8%","±0.9","301,484","±8,450","10.4%","±0.3","88,338","±4,437","6.6%","±0.3","1,677,976","±17,013","12.2%","±0.1","223,494","±6,621","9.9%","±0.3","128,151","±5,331","8.6%","±0.4","23,276","±2,402","5.6%","±0.6","66,575","±4,184","22.0%","±1.4","941,297","±15,049","10.4%","±0.2","248,502","±7,498","6.0%","±0.2","73,032","±3,675","13.9%","±0.7","44,467","±3,283","6.6%","±0.5","429,039","±9,707","8.1%","±0.2","182,186","±7,187","6.5%","±0.3","105,440","±5,262","7.8%","±0.4","84,948","±3,867","6.9%","±0.3","130,223","±5,200","6.7%","±0.3","157,407","±6,132","7.9%","±0.3","73,794","±4,241","10.2%","±0.6","186,767","±6,874","7.8%","±0.3","275,995","±8,000","9.8%","±0.3","327,904","±8,130","7.2%","±0.2","219,177","±6,194","9.3%","±0.3","82,735","±4,414","6.4%","±0.3","198,961","±6,412","7.3%","±0.2","41,051","±2,770","8.5%","±0.6","60,484","±3,482","7.5%","±0.4","131,869","±5,736","11.1%","±0.5","54,298","±3,513","8.8%","±0.6","368,260","±9,443","10.3%","±0.3","68,721","±3,657","7.6%","±0.4","1,235,120","±19,107","15.2%","±0.2","296,656","±6,959","6.8%","±0.2","32,640","±2,878","9.6%","±0.8","353,580","±8,520","6.9%","±0.2","125,346","±5,175","7.5%","±0.3","151,634","±6,402","9.0%","±0.4","406,310","±10,368","7.3%","±0.2","44,131","±3,305","9.6%","±0.7","132,858","±5,391","6.2%","±0.2","31,743","±2,483","8.6%","±0.7","195,843","±6,702","6.9%","±0.2","1,101,432","±20,260","10.7%","±0.2","64,829","±3,884","6.4%","±0.4","35,272","±2,949","10.9%","±0.9","229,964","±7,151","6.7%","±0.2","277,025","±8,439","9.5%","±0.3","47,094","±3,396","5.4%","±0.4","219,251","±6,401","8.3%","±0.2","18,772","±2,543","7.1%","±1.0","162,223","±5,645","10.3%","±0.4"
"        4 rooms","322,426","±9,526","14.7%","±0.4","58,661","±3,609","19.1%","±1.2","517,897","±10,726","17.9%","±0.4","223,701","±7,418","16.8%","±0.6","2,645,475","±24,838","19.2%","±0.2","343,914","±9,101","15.3%","±0.4","228,046","±7,520","15.3%","±0.5","46,717","±3,964","11.3%","±1.0","54,266","±3,585","17.9%","±1.2","2,008,942","±20,907","22.2%","±0.2","590,547","±11,434","14.4%","±0.3","102,386","±4,022","19.5%","±0.8","105,450","±5,185","15.6%","±0.8","853,057","±15,281","16.1%","±0.3","408,808","±9,364","14.6%","±0.3","190,762","±6,553","14.1%","±0.5","173,601","±5,837","14.0%","±0.5","314,274","±8,082","16.2%","±0.4","340,012","±8,663","17.1%","±0.4","129,189","±5,286","17.9%","±0.7","301,699","±7,105","12.5%","±0.3","444,392","±10,175","15.8%","±0.4","651,522","±11,085","14.4%","±0.2","327,610","±8,116","13.8%","±0.3","211,773","±7,361","16.5%","±0.6","422,522","±9,795","15.5%","±0.4","86,556","±3,991","17.8%","±0.8","111,392","±4,480","13.8%","±0.6","219,282","±6,427","18.5%","±0.5","104,556","±4,585","17.0%","±0.7","559,567","±13,561","15.6%","±0.4","152,803","±5,621","16.9%","±0.6","1,497,175","±21,217","18.4%","±0.3","760,558","±13,765","17.3%","±0.3","55,802","±3,401","16.4%","±1.0","703,487","±12,687","13.7%","±0.2","279,017","±6,446","16.6%","±0.4","301,388","±8,393","17.9%","±0.5","678,939","±11,752","12.2%","±0.2","78,656","±3,947","17.0%","±0.9","368,307","±8,643","17.1%","±0.4","59,165","±3,451","16.0%","±0.9","464,910","±9,170","16.4%","±0.3","1,709,820","±19,223","16.7%","±0.2","135,802","±5,259","13.5%","±0.5","47,817","±2,870","14.8%","±0.9","491,490","±10,425","14.4%","±0.3","471,861","±10,269","16.1%","±0.4","141,157","±4,845","16.1%","±0.6","437,684","±8,969","16.6%","±0.3","42,377","±3,350","16.0%","±1.3","394,511","±8,796","25.1%","±0.5"
"        5 rooms","508,116","±10,697","23.2%","±0.5","53,457","±2,978","17.4%","±1.0","647,686","±10,436","22.4%","±0.4","357,570","±6,827","26.9%","±0.5","2,831,007","±26,050","20.5%","±0.2","373,453","±8,800","16.6%","±0.4","280,932","±7,375","18.9%","±0.5","69,747","±4,091","16.9%","±1.0","36,699","±2,802","12.1%","±0.9","2,123,642","±22,259","23.5%","±0.2","871,252","±12,368","21.2%","±0.3","111,350","±4,537","21.2%","±0.9","134,820","±5,220","19.9%","±0.8","1,073,793","±14,317","20.3%","±0.3","596,079","±12,066","21.2%","±0.4","254,328","±6,306","18.8%","±0.5","230,270","±6,656","18.6%","±0.5","446,632","±9,258","23.1%","±0.5","498,451","±11,303","25.0%","±0.6","143,499","±5,664","19.8%","±0.8","350,227","±9,244","14.6%","±0.4","523,346","±10,304","18.6%","±0.4","940,956","±10,880","20.8%","±0.2","367,842","±8,363","15.5%","±0.4","336,179","±8,055","26.2%","±0.6","609,318","±12,498","22.4%","±0.5","94,159","±4,390","19.4%","±0.9","139,227","±4,379","17.3%","±0.5","254,711","±7,047","21.5%","±0.6","120,968","±4,673","19.6%","±0.8","612,817","±10,536","17.1%","±0.3","223,642","±6,480","24.7%","±0.7","1,359,948","±17,681","16.7%","±0.2","1,032,512","±14,441","23.5%","±0.3","61,629","±2,753","18.2%","±0.8","1,007,350","±15,270","19.7%","±0.3","425,435","±6,951","25.3%","±0.4","349,372","±8,890","20.7%","±0.5","908,985","±11,662","16.3%","±0.2","98,914","±4,346","21.4%","±0.9","520,806","±10,678","24.1%","±0.5","63,673","±3,254","17.2%","±0.9","629,216","±9,759","22.1%","±0.3","2,210,723","±18,779","21.6%","±0.2","157,617","±5,857","15.7%","±0.6","58,735","±2,991","18.1%","±0.9","601,113","±10,766","17.6%","±0.3","529,488","±11,149","18.1%","±0.4","201,325","±5,822","22.9%","±0.7","546,742","±9,204","20.8%","±0.3","52,691","±3,155","19.8%","±1.2","548,025","±9,385","34.8%","±0.6"
"        6 rooms","460,288","±8,565","21.0%","±0.4","44,996","±3,217","14.6%","±1.0","522,030","±9,389","18.0%","±0.3","274,028","±7,277","20.6%","±0.5","2,333,634","±22,231","16.9%","±0.2","325,431","±8,127","14.5%","±0.4","262,470","±6,020","17.6%","±0.4","81,509","±3,830","19.8%","±0.9","33,573","±2,608","11.1%","±0.9","1,607,330","±22,313","17.8%","±0.2","793,534","±12,431","19.3%","±0.3","73,719","±3,535","14.0%","±0.7","115,945","±4,920","17.1%","±0.7","961,815","±12,449","18.2%","±0.2","552,237","±10,638","19.7%","±0.4","228,652","±6,048","16.9%","±0.4","214,975","±6,510","17.3%","±0.5","369,034","±8,579","19.1%","±0.4","388,128","±9,330","19.5%","±0.5","127,910","±4,634","17.7%","±0.6","415,888","±10,400","17.3%","±0.4","503,556","±11,554","17.9%","±0.4","903,499","±13,020","20.0%","±0.3","346,720","±6,574","14.6%","±0.3","272,200","±6,670","21.2%","±0.5","499,607","±10,029","18.4%","±0.4","72,308","±2,834","14.9%","±0.6","132,665","±4,607","16.4%","±0.6","208,271","±5,873","17.5%","±0.5","106,562","±4,420","17.3%","±0.7","572,176","±11,174","16.0%","±0.3","189,414","±6,622","20.9%","±0.7","1,223,811","±17,220","15.1%","±0.2","816,518","±14,200","18.6%","±0.3","47,331","±2,789","13.9%","±0.8","1,031,488","±13,561","20.1%","±0.3","350,411","±7,304","20.8%","±0.4","285,876","±7,269","17.0%","±0.4","1,212,202","±14,360","21.8%","±0.3","86,813","±4,845","18.8%","±1.0","412,025","±9,776","19.1%","±0.5","54,462","±2,986","14.7%","±0.8","537,491","±10,813","18.9%","±0.4","1,851,261","±21,373","18.1%","±0.2","133,701","±4,823","13.3%","±0.5","53,729","±2,645","16.6%","±0.8","575,052","±10,774","16.9%","±0.3","479,612","±10,563","16.4%","±0.4","183,635","±5,680","20.9%","±0.6","467,054","±7,244","17.7%","±0.3","42,142","±3,077","15.9%","±1.2","229,754","±6,951","14.6%","±0.4"
"        7 rooms","301,279","±9,395","13.8%","±0.4","27,718","±2,117","9.0%","±0.7","333,723","±9,004","11.5%","±0.3","156,378","±4,984","11.8%","±0.4","1,505,214","±17,519","10.9%","±0.1","267,038","±6,523","11.9%","±0.3","191,425","±5,840","12.9%","±0.4","65,529","±3,534","15.9%","±0.9","22,610","±1,933","7.5%","±0.6","944,737","±13,921","10.4%","±0.2","557,212","±10,826","13.6%","±0.3","41,765","±2,616","7.9%","±0.5","83,745","±4,095","12.4%","±0.6","635,952","±10,184","12.0%","±0.2","383,489","±8,217","13.6%","±0.3","184,083","±5,872","13.6%","±0.4","165,004","±5,925","13.3%","±0.5","239,558","±6,317","12.4%","±0.3","245,996","±6,982","12.4%","±0.4","82,402","±4,316","11.4%","±0.6","337,231","±8,425","14.0%","±0.4","335,426","±9,272","11.9%","±0.3","611,729","±9,939","13.5%","±0.2","302,063","±7,169","12.8%","±0.3","156,548","±6,108","12.2%","±0.5","348,468","±7,684","12.8%","±0.3","52,984","±2,801","10.9%","±0.6","101,640","±3,867","12.6%","±0.5","138,331","±4,980","11.7%","±0.4","76,683","±3,970","12.4%","±0.6","455,152","±11,062","12.7%","±0.3","104,738","±4,653","11.6%","±0.5","826,536","±13,247","10.2%","±0.2","545,296","±11,702","12.4%","±0.3","37,851","±2,364","11.2%","±0.7","733,666","±11,083","14.3%","±0.2","210,601","±5,548","12.5%","±0.3","200,685","±6,437","11.9%","±0.4","817,052","±10,950","14.7%","±0.2","52,922","±3,577","11.5%","±0.8","287,920","±7,095","13.3%","±0.3","46,479","±2,862","12.6%","±0.8","375,006","±8,795","13.2%","±0.3","1,185,841","±15,590","11.6%","±0.2","125,666","±4,451","12.5%","±0.4","39,857","±2,129","12.3%","±0.7","458,700","±9,744","13.4%","±0.3","362,891","±8,641","12.4%","±0.3","124,366","±4,469","14.1%","±0.5","325,285","±6,615","12.4%","±0.3","33,083","±2,191","12.5%","±0.8","82,177","±4,150","5.2%","±0.3"
"        8 rooms","191,387","±6,826","8.7%","±0.3","18,973","±1,888","6.2%","±0.6","197,548","±6,408","6.8%","±0.2","89,882","±4,626","6.8%","±0.3","895,444","±14,878","6.5%","±0.1","212,614","±6,403","9.5%","±0.3","148,590","±6,147","10.0%","±0.4","49,260","±3,224","12.0%","±0.8","16,932","±1,775","5.6%","±0.6","551,436","±10,822","6.1%","±0.1","399,507","±10,500","9.7%","±0.3","25,456","±1,900","4.8%","±0.4","61,040","±4,128","9.0%","±0.6","472,981","±10,799","8.9%","±0.2","261,791","±7,673","9.3%","±0.3","139,943","±4,185","10.4%","±0.3","132,264","±4,661","10.7%","±0.4","163,863","±5,919","8.5%","±0.3","147,409","±5,493","7.4%","±0.3","54,796","±2,972","7.6%","±0.4","269,767","±7,576","11.2%","±0.3","258,519","±6,577","9.2%","±0.2","412,055","±9,501","9.1%","±0.2","261,855","±5,918","11.1%","±0.2","88,941","±3,841","6.9%","±0.3","245,405","±6,871","9.0%","±0.3","45,282","±3,029","9.3%","±0.6","86,476","±3,352","10.7%","±0.4","80,828","±5,128","6.8%","±0.4","55,638","±3,748","9.0%","±0.6","363,588","±9,427","10.2%","±0.3","61,905","±3,409","6.8%","±0.4","606,065","±11,883","7.5%","±0.1","355,060","±8,637","8.1%","±0.2","31,364","±2,051","9.2%","±0.6","514,260","±9,451","10.0%","±0.2","119,216","±4,260","7.1%","±0.3","127,788","±5,394","7.6%","±0.3","590,579","±9,898","10.6%","±0.2","37,138","±3,209","8.0%","±0.7","178,270","±6,665","8.3%","±0.3","36,587","±2,385","9.9%","±0.6","240,404","±7,134","8.5%","±0.3","765,099","±13,290","7.5%","±0.1","117,390","±5,054","11.7%","±0.5","27,886","±2,008","8.6%","±0.6","367,362","±10,110","10.8%","±0.3","260,945","±6,478","8.9%","±0.2","76,081","±3,709","8.7%","±0.4","229,950","±6,057","8.7%","±0.2","24,743","±2,094","9.3%","±0.8","43,371","±2,687","2.8%","±0.2"
"        9 rooms or more","228,672","±6,520","10.4%","±0.3","22,598","±2,317","7.4%","±0.8","199,256","±5,582","6.9%","±0.2","95,388","±4,425","7.2%","±0.3","925,844","±12,738","6.7%","±0.1","374,520","±7,125","16.7%","±0.3","182,287","±5,368","12.2%","±0.4","68,272","±3,791","16.6%","±0.9","29,079","±2,250","9.6%","±0.7","519,572","±9,337","5.7%","±0.1","551,171","±11,352","13.4%","±0.3","27,477","±1,848","5.2%","±0.4","100,501","±5,125","14.9%","±0.8","623,952","±10,640","11.8%","±0.2","344,036","±7,194","12.2%","±0.3","203,618","±5,150","15.1%","±0.4","188,551","±5,248","15.2%","±0.4","213,682","±6,247","11.0%","±0.3","150,523","±5,360","7.6%","±0.3","64,682","±3,382","8.9%","±0.5","472,734","±8,492","19.7%","±0.4","320,231","±7,130","11.4%","±0.3","538,900","±8,397","11.9%","±0.2","438,737","±8,152","18.5%","±0.3","99,701","±4,456","7.8%","±0.3","305,792","±6,129","11.2%","±0.2","60,683","±2,553","12.5%","±0.5","140,777","±4,418","17.4%","±0.5","79,393","±3,338","6.7%","±0.3","70,637","±3,794","11.5%","±0.6","492,577","±8,733","13.8%","±0.2","59,515","±3,622","6.6%","±0.4","751,588","±11,276","9.2%","±0.1","462,580","±8,739","10.5%","±0.2","58,601","±2,909","17.3%","±0.9","637,563","±10,566","12.4%","±0.2","117,335","±3,849","7.0%","±0.2","169,601","±5,663","10.1%","±0.3","757,250","±10,960","13.6%","±0.2","38,385","±2,686","8.3%","±0.6","207,891","±7,010","9.6%","±0.3","61,770","±2,800","16.7%","±0.8","320,311","±7,798","11.3%","±0.3","948,093","±14,384","9.2%","±0.1","238,318","±5,856","23.7%","±0.6","41,073","±2,093","12.7%","±0.6","582,697","±10,095","17.1%","±0.3","367,495","±6,919","12.5%","±0.2","83,113","±3,612","9.5%","±0.4","302,008","±6,304","11.5%","±0.2","39,060","±3,042","14.7%","±1.1","25,690","±2,516","1.6%","±0.2"
"        Median rooms","5.7","±0.1","(X)","(X)","4.8","±0.2","(X)","(X)","5.2","±0.1","(X)","(X)","5.4","±0.1","(X)","(X)","5.1","±0.1","(X)","(X)","5.7","±0.1","(X)","(X)","5.7","±0.2","(X)","(X)","6.2","±0.1","(X)","(X)","4.3","±0.1","(X)","(X)","5.1","±0.1","(X)","(X)","5.8","±0.1","(X)","(X)","4.6","±0.2","(X)","(X)","5.7","±0.1","(X)","(X)","5.6","±0.2","(X)","(X)","5.7","±0.2","(X)","(X)","5.9","±0.1","(X)","(X)","5.9","±0.1","(X)","(X)","5.5","±0.2","(X)","(X)","5.4","±0.1","(X)","(X)","5.3","±0.1","(X)","(X)","6.2","±0.1","(X)","(X)","5.5","±0.1","(X)","(X)","5.7","±0.1","(X)","(X)","6.0","±0.1","(X)","(X)","5.4","±0.1","(X)","(X)","5.6","±0.1","(X)","(X)","5.4","±0.1","(X)","(X)","5.9","±0.2","(X)","(X)","5.2","±0.1","(X)","(X)","5.5","±0.1","(X)","(X)","5.7","±0.1","(X)","(X)","5.3","±0.1","(X)","(X)","5.0","±0.1","(X)","(X)","5.5","±0.1","(X)","(X)","5.6","±0.1","(X)","(X)","5.8","±0.1","(X)","(X)","5.4","±0.1","(X)","(X)","5.3","±0.1","(X)","(X)","6.0","±0.1","(X)","(X)","5.3","±0.2","(X)","(X)","5.5","±0.1","(X)","(X)","5.8","±0.2","(X)","(X)","5.6","±0.1","(X)","(X)","5.3","±0.1","(X)","(X)","6.3","±0.2","(X)","(X)","5.5","±0.1","(X)","(X)","6.0","±0.1","(X)","(X)","5.5","±0.1","(X)","(X)","5.6","±0.3","(X)","(X)","5.5","±0.1","(X)","(X)","5.6","±0.2","(X)","(X)","4.8","±0.1","(X)","(X)"
"BEDROOMS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
