"","Alabama","","","","Alaska","","","","Arizona","","","","Arkansas","","","","California","","","","Colorado","","","","Connecticut","","","","Delaware","","","","District of Columbia","","","","Florida","","","","Georgia","","","","Hawaii","","","","Idaho","","","","Illinois","","","","Indiana","","","","Iowa","","","","Kansas","","","","Kentucky","","","","Louisiana","","","","Maine","","","","Maryland","","","","Massachusetts","","","","Michigan","","","","Minnesota","","","","Mississippi","","","","Missouri","","","","Montana","","","","Nebraska","","","","Nevada","","","","New Hampshire","","","","New Jersey","","","","New Mexico","","","","New York","","","","North Carolina","","","","North Dakota","","","","Ohio","","","","Oklahoma","","","","Oregon","","","","Pennsylvania","","","","Rhode Island","","","","South Carolina","","","","South Dakota","","","","Tennessee","","","","Texas","","","","Utah","","","","Vermont","","","","Virginia","","","","Washington","","","","West Virginia","","","","Wisconsin","","","","Wyoming","","","","Puerto Rico","","",""
"Label (Grouping)","Alabama!!Estimate","Alabama!!Margin of Error","Alabama!!Percent","Alabama!!Percent Margin of Error","Alaska!!Estimate","Alaska!!Margin of Error","Alaska!!Percent","Alaska!!Percent Margin of Error","Arizona!!Estimate","Arizona!!Margin of Error","Arizona!!Percent","Arizona!!Percent Margin of Error","Arkansas!!Estimate","Arkansas!!Margin of Error","Arkansas!!Percent","Arkansas!!Percent Margin of Error","California!!Estimate","California!!Margin of Error","California!!Percent","California!!Percent Margin of Error","Colorado!!Estimate","Colorado!!Margin of Error","Colorado!!Percent","Colorado!!Percent Margin of Error","Connecticut!!Estimate","Connecticut!!Margin of Error","Connecticut!!Percent","Connecticut!!Percent Margin of Error","Delaware!!Estimate","Delaware!!Margin of Error","Delaware!!Percent","Delaware!!Percent Margin of Error","District of Columbia!!Estimate","District of Columbia!!Margin of Error","District of Columbia!!Percent","District of Columbia!!Percent Margin of Error","Florida!!Estimate","Florida!!Margin of Error","Florida!!Percent","Florida!!Percent Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Georgia!!Percent","Georgia!!Percent Margin of Error","Hawaii!!Estimate","Hawaii!!Margin of Error","Hawaii!!Percent","Hawaii!!Percent Margin of Error","Idaho!!Estimate","Idaho!!Margin of Error","Idaho!!Percent","Idaho!!Percent Margin of Error","Illinois!!Estimate","Illinois!!Margin of Error","Illinois!!Percent","Illinois!!Percent Margin of Error","Indiana!!Estimate","Indiana!!Margin of Error","Indiana!!Percent","Indiana!!Percent Margin of Error","Iowa!!Estimate","Iowa!!Margin of Error","Iowa!!Percent","Iowa!!Percent Margin of Error","Kansas!!Estimate","Kansas!!Margin of Error","Kansas!!Percent","Kansas!!Percent Margin of Error","Kentucky!!Estimate","Kentucky!!Margin of Error","Kentucky!!Percent","Kentucky!!Percent Margin of Error","Louisiana!!Estimate","Louisiana!!Margin of Error","Louisiana!!Percent","Louisiana!!Percent Margin of Error","Maine!!Estimate","Maine!!Margin of Error","Maine!!Percent","Maine!!Percent Margin of Error","Maryland!!Estimate","Maryland!!Margin of Error","Maryland!!Percent","Maryland!!Percent Margin of Error","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","Michigan!!Estimate","Michigan!!Margin of Error","Michigan!!Percent","Michigan!!Percent Margin of Error","Minnesota!!Estimate","Minnesota!!Margin of Error","Minnesota!!Percent","Minnesota!!Percent Margin of Error","Mississippi!!Estimate","Mississippi!!Margin of Error","Mississippi!!Percent","Mississippi!!Percent Margin of Error","Missouri!!Estimate","Missouri!!Margin of Error","Missouri!!Percent","Missouri!!Percent Margin of Error","Montana!!Estimate","Montana!!Margin of Error","Montana!!Percent","Montana!!Percent Margin of Error","Nebraska!!Estimate","Nebraska!!Margin of Error","Nebraska!!Percent","Nebraska!!Percent Margin of Error","Nevada!!Estimate","Nevada!!Margin of Error","Nevada!!Percent","Nevada!!Percent Margin of Error","New Hampshire!!Estimate","New Hampshire!!Margin of Error","New Hampshire!!Percent","New Hampshire!!Percent Margin of Error","New Jersey!!Estimate","New Jersey!!Margin of Error","New Jersey!!Percent","New Jersey!!Percent Margin of Error","New Mexico!!Estimate","New Mexico!!Margin of Error","New Mexico!!Percent","New Mexico!!Percent Margin of Error","New York!!Estimate","New York!!Margin of Error","New York!!Percent","New York!!Percent Margin of Error","North Carolina!!Estimate","North Carolina!!Margin of Error","North Carolina!!Percent","North Carolina!!Percent Margin of Error","North Dakota!!Estimate","North Dakota!!Margin of Error","North Dakota!!Percent","North Dakota!!Percent Margin of Error","Ohio!!Estimate","Ohio!!Margin of Error","Ohio!!Percent","Ohio!!Percent Margin of Error","Oklahoma!!Estimate","Oklahoma!!Margin of Error","Oklahoma!!Percent","Oklahoma!!Percent Margin of Error","Oregon!!Estimate","Oregon!!Margin of Error","Oregon!!Percent","Oregon!!Percent Margin of Error","Pennsylvania!!Estimate","Pennsylvania!!Margin of Error","Pennsylvania!!Percent","Pennsylvania!!Percent Margin of Error","Rhode Island!!Estimate","Rhode Island!!Margin of Error","Rhode Island!!Percent","Rhode Island!!Percent Margin of Error","South Carolina!!Estimate","South Carolina!!Margin of Error","South Carolina!!Percent","South Carolina!!Percent Margin of Error","South Dakota!!Estimate","South Dakota!!Margin of Error","South Dakota!!Percent","South Dakota!!Percent Margin of Error","Tennessee!!Estimate","Tennessee!!Margin of Error","Tennessee!!Percent","Tennessee!!Percent Margin of Error","Texas!!Estimate","Texas!!Margin of Error","Texas!!Percent","Texas!!Percent Margin of Error","Utah!!Estimate","Utah!!Margin of Error","Utah!!Percent","Utah!!Percent Margin of Error","Vermont!!Estimate","Vermont!!Margin of Error","Vermont!!Percent","Vermont!!Percent Margin of Error","Virginia!!Estimate","Virginia!!Margin of Error","Virginia!!Percent","Virginia!!Percent Margin of Error","Washington!!Estimate","Washington!!Margin of Error","Washington!!Percent","Washington!!Percent Margin of Error","West Virginia!!Estimate","West Virginia!!Margin of Error","West Virginia!!Percent","West Virginia!!Percent Margin of Error","Wisconsin!!Estimate","Wisconsin!!Margin of Error","Wisconsin!!Percent","Wisconsin!!Percent Margin of Error","Wyoming!!Estimate","Wyoming!!Margin of Error","Wyoming!!Percent","Wyoming!!Percent Margin of Error","Puerto Rico!!Estimate","Puerto Rico!!Margin of Error","Puerto Rico!!Percent","Puerto Rico!!Percent Margin of Error"
"HOUSING OCCUPANCY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total housing units","2,190,027","±209","2,190,027","(X)","307,417","±118","307,417","(X)","2,892,359","±448","2,892,359","(X)","1,329,777","±274","1,329,777","(X)","13,791,262","±659","13,791,262","(X)","2,247,291","±365","2,247,291","(X)","1,488,072","±488","1,488,072","(X)","412,015","±82","412,015","(X)","302,975","±82","302,975","(X)","9,047,973","±677","9,047,973","(X)","4,110,162","±454","4,110,162","(X)","526,305","±118","526,305","(X)","676,192","±151","676,192","(X)","5,289,653","±519","5,289,653","(X)","2,809,640","±388","2,809,640","(X)","1,349,607","±435","1,349,607","(X)","1,239,755","±265","1,239,755","(X)","1,936,634","±375","1,936,634","(X)","1,990,967","±283","1,990,967","(X)","723,140","±130","723,140","(X)","2,404,177","±294","2,404,177","(X)","2,813,641","±270","2,813,641","(X)","4,525,266","±593","4,525,266","(X)","2,368,754","±644","2,368,754","(X)","1,283,192","±201","1,283,192","(X)","2,719,109","±265","2,719,109","(X)","485,767","±162","485,767","(X)","806,888","±638","806,888","(X)","1,186,936","±122","1,186,936","(X)","616,496","±199","616,496","(X)","3,578,260","±359","3,578,260","(X)","905,134","±292","905,134","(X)","8,126,399","±557","8,126,399","(X)","4,394,515","±559","4,394,515","(X)","339,293","±180","339,293","(X)","5,124,126","±417","5,124,126","(X)","1,682,358","±207","1,682,358","(X)","1,684,107","±180","1,684,107","(X)","5,565,354","±405","5,565,354","(X)","461,658","±77","461,658","(X)","2,158,784","±213","2,158,784","(X)","370,207","±292","370,207","(X)","2,840,998","±322","2,840,998","(X)","10,256,203","±658","10,256,203","(X)","1,006,164","±170","1,006,164","(X)","323,936","±138","323,936","(X)","3,412,577","±461","3,412,577","(X)","2,928,300","±262","2,928,300","(X)","879,424","±204","879,424","(X)","2,633,420","±384","2,633,420","(X)","265,471","±91","265,471","(X)","1,572,849","±6,980","1,572,849","(X)"
"        Occupied housing units","1,822,439","±11,200","83.2%","±0.5","246,015","±2,720","80.0%","±0.9","2,400,809","±11,557","83.0%","±0.4","1,125,899","±6,925","84.7%","±0.5","12,650,592","±16,944","91.7%","±0.1","2,002,800","±8,550","89.1%","±0.4","1,339,860","±7,005","90.0%","±0.5","339,071","±3,144","82.3%","±0.8","271,651","±3,228","89.7%","±1.1","7,211,584","±26,752","79.7%","±0.3","3,546,965","±15,286","86.3%","±0.4","450,120","±4,406","85.5%","±0.8","588,489","±5,467","87.0%","±0.8","4,783,421","±13,914","90.4%","±0.3","2,498,395","±10,688","88.9%","±0.4","1,236,209","±7,287","91.6%","±0.5","1,113,729","±6,143","89.8%","±0.5","1,705,623","±9,376","88.1%","±0.5","1,728,149","±9,677","86.8%","±0.5","547,686","±5,711","75.7%","±0.8","2,161,680","±8,942","89.9%","±0.4","2,536,321","±9,232","90.1%","±0.3","3,832,466","±10,485","84.7%","±0.2","2,119,954","±6,871","89.5%","±0.3","1,091,002","±7,807","85.0%","±0.6","2,362,853","±9,949","86.9%","±0.4","406,288","±3,840","83.6%","±0.8","730,579","±4,441","90.5%","±0.6","1,002,571","±7,173","84.5%","±0.6","519,246","±4,617","84.2%","±0.8","3,176,139","±9,966","88.8%","±0.3","753,507","±6,087","83.2%","±0.7","7,219,356","±14,194","88.8%","±0.2","3,757,480","±13,443","85.5%","±0.3","298,298","±2,835","87.9%","±0.8","4,564,745","±13,440","89.1%","±0.3","1,447,277","±6,526","86.0%","±0.4","1,523,799","±7,789","90.5%","±0.5","4,938,894","±14,403","88.7%","±0.3","406,366","±4,030","88.0%","±0.9","1,794,989","±10,191","83.1%","±0.5","331,406","±2,992","89.5%","±0.8","2,490,249","±12,758","87.7%","±0.4","9,110,853","±20,640","88.8%","±0.2","899,475","±5,032","89.4%","±0.5","253,234","±2,792","78.2%","±0.9","3,055,863","±11,608","89.5%","±0.3","2,644,557","±11,069","90.3%","±0.4","738,653","±5,969","84.0%","±0.7","2,289,424","±8,727","86.9%","±0.3","224,003","±3,223","84.4%","±1.2","1,253,690","±9,187","79.7%","±0.5"
"        Vacant housing units","367,588","±11,207","16.8%","±0.5","61,402","±2,712","20.0%","±0.9","491,550","±11,551","17.0%","±0.4","203,878","±7,032","15.3%","±0.5","1,140,670","±16,912","8.3%","±0.1","244,491","±8,533","10.9%","±0.4","148,212","±7,061","10.0%","±0.5","72,944","±3,133","17.7%","±0.8","31,324","±3,231","10.3%","±1.1","1,836,389","±26,673","20.3%","±0.3","563,197","±15,431","13.7%","±0.4","76,185","±4,433","14.5%","±0.8","87,703","±5,456","13.0%","±0.8","506,232","±14,038","9.6%","±0.3","311,245","±10,851","11.1%","±0.4","113,398","±7,397","8.4%","±0.5","126,026","±6,217","10.2%","±0.5","231,011","±9,415","11.9%","±0.5","262,818","±9,699","13.2%","±0.5","175,454","±5,753","24.3%","±0.8","242,497","±8,976","10.1%","±0.4","277,320","±9,264","9.9%","±0.3","692,800","±10,596","15.3%","±0.2","248,800","±7,064","10.5%","±0.3","192,190","±7,735","15.0%","±0.6","356,256","±9,974","13.1%","±0.4","79,479","±3,848","16.4%","±0.8","76,309","±4,655","9.5%","±0.6","184,365","±7,176","15.5%","±0.6","97,250","±4,626","15.8%","±0.8","402,121","±9,964","11.2%","±0.3","151,627","±6,005","16.8%","±0.7","907,043","±14,178","11.2%","±0.2","637,035","±13,598","14.5%","±0.3","40,995","±2,885","12.1%","±0.8","559,381","±13,431","10.9%","±0.3","235,081","±6,547","14.0%","±0.4","160,308","±7,790","9.5%","±0.5","626,460","±14,344","11.3%","±0.3","55,292","±4,032","12.0%","±0.9","363,795","±10,235","16.9%","±0.5","38,801","±3,006","10.5%","±0.8","350,749","±12,731","12.3%","±0.4","1,145,350","±20,707","11.2%","±0.2","106,689","±5,020","10.6%","±0.5","70,702","±2,822","21.8%","±0.9","356,714","±11,532","10.5%","±0.3","283,743","±10,997","9.7%","±0.4","140,771","±5,959","16.0%","±0.7","343,996","±8,811","13.1%","±0.3","41,468","±3,252","15.6%","±1.2","319,159","±7,439","20.3%","±0.5"
"    Homeowner vacancy rate","2.8","±0.3","(X)","(X)","1.7","±0.6","(X)","(X)","2.9","±0.3","(X)","(X)","2.9","±0.4","(X)","(X)","1.3","±0.1","(X)","(X)","1.4","±0.2","(X)","(X)","1.9","±0.3","(X)","(X)","1.9","±0.4","(X)","(X)","1.4","±0.6","(X)","(X)","2.5","±0.2","(X)","(X)","2.6","±0.2","(X)","(X)","1.1","±0.4","(X)","(X)","2.0","±0.4","(X)","(X)","1.8","±0.1","(X)","(X)","2.0","±0.2","(X)","(X)","1.5","±0.2","(X)","(X)","1.9","±0.3","(X)","(X)","2.1","±0.3","(X)","(X)","1.6","±0.2","(X)","(X)","2.1","±0.3","(X)","(X)","1.5","±0.2","(X)","(X)","1.1","±0.2","(X)","(X)","1.9","±0.2","(X)","(X)","1.4","±0.2","(X)","(X)","2.2","±0.4","(X)","(X)","2.2","±0.2","(X)","(X)","2.5","±0.5","(X)","(X)","1.2","±0.2","(X)","(X)","1.9","±0.3","(X)","(X)","1.3","±0.4","(X)","(X)","1.7","±0.2","(X)","(X)","3.0","±0.4","(X)","(X)","1.6","±0.1","(X)","(X)","2.3","±0.2","(X)","(X)","1.5","±0.5","(X)","(X)","2.0","±0.1","(X)","(X)","2.3","±0.2","(X)","(X)","1.6","±0.3","(X)","(X)","1.6","±0.1","(X)","(X)","1.9","±0.6","(X)","(X)","2.2","±0.2","(X)","(X)","1.6","±0.4","(X)","(X)","2.1","±0.2","(X)","(X)","1.6","±0.1","(X)","(X)","1.6","±0.3","(X)","(X)","1.5","±0.4","(X)","(X)","1.5","±0.2","(X)","(X)","1.7","±0.2","(X)","(X)","1.8","±0.3","(X)","(X)","1.8","±0.2","(X)","(X)","1.4","±0.6","(X)","(X)","3.5","±0.3","(X)","(X)"
"    Rental vacancy rate","9.2","±0.7","(X)","(X)","7.7","±1.3","(X)","(X)","8.9","±0.5","(X)","(X)","9.7","±0.9","(X)","(X)","4.2","±0.2","(X)","(X)","5.3","±0.5","(X)","(X)","6.6","±0.7","(X)","(X)","9.3","±1.7","(X)","(X)","6.2","±1.2","(X)","(X)","9.2","±0.4","(X)","(X)","9.3","±0.5","(X)","(X)","8.6","±1.0","(X)","(X)","5.1","±1.2","(X)","(X)","6.2","±0.3","(X)","(X)","7.0","±0.6","(X)","(X)","6.0","±0.7","(X)","(X)","6.5","±0.7","(X)","(X)","6.7","±0.6","(X)","(X)","7.6","±0.6","(X)","(X)","7.2","±1.0","(X)","(X)","7.0","±0.5","(X)","(X)","4.6","±0.4","(X)","(X)","6.0","±0.4","(X)","(X)","3.9","±0.4","(X)","(X)","8.7","±0.8","(X)","(X)","6.9","±0.6","(X)","(X)","5.5","±1.1","(X)","(X)","5.6","±0.7","(X)","(X)","10.5","±0.8","(X)","(X)","5.1","±1.1","(X)","(X)","6.2","±0.4","(X)","(X)","9.0","±0.9","(X)","(X)","4.2","±0.2","(X)","(X)","7.5","±0.5","(X)","(X)","6.4","±1.3","(X)","(X)","6.1","±0.3","(X)","(X)","8.2","±0.7","(X)","(X)","4.4","±0.6","(X)","(X)","5.8","±0.3","(X)","(X)","7.0","±1.3","(X)","(X)","10.5","±0.7","(X)","(X)","4.2","±1.1","(X)","(X)","7.9","±0.6","(X)","(X)","7.9","±0.3","(X)","(X)","6.0","±0.9","(X)","(X)","4.9","±1.2","(X)","(X)","6.4","±0.5","(X)","(X)","4.7","±0.4","(X)","(X)","7.7","±1.0","(X)","(X)","5.2","±0.5","(X)","(X)","8.1","±2.0","(X)","(X)","7.9","±0.6","(X)","(X)"
"UNITS IN STRUCTURE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total housing units","2,190,027","±209","2,190,027","(X)","307,417","±118","307,417","(X)","2,892,359","±448","2,892,359","(X)","1,329,777","±274","1,329,777","(X)","13,791,262","±659","13,791,262","(X)","2,247,291","±365","2,247,291","(X)","1,488,072","±488","1,488,072","(X)","412,015","±82","412,015","(X)","302,975","±82","302,975","(X)","9,047,973","±677","9,047,973","(X)","4,110,162","±454","4,110,162","(X)","526,305","±118","526,305","(X)","676,192","±151","676,192","(X)","5,289,653","±519","5,289,653","(X)","2,809,640","±388","2,809,640","(X)","1,349,607","±435","1,349,607","(X)","1,239,755","±265","1,239,755","(X)","1,936,634","±375","1,936,634","(X)","1,990,967","±283","1,990,967","(X)","723,140","±130","723,140","(X)","2,404,177","±294","2,404,177","(X)","2,813,641","±270","2,813,641","(X)","4,525,266","±593","4,525,266","(X)","2,368,754","±644","2,368,754","(X)","1,283,192","±201","1,283,192","(X)","2,719,109","±265","2,719,109","(X)","485,767","±162","485,767","(X)","806,888","±638","806,888","(X)","1,186,936","±122","1,186,936","(X)","616,496","±199","616,496","(X)","3,578,260","±359","3,578,260","(X)","905,134","±292","905,134","(X)","8,126,399","±557","8,126,399","(X)","4,394,515","±559","4,394,515","(X)","339,293","±180","339,293","(X)","5,124,126","±417","5,124,126","(X)","1,682,358","±207","1,682,358","(X)","1,684,107","±180","1,684,107","(X)","5,565,354","±405","5,565,354","(X)","461,658","±77","461,658","(X)","2,158,784","±213","2,158,784","(X)","370,207","±292","370,207","(X)","2,840,998","±322","2,840,998","(X)","10,256,203","±658","10,256,203","(X)","1,006,164","±170","1,006,164","(X)","323,936","±138","323,936","(X)","3,412,577","±461","3,412,577","(X)","2,928,300","±262","2,928,300","(X)","879,424","±204","879,424","(X)","2,633,420","±384","2,633,420","(X)","265,471","±91","265,471","(X)","1,572,849","±6,980","1,572,849","(X)"
"        1-unit, detached","1,493,751","±10,073","68.2%","±0.5","198,267","±3,735","64.5%","±1.2","1,842,597","±12,126","63.7%","±0.4","921,306","±8,463","69.3%","±0.6","8,009,878","±25,044","58.1%","±0.2","1,418,724","±9,247","63.1%","±0.4","875,291","±8,521","58.8%","±0.6","240,319","±5,132","58.3%","±1.2","35,886","±2,537","11.8%","±0.8","4,881,395","±25,685","54.0%","±0.3","2,727,053","±13,810","66.3%","±0.3","284,436","±4,732","54.0%","±0.9","500,212","±5,808","74.0%","±0.9","3,095,060","±15,274","58.5%","±0.3","2,032,883","±11,085","72.4%","±0.4","997,109","±7,230","73.9%","±0.5","895,869","±7,405","72.3%","±0.6","1,311,039","±10,858","67.7%","±0.6","1,295,622","±11,568","65.1%","±0.6","505,095","±5,851","69.8%","±0.8","1,233,806","±10,364","51.3%","±0.4","1,459,702","±10,563","51.9%","±0.4","3,254,100","±11,655","71.9%","±0.3","1,595,388","±9,742","67.4%","±0.4","888,554","±7,935","69.2%","±0.6","1,904,652","±11,296","70.0%","±0.4","335,828","±4,379","69.1%","±0.9","587,567","±5,178","72.8%","±0.6","706,859","±7,641","59.6%","±0.6","387,464","±6,389","62.8%","±1.0","1,903,693","±11,559","53.2%","±0.3","585,831","±7,735","64.7%","±0.9","3,394,447","±16,843","41.8%","±0.2","2,868,596","±16,945","65.3%","±0.4","204,110","±3,692","60.2%","±1.1","3,513,659","±15,923","68.6%","±0.3","1,217,022","±6,820","72.3%","±0.4","1,070,790","±8,699","63.6%","±0.5","3,171,116","±13,799","57.0%","±0.2","257,543","±5,373","55.8%","±1.2","1,349,175","±10,528","62.5%","±0.5","255,462","±3,731","69.0%","±1.0","1,956,074","±11,071","68.9%","±0.4","6,664,460","±24,160","65.0%","±0.2","697,678","±6,349","69.3%","±0.6","216,056","±3,512","66.7%","±1.1","2,099,847","±12,193","61.5%","±0.4","1,842,634","±11,016","62.9%","±0.4","622,204","±7,135","70.8%","±0.8","1,752,162","±10,250","66.5%","±0.4","177,225","±3,450","66.8%","±1.3","1,060,405","±8,387","67.4%","±0.5"
