"","Alabama","","","","Alaska","","","","Arizona","","","","Arkansas","","","","California","","","","Colorado","","","","Connecticut","","","","Delaware","","","","District of Columbia","","","","Florida","","","","Georgia","","","","Hawaii","","","","Idaho","","","","Illinois","","","","Indiana","","","","Iowa","","","","Kansas","","","","Kentucky","","","","Louisiana","","","","Maine","","","","Maryland","","","","Massachusetts","","","","Michigan","","","","Minnesota","","","","Mississippi","","","","Missouri","","","","Montana","","","","Nebraska","","","","Nevada","","","","New Hampshire","","","","New Jersey","","","","New Mexico","","","","New York","","","","North Carolina","","","","North Dakota","","","","Ohio","","","","Oklahoma","","","","Oregon","","","","Pennsylvania","","","","Rhode Island","","","","South Carolina","","","","South Dakota","","","","Tennessee","","","","Texas","","","","Utah","","","","Vermont","","","","Virginia","","","","Washington","","","","West Virginia","","","","Wisconsin","","","","Wyoming","","","","Puerto Rico","","",""
"Label (Grouping)","Alabama!!Estimate","Alabama!!Margin of Error","Alabama!!Percent","Alabama!!Percent Margin of Error","Alaska!!Estimate","Alaska!!Margin of Error","Alaska!!Percent","Alaska!!Percent Margin of Error","Arizona!!Estimate","Arizona!!Margin of Error","Arizona!!Percent","Arizona!!Percent Margin of Error","Arkansas!!Estimate","Arkansas!!Margin of Error","Arkansas!!Percent","Arkansas!!Percent Margin of Error","California!!Estimate","California!!Margin of Error","California!!Percent","California!!Percent Margin of Error","Colorado!!Estimate","Colorado!!Margin of Error","Colorado!!Percent","Colorado!!Percent Margin of Error","Connecticut!!Estimate","Connecticut!!Margin of Error","Connecticut!!Percent","Connecticut!!Percent Margin of Error","Delaware!!Estimate","Delaware!!Margin of Error","Delaware!!Percent","Delaware!!Percent Margin of Error","District of Columbia!!Estimate","District of Columbia!!Margin of Error","District of Columbia!!Percent","District of Columbia!!Percent Margin of Error","Florida!!Estimate","Florida!!Margin of Error","Florida!!Percent","Florida!!Percent Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Georgia!!Percent","Georgia!!Percent Margin of Error","Hawaii!!Estimate","Hawaii!!Margin of Error","Hawaii!!Percent","Hawaii!!Percent Margin of Error","Idaho!!Estimate","Idaho!!Margin of Error","Idaho!!Percent","Idaho!!Percent Margin of Error","Illinois!!Estimate","Illinois!!Margin of Error","Illinois!!Percent","Illinois!!Percent Margin of Error","Indiana!!Estimate","Indiana!!Margin of Error","Indiana!!Percent","Indiana!!Percent Margin of Error","Iowa!!Estimate","Iowa!!Margin of Error","Iowa!!Percent","Iowa!!Percent Margin of Error","Kansas!!Estimate","Kansas!!Margin of Error","Kansas!!Percent","Kansas!!Percent Margin of Error","Kentucky!!Estimate","Kentucky!!Margin of Error","Kentucky!!Percent","Kentucky!!Percent Margin of Error","Louisiana!!Estimate","Louisiana!!Margin of Error","Louisiana!!Percent","Louisiana!!Percent Margin of Error","Maine!!Estimate","Maine!!Margin of Error","Maine!!Percent","Maine!!Percent Margin of Error","Maryland!!Estimate","Maryland!!Margin of Error","Maryland!!Percent","Maryland!!Percent Margin of Error","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","Michigan!!Estimate","Michigan!!Margin of Error","Michigan!!Percent","Michigan!!Percent Margin of Error","Minnesota!!Estimate","Minnesota!!Margin of Error","Minnesota!!Percent","Minnesota!!Percent Margin of Error","Mississippi!!Estimate","Mississippi!!Margin of Error","Mississippi!!Percent","Mississippi!!Percent Margin of Error","Missouri!!Estimate","Missouri!!Margin of Error","Missouri!!Percent","Missouri!!Percent Margin of Error","Montana!!Estimate","Montana!!Margin of Error","Montana!!Percent","Montana!!Percent Margin of Error","Nebraska!!Estimate","Nebraska!!Margin of Error","Nebraska!!Percent","Nebraska!!Percent Margin of Error","Nevada!!Estimate","Nevada!!Margin of Error","Nevada!!Percent","Nevada!!Percent Margin of Error","New Hampshire!!Estimate","New Hampshire!!Margin of Error","New Hampshire!!Percent","New Hampshire!!Percent Margin of Error","New Jersey!!Estimate","New Jersey!!Margin of Error","New Jersey!!Percent","New Jersey!!Percent Margin of Error","New Mexico!!Estimate","New Mexico!!Margin of Error","New Mexico!!Percent","New Mexico!!Percent Margin of Error","New York!!Estimate","New York!!Margin of Error","New York!!Percent","New York!!Percent Margin of Error","North Carolina!!Estimate","North Carolina!!Margin of Error","North Carolina!!Percent","North Carolina!!Percent Margin of Error","North Dakota!!Estimate","North Dakota!!Margin of Error","North Dakota!!Percent","North Dakota!!Percent Margin of Error","Ohio!!Estimate","Ohio!!Margin of Error","Ohio!!Percent","Ohio!!Percent Margin of Error","Oklahoma!!Estimate","Oklahoma!!Margin of Error","Oklahoma!!Percent","Oklahoma!!Percent Margin of Error","Oregon!!Estimate","Oregon!!Margin of Error","Oregon!!Percent","Oregon!!Percent Margin of Error","Pennsylvania!!Estimate","Pennsylvania!!Margin of Error","Pennsylvania!!Percent","Pennsylvania!!Percent Margin of Error","Rhode Island!!Estimate","Rhode Island!!Margin of Error","Rhode Island!!Percent","Rhode Island!!Percent Margin of Error","South Carolina!!Estimate","South Carolina!!Margin of Error","South Carolina!!Percent","South Carolina!!Percent Margin of Error","South Dakota!!Estimate","South Dakota!!Margin of Error","South Dakota!!Percent","South Dakota!!Percent Margin of Error","Tennessee!!Estimate","Tennessee!!Margin of Error","Tennessee!!Percent","Tennessee!!Percent Margin of Error","Texas!!Estimate","Texas!!Margin of Error","Texas!!Percent","Texas!!Percent Margin of Error","Utah!!Estimate","Utah!!Margin of Error","Utah!!Percent","Utah!!Percent Margin of Error","Vermont!!Estimate","Vermont!!Margin of Error","Vermont!!Percent","Vermont!!Percent Margin of Error","Virginia!!Estimate","Virginia!!Margin of Error","Virginia!!Percent","Virginia!!Percent Margin of Error","Washington!!Estimate","Washington!!Margin of Error","Washington!!Percent","Washington!!Percent Margin of Error","West Virginia!!Estimate","West Virginia!!Margin of Error","West Virginia!!Percent","West Virginia!!Percent Margin of Error","Wisconsin!!Estimate","Wisconsin!!Margin of Error","Wisconsin!!Percent","Wisconsin!!Percent Margin of Error","Wyoming!!Estimate","Wyoming!!Margin of Error","Wyoming!!Percent","Wyoming!!Percent Margin of Error","Puerto Rico!!Estimate","Puerto Rico!!Margin of Error","Puerto Rico!!Percent","Puerto Rico!!Percent Margin of Error"
"HOUSING OCCUPANCY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total housing units","2,189,567","±314","2,189,567","(X)","307,628","±120","307,628","(X)","2,871,486","±347","2,871,486","(X)","1,328,225","±186","1,328,225","(X)","13,708,197","±757","13,708,197","(X)","2,230,536","±335","2,230,536","(X)","1,488,002","±192","1,488,002","(X)","410,308","±130","410,308","(X)","300,247","±68","300,247","(X)","9,031,530","±639","9,031,530","(X)","4,107,554","±489","4,107,554","(X)","524,387","±108","524,387","(X)","673,048","±198","673,048","(X)","5,290,149","±1,419","5,290,149","(X)","2,808,430","±339","2,808,430","(X)","1,345,711","±221","1,345,711","(X)","1,238,703","±222","1,238,703","(X)","1,937,321","±391","1,937,321","(X)","1,987,059","±355","1,987,059","(X)","724,187","±192","724,187","(X)","2,395,635","±398","2,395,635","(X)","2,810,394","±204","2,810,394","(X)","4,525,081","±464","4,525,081","(X)","2,361,074","±907","2,361,074","(X)","1,283,897","±220","1,283,897","(X)","2,720,087","±435","2,720,087","(X)","486,161","±150","486,161","(X)","804,274","±215","804,274","(X)","1,182,842","±330","1,182,842","(X)","617,005","±115","617,005","(X)","3,574,763","±1,536","3,574,763","(X)","906,838","±291","906,838","(X)","8,123,585","±1,019","8,123,585","(X)","4,375,400","±520","4,375,400","(X)","329,249","±132","329,249","(X)","5,128,846","±400","5,128,846","(X)","1,677,646","±511","1,677,646","(X)","1,682,531","±205","1,682,531","(X)","5,572,765","±733","5,572,765","(X)","462,618","±150","462,618","(X)","2,156,768","±199","2,156,768","(X)","368,247","±286","368,247","(X)","2,834,808","±438","2,834,808","(X)","10,154,835","±788","10,154,835","(X)","996,777","±166","996,777","(X)","324,052","±118","324,052","(X)","3,398,389","±463","3,398,389","(X)","2,914,775","±266","2,914,775","(X)","882,800","±188","882,800","(X)","2,632,625","±287","2,632,625","(X)","265,207","±118","265,207","(X)","1,583,437","±6,946","1,583,437","(X)"
"    Occupied housing units","1,845,169","±11,483","84.3%","±0.5","251,651","±2,883","81.8%","±0.9","2,392,168","±11,611","83.3%","±0.4","1,143,859","±7,351","86.1%","±0.6","12,552,658","±18,433","91.6%","±0.1","1,996,088","±8,553","89.5%","±0.4","1,357,812","±6,453","91.3%","±0.4","340,308","±3,122","82.9%","±0.8","266,662","±3,138","88.8%","±1.0","7,197,943","±25,102","79.7%","±0.3","3,532,908","±15,691","86.0%","±0.4","447,748","±4,282","85.4%","±0.8","583,106","±5,317","86.6%","±0.8","4,770,194","±13,140","90.2%","±0.2","2,480,077","±10,833","88.3%","±0.4","1,227,048","±6,132","91.2%","±0.5","1,113,911","±5,555","89.9%","±0.4","1,707,004","±8,109","88.1%","±0.4","1,719,473","±9,205","86.5%","±0.5","554,543","±4,451","76.6%","±0.6","2,157,717","±7,667","90.1%","±0.3","2,522,394","±9,088","89.8%","±0.3","3,819,068","±10,789","84.4%","±0.2","2,111,943","±6,274","89.4%","±0.3","1,090,521","±7,826","84.9%","±0.6","2,359,135","±11,280","86.7%","±0.4","408,938","±3,977","84.1%","±0.8","733,570","±4,667","91.2%","±0.6","1,006,605","±7,913","85.1%","±0.7","519,137","±4,650","84.1%","±0.8","3,198,799","±8,893","89.5%","±0.3","764,996","±5,964","84.4%","±0.7","7,238,922","±16,375","89.1%","±0.2","3,731,325","±14,347","85.3%","±0.3","290,944","±2,708","88.4%","±0.8","4,554,672","±11,606","88.8%","±0.2","1,446,667","±5,298","86.2%","±0.3","1,516,957","±7,216","90.2%","±0.4","4,958,249","±11,531","89.0%","±0.2","413,083","±3,010","89.3%","±0.7","1,787,340","±9,096","82.9%","±0.4","323,765","±3,111","87.9%","±0.9","2,480,090","±11,146","87.5%","±0.4","8,970,959","±21,541","88.3%","±0.2","895,691","±5,044","89.9%","±0.5","258,520","±2,853","79.8%","±0.9","3,038,967","±13,344","89.4%","±0.4","2,636,817","±10,074","90.5%","±0.3","741,544","±5,473","84.0%","±0.6","2,288,362","±8,293","86.9%","±0.3","223,513","±2,812","84.3%","±1.1","1,263,694","±9,111","79.8%","±0.4"
"    Vacant housing units","344,398","±11,383","15.7%","±0.5","55,977","±2,873","18.2%","±0.9","479,318","±11,566","16.7%","±0.4","184,366","±7,383","13.9%","±0.6","1,155,539","±18,348","8.4%","±0.1","234,448","±8,545","10.5%","±0.4","130,190","±6,447","8.7%","±0.4","70,000","±3,113","17.1%","±0.8","33,585","±3,138","11.2%","±1.0","1,833,587","±25,169","20.3%","±0.3","574,646","±15,462","14.0%","±0.4","76,639","±4,287","14.6%","±0.8","89,942","±5,323","13.4%","±0.8","519,955","±12,880","9.8%","±0.2","328,353","±10,942","11.7%","±0.4","118,663","±6,143","8.8%","±0.5","124,792","±5,537","10.1%","±0.4","230,317","±8,119","11.9%","±0.4","267,586","±9,223","13.5%","±0.5","169,644","±4,443","23.4%","±0.6","237,918","±7,660","9.9%","±0.3","288,000","±9,108","10.2%","±0.3","706,013","±10,626","15.6%","±0.2","249,131","±6,327","10.6%","±0.3","193,376","±7,863","15.1%","±0.6","360,952","±11,414","13.3%","±0.4","77,223","±4,023","15.9%","±0.8","70,704","±4,725","8.8%","±0.6","176,237","±7,864","14.9%","±0.7","97,868","±4,658","15.9%","±0.8","375,964","±9,082","10.5%","±0.3","141,842","±6,004","15.6%","±0.7","884,663","±16,462","10.9%","±0.2","644,075","±14,397","14.7%","±0.3","38,305","±2,738","11.6%","±0.8","574,174","±11,760","11.2%","±0.2","230,979","±5,452","13.8%","±0.3","165,574","±7,177","9.8%","±0.4","614,516","±11,677","11.0%","±0.2","49,535","±3,014","10.7%","±0.7","369,428","±9,060","17.1%","±0.4","44,482","±3,189","12.1%","±0.9","354,718","±11,288","12.5%","±0.4","1,183,876","±21,573","11.7%","±0.2","101,086","±5,059","10.1%","±0.5","65,532","±2,844","20.2%","±0.9","359,422","±13,433","10.6%","±0.4","277,958","±10,102","9.5%","±0.3","141,256","±5,463","16.0%","±0.6","344,263","±8,298","13.1%","±0.3","41,694","±2,842","15.7%","±1.1","319,743","±6,604","20.2%","±0.4"
"    Homeowner vacancy rate","2.5","±0.2","(X)","(X)","1.7","±0.5","(X)","(X)","3.0","±0.3","(X)","(X)","2.0","±0.3","(X)","(X)","1.6","±0.1","(X)","(X)","1.6","±0.2","(X)","(X)","1.7","±0.3","(X)","(X)","2.7","±0.5","(X)","(X)","2.7","±0.8","(X)","(X)","2.6","±0.2","(X)","(X)","2.9","±0.2","(X)","(X)","1.4","±0.4","(X)","(X)","1.8","±0.4","(X)","(X)","2.2","±0.1","(X)","(X)","2.4","±0.2","(X)","(X)","1.7","±0.2","(X)","(X)","1.9","±0.2","(X)","(X)","2.0","±0.2","(X)","(X)","2.0","±0.2","(X)","(X)","2.0","±0.3","(X)","(X)","1.8","±0.2","(X)","(X)","1.4","±0.2","(X)","(X)","2.3","±0.1","(X)","(X)","1.5","±0.2","(X)","(X)","2.0","±0.3","(X)","(X)","2.1","±0.2","(X)","(X)","2.1","±0.4","(X)","(X)","1.7","±0.3","(X)","(X)","2.6","±0.5","(X)","(X)","1.4","±0.3","(X)","(X)","1.5","±0.1","(X)","(X)","2.2","±0.3","(X)","(X)","1.7","±0.1","(X)","(X)","2.4","±0.2","(X)","(X)","1.3","±0.4","(X)","(X)","1.9","±0.1","(X)","(X)","2.3","±0.2","(X)","(X)","1.9","±0.3","(X)","(X)","1.8","±0.1","(X)","(X)","1.8","±0.5","(X)","(X)","2.6","±0.3","(X)","(X)","1.9","±0.4","(X)","(X)","2.3","±0.3","(X)","(X)","1.9","±0.1","(X)","(X)","1.4","±0.3","(X)","(X)","2.0","±0.5","(X)","(X)","1.8","±0.2","(X)","(X)","1.7","±0.2","(X)","(X)","1.7","±0.3","(X)","(X)","1.9","±0.2","(X)","(X)","1.8","±0.7","(X)","(X)","3.6","±0.3","(X)","(X)"
"    Rental vacancy rate","7.8","±0.6","(X)","(X)","5.6","±1.1","(X)","(X)","9.0","±0.6","(X)","(X)","9.1","±0.9","(X)","(X)","4.5","±0.1","(X)","(X)","5.7","±0.5","(X)","(X)","7.0","±0.7","(X)","(X)","7.9","±1.5","(X)","(X)","5.9","±1.2","(X)","(X)","9.4","±0.3","(X)","(X)","9.5","±0.4","(X)","(X)","9.1","±1.1","(X)","(X)","6.4","±1.3","(X)","(X)","6.4","±0.3","(X)","(X)","8.4","±0.6","(X)","(X)","6.8","±0.8","(X)","(X)","6.9","±0.7","(X)","(X)","5.5","±0.5","(X)","(X)","8.6","±0.7","(X)","(X)","6.3","±0.9","(X)","(X)","7.0","±0.5","(X)","(X)","4.5","±0.4","(X)","(X)","6.7","±0.4","(X)","(X)","4.1","±0.5","(X)","(X)","10.9","±0.9","(X)","(X)","6.7","±0.6","(X)","(X)","6.8","±1.3","(X)","(X)","6.0","±0.9","(X)","(X)","11.0","±0.8","(X)","(X)","5.6","±1.1","(X)","(X)","6.0","±0.4","(X)","(X)","8.6","±0.9","(X)","(X)","4.3","±0.3","(X)","(X)","8.0","±0.5","(X)","(X)","5.3","±1.3","(X)","(X)","7.1","±0.4","(X)","(X)","8.2","±0.5","(X)","(X)","4.7","±0.6","(X)","(X)","5.9","±0.3","(X)","(X)","5.5","±0.9","(X)","(X)","12.7","±0.7","(X)","(X)","5.6","±1.1","(X)","(X)","7.9","±0.5","(X)","(X)","8.5","±0.3","(X)","(X)","5.9","±0.9","(X)","(X)","4.3","±1.0","(X)","(X)","6.2","±0.5","(X)","(X)","5.3","±0.5","(X)","(X)","6.8","±0.9","(X)","(X)","5.5","±0.5","(X)","(X)","8.1","±1.7","(X)","(X)","7.9","±0.5","(X)","(X)"
"UNITS IN STRUCTURE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total housing units","2,189,567","±314","2,189,567","(X)","307,628","±120","307,628","(X)","2,871,486","±347","2,871,486","(X)","1,328,225","±186","1,328,225","(X)","13,708,197","±757","13,708,197","(X)","2,230,536","±335","2,230,536","(X)","1,488,002","±192","1,488,002","(X)","410,308","±130","410,308","(X)","300,247","±68","300,247","(X)","9,031,530","±639","9,031,530","(X)","4,107,554","±489","4,107,554","(X)","524,387","±108","524,387","(X)","673,048","±198","673,048","(X)","5,290,149","±1,419","5,290,149","(X)","2,808,430","±339","2,808,430","(X)","1,345,711","±221","1,345,711","(X)","1,238,703","±222","1,238,703","(X)","1,937,321","±391","1,937,321","(X)","1,987,059","±355","1,987,059","(X)","724,187","±192","724,187","(X)","2,395,635","±398","2,395,635","(X)","2,810,394","±204","2,810,394","(X)","4,525,081","±464","4,525,081","(X)","2,361,074","±907","2,361,074","(X)","1,283,897","±220","1,283,897","(X)","2,720,087","±435","2,720,087","(X)","486,161","±150","486,161","(X)","804,274","±215","804,274","(X)","1,182,842","±330","1,182,842","(X)","617,005","±115","617,005","(X)","3,574,763","±1,536","3,574,763","(X)","906,838","±291","906,838","(X)","8,123,585","±1,019","8,123,585","(X)","4,375,400","±520","4,375,400","(X)","329,249","±132","329,249","(X)","5,128,846","±400","5,128,846","(X)","1,677,646","±511","1,677,646","(X)","1,682,531","±205","1,682,531","(X)","5,572,765","±733","5,572,765","(X)","462,618","±150","462,618","(X)","2,156,768","±199","2,156,768","(X)","368,247","±286","368,247","(X)","2,834,808","±438","2,834,808","(X)","10,154,835","±788","10,154,835","(X)","996,777","±166","996,777","(X)","324,052","±118","324,052","(X)","3,398,389","±463","3,398,389","(X)","2,914,775","±266","2,914,775","(X)","882,800","±188","882,800","(X)","2,632,625","±287","2,632,625","(X)","265,207","±118","265,207","(X)","1,583,437","±6,946","1,583,437","(X)"
"    1-unit, detached","1,500,856","±9,800","68.5%","±0.4","196,351","±3,882","63.8%","±1.3","1,831,680","±12,146","63.8%","±0.4","922,955","±8,354","69.5%","±0.6","7,943,381","±27,578","57.9%","±0.2","1,406,322","±7,900","63.0%","±0.4","877,807","±7,842","59.0%","±0.5","238,098","±4,024","58.0%","±1.0","37,044","±1,848","12.3%","±0.6","4,875,525","±23,106","54.0%","±0.3","2,714,634","±15,492","66.1%","±0.4","281,737","±5,158","53.7%","±1.0","495,241","±5,607","73.6%","±0.8","3,097,154","±13,514","58.5%","±0.3","2,038,045","±10,970","72.6%","±0.4","999,060","±6,186","74.2%","±0.5","898,690","±6,697","72.6%","±0.5","1,296,936","±9,958","66.9%","±0.5","1,293,320","±9,227","65.1%","±0.5","502,478","±5,684","69.4%","±0.8","1,237,115","±10,587","51.6%","±0.4","1,471,130","±11,321","52.3%","±0.4","3,245,548","±12,663","71.7%","±0.3","1,589,870","±9,333","67.3%","±0.4","884,693","±8,639","68.9%","±0.7","1,903,644","±9,576","70.0%","±0.4","334,255","±4,286","68.8%","±0.9","586,179","±5,374","72.9%","±0.7","696,588","±6,613","58.9%","±0.6","390,280","±5,367","63.3%","±0.9","1,919,531","±12,177","53.7%","±0.3","586,747","±5,564","64.7%","±0.6","3,411,632","±15,599","42.0%","±0.2","2,862,306","±14,365","65.4%","±0.3","202,065","±3,544","61.4%","±1.1","3,502,110","±13,573","68.3%","±0.3","1,220,324","±5,450","72.7%","±0.3","1,071,380","±8,314","63.7%","±0.5","3,178,997","±14,763","57.0%","±0.3","254,889","±4,921","55.1%","±1.1","1,342,914","±10,540","62.3%","±0.5","253,352","±3,805","68.8%","±1.0","1,946,359","±10,407","68.7%","±0.4","6,627,086","±20,828","65.3%","±0.2","683,098","±6,903","68.5%","±0.7","216,124","±2,973","66.7%","±0.9","2,095,844","±10,866","61.7%","±0.3","1,843,062","±12,911","63.2%","±0.4","622,101","±6,143","70.5%","±0.7","1,753,735","±8,602","66.6%","±0.3","174,371","±3,706","65.7%","±1.4","1,067,587","±10,305","67.4%","±0.5"
