"","Alabama","","","","Alaska","","","","Arizona","","","","Arkansas","","","","California","","","","Colorado","","","","Connecticut","","","","Delaware","","","","District of Columbia","","","","Florida","","","","Georgia","","","","Hawaii","","","","Idaho","","","","Illinois","","","","Indiana","","","","Iowa","","","","Kansas","","","","Kentucky","","","","Louisiana","","","","Maine","","","","Maryland","","","","Massachusetts","","","","Michigan","","","","Minnesota","","","","Mississippi","","","","Missouri","","","","Montana","","","","Nebraska","","","","Nevada","","","","New Hampshire","","","","New Jersey","","","","New Mexico","","","","New York","","","","North Carolina","","","","North Dakota","","","","Ohio","","","","Oklahoma","","","","Oregon","","","","Pennsylvania","","","","Rhode Island","","","","South Carolina","","","","South Dakota","","","","Tennessee","","","","Texas","","","","Utah","","","","Vermont","","","","Virginia","","","","Washington","","","","West Virginia","","","","Wisconsin","","","","Wyoming","","","","Puerto Rico","","",""
"    Median rooms","5.7","±0.1","(X)","(X)","4.8","±0.1","(X)","(X)","5.2","±0.1","(X)","(X)","5.4","±0.1","(X)","(X)","5.0","±0.1","(X)","(X)","5.7","±0.1","(X)","(X)","5.7","±0.1","(X)","(X)","6.1","±0.1","(X)","(X)","4.2","±0.2","(X)","(X)","5.1","±0.1","(X)","(X)","5.8","±0.1","(X)","(X)","4.6","±0.1","(X)","(X)","5.6","±0.1","(X)","(X)","5.5","±0.1","(X)","(X)","5.7","±0.1","(X)","(X)","5.8","±0.2","(X)","(X)","5.8","±0.1","(X)","(X)","5.5","±0.1","(X)","(X)","5.3","±0.2","(X)","(X)","5.3","±0.1","(X)","(X)","6.2","±0.1","(X)","(X)","5.6","±0.1","(X)","(X)","5.7","±0.1","(X)","(X)","5.9","±0.2","(X)","(X)","5.4","±0.1","(X)","(X)","5.6","±0.1","(X)","(X)","5.4","±0.1","(X)","(X)","5.9","±0.1","(X)","(X)","5.1","±0.1","(X)","(X)","5.5","±0.2","(X)","(X)","5.7","±0.1","(X)","(X)","5.3","±0.1","(X)","(X)","5.0","±0.1","(X)","(X)","5.5","±0.1","(X)","(X)","5.6","±0.1","(X)","(X)","5.8","±0.1","(X)","(X)","5.4","±0.1","(X)","(X)","5.3","±0.1","(X)","(X)","6.0","±0.1","(X)","(X)","5.3","±0.1","(X)","(X)","5.5","±0.1","(X)","(X)","5.7","±0.1","(X)","(X)","5.6","±0.1","(X)","(X)","5.3","±0.1","(X)","(X)","6.3","±0.2","(X)","(X)","5.7","±0.1","(X)","(X)","5.9","±0.1","(X)","(X)","5.5","±0.1","(X)","(X)","5.6","±0.1","(X)","(X)","5.5","±0.1","(X)","(X)","5.7","±0.2","(X)","(X)","4.7","±0.1","(X)","(X)"
"BEDROOMS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total housing units","2,189,567","±314","2,189,567","(X)","307,628","±120","307,628","(X)","2,871,486","±347","2,871,486","(X)","1,328,225","±186","1,328,225","(X)","13,708,197","±757","13,708,197","(X)","2,230,536","±335","2,230,536","(X)","1,488,002","±192","1,488,002","(X)","410,308","±130","410,308","(X)","300,247","±68","300,247","(X)","9,031,530","±639","9,031,530","(X)","4,107,554","±489","4,107,554","(X)","524,387","±108","524,387","(X)","673,048","±198","673,048","(X)","5,290,149","±1,419","5,290,149","(X)","2,808,430","±339","2,808,430","(X)","1,345,711","±221","1,345,711","(X)","1,238,703","±222","1,238,703","(X)","1,937,321","±391","1,937,321","(X)","1,987,059","±355","1,987,059","(X)","724,187","±192","724,187","(X)","2,395,635","±398","2,395,635","(X)","2,810,394","±204","2,810,394","(X)","4,525,081","±464","4,525,081","(X)","2,361,074","±907","2,361,074","(X)","1,283,897","±220","1,283,897","(X)","2,720,087","±435","2,720,087","(X)","486,161","±150","486,161","(X)","804,274","±215","804,274","(X)","1,182,842","±330","1,182,842","(X)","617,005","±115","617,005","(X)","3,574,763","±1,536","3,574,763","(X)","906,838","±291","906,838","(X)","8,123,585","±1,019","8,123,585","(X)","4,375,400","±520","4,375,400","(X)","329,249","±132","329,249","(X)","5,128,846","±400","5,128,846","(X)","1,677,646","±511","1,677,646","(X)","1,682,531","±205","1,682,531","(X)","5,572,765","±733","5,572,765","(X)","462,618","±150","462,618","(X)","2,156,768","±199","2,156,768","(X)","368,247","±286","368,247","(X)","2,834,808","±438","2,834,808","(X)","10,154,835","±788","10,154,835","(X)","996,777","±166","996,777","(X)","324,052","±118","324,052","(X)","3,398,389","±463","3,398,389","(X)","2,914,775","±266","2,914,775","(X)","882,800","±188","882,800","(X)","2,632,625","±287","2,632,625","(X)","265,207","±118","265,207","(X)","1,583,437","±6,946","1,583,437","(X)"
"    No bedroom","28,721","±2,870","1.3%","±0.1","18,515","±1,516","6.0%","±0.5","70,161","±3,422","2.4%","±0.1","20,892","±2,239","1.6%","±0.2","479,751","±10,376","3.5%","±0.1","44,968","±3,695","2.0%","±0.2","31,889","±2,763","2.1%","±0.2","4,340","±1,213","1.1%","±0.3","26,431","±2,743","8.8%","±0.9","168,984","±7,859","1.9%","±0.1","49,898","±3,799","1.2%","±0.1","24,870","±2,482","4.7%","±0.5","10,873","±2,002","1.6%","±0.3","125,171","±6,085","2.4%","±0.1","41,316","±3,591","1.5%","±0.1","18,901","±2,099","1.4%","±0.2","23,178","±2,529","1.9%","±0.2","23,994","±2,122","1.2%","±0.1","28,611","±3,229","1.4%","±0.2","20,224","±2,017","2.8%","±0.3","34,077","±3,225","1.4%","±0.1","66,974","±4,340","2.4%","±0.2","64,763","±3,921","1.4%","±0.1","41,714","±3,217","1.8%","±0.1","17,574","±2,488","1.4%","±0.2","45,814","±4,341","1.7%","±0.2","15,152","±1,732","3.1%","±0.4","11,410","±1,616","1.4%","±0.2","34,995","±3,084","3.0%","±0.3","12,659","±1,776","2.1%","±0.3","95,095","±4,958","2.7%","±0.1","25,471","±2,575","2.8%","±0.3","355,013","±8,090","4.4%","±0.1","52,340","±4,017","1.2%","±0.1","5,327","±1,273","1.6%","±0.4","71,969","±4,684","1.4%","±0.1","26,361","±2,000","1.6%","±0.1","40,657","±3,424","2.4%","±0.2","104,252","±4,574","1.9%","±0.1","11,040","±2,037","2.4%","±0.4","26,316","±3,120","1.2%","±0.1","5,385","±1,024","1.5%","±0.3","30,742","±2,718","1.1%","±0.1","187,319","±7,724","1.8%","±0.1","12,844","±1,914","1.3%","±0.2","6,997","±1,252","2.2%","±0.4","47,416","±3,514","1.4%","±0.1","74,409","±4,173","2.6%","±0.1","13,209","±1,811","1.5%","±0.2","49,211","±3,481","1.9%","±0.1","4,731","±1,163","1.8%","±0.4","29,497","±2,285","1.9%","±0.1"
"    1 bedroom","139,730","±6,439","6.4%","±0.3","43,663","±2,336","14.2%","±0.8","336,519","±8,587","11.7%","±0.3","98,399","±4,656","7.4%","±0.4","1,963,782","±18,973","14.3%","±0.1","252,853","±6,186","11.3%","±0.3","188,669","±6,308","12.7%","±0.4","31,128","±3,144","7.6%","±0.8","95,255","±3,819","31.7%","±1.3","966,142","±14,015","10.7%","±0.2","299,930","±7,608","7.3%","±0.2","76,676","±3,885","14.6%","±0.7","48,551","±2,937","7.2%","±0.4","615,876","±10,420","11.6%","±0.2","261,145","±8,074","9.3%","±0.3","118,051","±4,844","8.8%","±0.4","119,349","±4,756","9.6%","±0.4","165,784","±5,704","8.6%","±0.3","179,290","±6,345","9.0%","±0.3","87,655","±3,829","12.1%","±0.5","252,192","±7,649","10.5%","±0.3","396,905","±8,853","14.1%","±0.3","408,469","±8,606","9.0%","±0.2","276,377","±6,322","11.7%","±0.3","75,090","±4,466","5.8%","±0.3","257,328","±8,132","9.5%","±0.3","47,723","±2,961","9.8%","±0.6","91,582","±4,649","11.4%","±0.6","128,895","±5,096","10.9%","±0.4","65,061","±3,948","10.5%","±0.6","514,532","±9,711","14.4%","±0.3","83,485","±4,675","9.2%","±0.5","1,595,546","±17,215","19.6%","±0.2","288,152","±7,238","6.6%","±0.2","32,507","±2,605","9.9%","±0.8","483,986","±9,693","9.4%","±0.2","149,873","±4,126","8.9%","±0.2","168,626","±6,324","10.0%","±0.4","604,323","±10,952","10.8%","±0.2","66,350","±3,485","14.3%","±0.8","120,760","±5,457","5.6%","±0.3","35,214","±2,913","9.6%","±0.8","220,037","±7,884","7.8%","±0.3","1,288,797","±15,624","12.7%","±0.2","74,318","±4,244","7.5%","±0.4","35,118","±2,217","10.8%","±0.7","287,651","±6,959","8.5%","±0.2","354,415","±9,620","12.2%","±0.3","68,321","±3,550","7.7%","±0.4","263,879","±6,045","10.0%","±0.2","24,754","±2,410","9.3%","±0.9","100,208","±4,403","6.3%","±0.3"
"    2 bedrooms","519,061","±9,417","23.7%","±0.4","81,938","±2,895","26.6%","±0.9","779,808","±11,525","27.2%","±0.4","365,533","±7,884","27.5%","±0.6","3,844,682","±24,072","28.0%","±0.2","586,182","±9,845","26.3%","±0.4","398,542","±8,069","26.8%","±0.5","87,754","±3,908","21.4%","±1.0","83,300","±3,428","27.7%","±1.1","3,064,964","±24,421","33.9%","±0.3","956,592","±15,151","23.3%","±0.4","137,509","±4,901","26.2%","±0.9","168,026","±5,823","25.0%","±0.9","1,538,070","±13,937","29.1%","±0.3","742,798","±10,613","26.4%","±0.4","395,672","±7,364","29.4%","±0.5","327,304","±5,910","26.4%","±0.5","527,151","±8,774","27.2%","±0.5","496,767","±10,256","25.0%","±0.5","221,378","±5,234","30.6%","±0.7","544,998","±10,218","22.7%","±0.4","792,202","±12,096","28.2%","±0.4","1,196,815","±14,226","26.4%","±0.3","628,308","±9,066","26.6%","±0.4","288,878","±7,898","22.5%","±0.6","751,923","±11,858","27.6%","±0.4","134,384","±4,669","27.6%","±1.0","210,850","±4,550","26.2%","±0.6","313,650","±6,964","26.5%","±0.6","189,066","±4,867","30.6%","±0.8","920,004","±11,030","25.7%","±0.3","235,123","±6,806","25.9%","±0.8","2,173,916","±19,476","26.8%","±0.2","1,172,357","±15,783","26.8%","±0.4","99,303","±3,642","30.2%","±1.1","1,369,391","±13,951","26.7%","±0.3","428,312","±6,984","25.5%","±0.4","474,906","±8,530","28.2%","±0.5","1,298,061","±13,413","23.3%","±0.2","140,499","±5,221","30.4%","±1.1","566,239","±9,455","26.3%","±0.4","106,915","±3,577","29.0%","±1.0","760,136","±11,328","26.8%","±0.4","2,371,232","±21,332","23.4%","±0.2","203,731","±5,486","20.4%","±0.6","85,411","±3,410","26.4%","±1.1","816,678","±13,964","24.0%","±0.4","779,993","±14,011","26.8%","±0.5","257,170","±6,334","29.1%","±0.7","755,835","±9,819","28.7%","±0.4","67,414","±3,246","25.4%","±1.2","333,802","±7,534","21.1%","±0.5"
"    3 bedrooms","1,087,184","±9,290","49.7%","±0.4","111,505","±4,023","36.2%","±1.3","1,079,328","±12,338","37.6%","±0.4","662,488","±7,716","49.9%","±0.6","4,601,423","±28,442","33.6%","±0.2","761,289","±9,275","34.1%","±0.4","550,802","±10,465","37.0%","±0.7","181,229","±4,948","44.2%","±1.2","59,178","±2,814","19.7%","±0.9","3,445,553","±23,571","38.2%","±0.3","1,811,158","±18,488","44.1%","±0.4","184,092","±5,556","35.1%","±1.1","274,145","±6,666","40.7%","±1.0","1,941,420","±15,185","36.7%","±0.3","1,224,886","±12,979","43.6%","±0.5","518,940","±7,346","38.6%","±0.5","470,886","±6,356","38.0%","±0.5","872,415","±8,330","45.0%","±0.4","958,250","±13,089","48.2%","±0.7","271,246","±5,646","37.5%","±0.8","886,948","±10,848","37.0%","±0.5","971,562","±12,084","34.6%","±0.4","1,993,305","±13,621","44.1%","±0.3","810,622","±8,159","34.3%","±0.3","689,532","±9,222","53.7%","±0.7","1,144,840","±11,339","42.1%","±0.4","177,579","±4,652","36.5%","±1.0","304,784","±5,500","37.9%","±0.7","453,425","±8,329","38.3%","±0.7","233,525","±5,955","37.8%","±1.0","1,175,492","±10,873","32.9%","±0.3","420,124","±8,310","46.3%","±0.9","2,564,996","±21,315","31.6%","±0.3","2,074,707","±17,150","47.4%","±0.4","106,598","±3,199","32.4%","±1.0","2,162,622","±15,833","42.2%","±0.3","818,930","±7,837","48.8%","±0.5","714,808","±9,330","42.5%","±0.6","2,387,996","±17,037","42.9%","±0.3","175,396","±4,892","37.9%","±1.1","1,056,503","±9,988","49.0%","±0.5","125,085","±3,913","34.0%","±1.1","1,324,954","±12,752","46.7%","±0.4","4,232,673","±28,915","41.7%","±0.3","304,429","±7,045","30.5%","±0.7","127,496","±3,463","39.3%","±1.1","1,346,293","±16,914","39.6%","±0.5","1,087,759","±14,068","37.3%","±0.5","405,251","±6,474","45.9%","±0.7","1,090,206","±9,393","41.4%","±0.4","103,214","±4,247","38.9%","±1.6","884,077","±10,137","55.8%","±0.6"
"    4 bedrooms","342,768","±7,885","15.7%","±0.4","41,753","±2,159","13.6%","±0.7","484,437","±8,848","16.9%","±0.3","154,974","±6,163","11.7%","±0.5","2,236,367","±17,337","16.3%","±0.1","422,147","±9,118","18.9%","±0.4","251,947","±7,125","16.9%","±0.5","89,667","±3,697","21.9%","±0.9","25,516","±2,072","8.5%","±0.7","1,166,306","±17,967","12.9%","±0.2","732,316","±13,025","17.8%","±0.3","69,024","±3,690","13.2%","±0.7","119,096","±4,641","17.7%","±0.7","852,285","±10,755","16.1%","±0.2","440,958","±8,963","15.7%","±0.3","231,541","±6,443","17.2%","±0.5","227,896","±5,162","18.4%","±0.4","279,584","±6,799","14.4%","±0.4","281,372","±7,563","14.2%","±0.4","97,180","±3,885","13.4%","±0.5","507,778","±8,004","21.2%","±0.3","450,914","±9,025","16.0%","±0.3","702,166","±8,722","15.5%","±0.2","464,254","±6,535","19.7%","±0.3","180,167","±6,328","14.0%","±0.5","414,085","±7,409","15.2%","±0.3","79,590","±3,948","16.4%","±0.8","140,554","±4,484","17.5%","±0.6","197,370","±5,746","16.7%","±0.5","94,398","±4,094","15.3%","±0.7","671,523","±9,876","18.8%","±0.3","121,578","±4,504","13.4%","±0.5","1,075,372","±13,494","13.2%","±0.2","631,738","±11,714","14.4%","±0.3","62,509","±2,953","19.0%","±0.9","877,020","±12,342","17.1%","±0.2","220,614","±4,689","13.2%","±0.3","227,607","±6,347","13.5%","±0.4","944,311","±11,437","16.9%","±0.2","55,376","±3,440","12.0%","±0.7","318,737","±6,901","14.8%","±0.3","69,996","±3,178","19.0%","±0.9","400,540","±9,083","14.1%","±0.3","1,742,292","±19,456","17.2%","±0.2","215,938","±5,360","21.7%","±0.5","51,550","±2,706","15.9%","±0.8","687,156","±10,749","20.2%","±0.3","487,115","±10,475","16.7%","±0.4","113,589","±5,185","12.9%","±0.6","382,885","±6,920","14.5%","±0.3","46,574","±3,518","17.6%","±1.3","205,324","±6,503","13.0%","±0.4"
"    5 or more bedrooms","72,103","±4,158","3.3%","±0.2","10,254","±1,377","3.3%","±0.4","121,233","±5,669","4.2%","±0.2","25,939","±2,399","2.0%","±0.2","582,192","±12,044","4.2%","±0.1","163,097","±5,527","7.3%","±0.2","66,153","±3,047","4.4%","±0.2","16,190","±1,691","3.9%","±0.4","10,567","±1,277","3.5%","±0.4","219,581","±8,270","2.4%","±0.1","257,660","±7,541","6.3%","±0.2","32,216","±2,448","6.1%","±0.5","52,357","±3,656","7.8%","±0.5","217,327","±5,898","4.1%","±0.1","97,327","±3,923","3.5%","±0.1","62,606","±2,926","4.7%","±0.2","70,090","±3,485","5.7%","±0.3","68,393","±3,119","3.5%","±0.2","42,769","±3,166","2.2%","±0.2","26,504","±2,075","3.7%","±0.3","169,642","±5,792","7.1%","±0.2","131,837","±4,251","4.7%","±0.2","159,563","±5,398","3.5%","±0.1","139,799","±4,149","5.9%","±0.2","32,656","±2,694","2.5%","±0.2","106,097","±5,042","3.9%","±0.2","31,733","±2,323","6.5%","±0.5","45,094","±2,236","5.6%","±0.3","54,507","±3,482","4.6%","±0.3","22,296","±2,356","3.6%","±0.4","198,117","±6,471","5.5%","±0.2","21,057","±2,033","2.3%","±0.2","358,742","±7,886","4.4%","±0.1","156,106","±5,555","3.6%","±0.1","23,005","±1,780","7.0%","±0.5","163,858","±4,948","3.2%","±0.1","33,556","±2,344","2.0%","±0.1","55,927","±3,676","3.3%","±0.2","233,822","±6,433","4.2%","±0.1","13,957","±1,691","3.0%","±0.4","68,213","±3,887","3.2%","±0.2","25,652","±1,937","7.0%","±0.5","98,399","±4,544","3.5%","±0.2","332,522","±10,934","3.3%","±0.1","185,517","±5,146","18.6%","±0.5","17,480","±1,657","5.4%","±0.5","213,195","±5,902","6.3%","±0.2","131,084","±5,041","4.5%","±0.2","25,260","±2,206","2.9%","±0.2","90,609","±3,573","3.4%","±0.1","18,520","±1,946","7.0%","±0.7","30,529","±2,633","1.9%","±0.2"
"HOUSING TENURE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","1,845,169","±11,483","1,845,169","(X)","251,651","±2,883","251,651","(X)","2,392,168","±11,611","2,392,168","(X)","1,143,859","±7,351","1,143,859","(X)","12,552,658","±18,433","12,552,658","(X)","1,996,088","±8,553","1,996,088","(X)","1,357,812","±6,453","1,357,812","(X)","340,308","±3,122","340,308","(X)","266,662","±3,138","266,662","(X)","7,197,943","±25,102","7,197,943","(X)","3,532,908","±15,691","3,532,908","(X)","447,748","±4,282","447,748","(X)","583,106","±5,317","583,106","(X)","4,770,194","±13,140","4,770,194","(X)","2,480,077","±10,833","2,480,077","(X)","1,227,048","±6,132","1,227,048","(X)","1,113,911","±5,555","1,113,911","(X)","1,707,004","±8,109","1,707,004","(X)","1,719,473","±9,205","1,719,473","(X)","554,543","±4,451","554,543","(X)","2,157,717","±7,667","2,157,717","(X)","2,522,394","±9,088","2,522,394","(X)","3,819,068","±10,789","3,819,068","(X)","2,111,943","±6,274","2,111,943","(X)","1,090,521","±7,826","1,090,521","(X)","2,359,135","±11,280","2,359,135","(X)","408,938","±3,977","408,938","(X)","733,570","±4,667","733,570","(X)","1,006,605","±7,913","1,006,605","(X)","519,137","±4,650","519,137","(X)","3,198,799","±8,893","3,198,799","(X)","764,996","±5,964","764,996","(X)","7,238,922","±16,375","7,238,922","(X)","3,731,325","±14,347","3,731,325","(X)","290,944","±2,708","290,944","(X)","4,554,672","±11,606","4,554,672","(X)","1,446,667","±5,298","1,446,667","(X)","1,516,957","±7,216","1,516,957","(X)","4,958,249","±11,531","4,958,249","(X)","413,083","±3,010","413,083","(X)","1,787,340","±9,096","1,787,340","(X)","323,765","±3,111","323,765","(X)","2,480,090","±11,146","2,480,090","(X)","8,970,959","±21,541","8,970,959","(X)","895,691","±5,044","895,691","(X)","258,520","±2,853","258,520","(X)","3,038,967","±13,344","3,038,967","(X)","2,636,817","±10,074","2,636,817","(X)","741,544","±5,473","741,544","(X)","2,288,362","±8,293","2,288,362","(X)","223,513","±2,812","223,513","(X)","1,263,694","±9,111","1,263,694","(X)"
"    Owner-occupied","1,268,565","±12,217","68.8%","±0.5","159,427","±3,595","63.4%","±1.3","1,496,650","±13,898","62.6%","±0.5","757,722","±8,214","66.2%","±0.6","6,781,817","±25,470","54.0%","±0.2","1,278,158","±11,129","64.0%","±0.5","908,452","±7,756","66.9%","±0.6","241,050","±3,609","70.8%","±1.1","110,681","±3,549","41.5%","±1.4","4,724,428","±21,345","65.6%","±0.3","2,248,702","±19,411","63.7%","±0.5","254,770","±4,107","56.9%","±0.8","398,671","±5,979","68.4%","±1.0","3,177,104","±16,645","66.6%","±0.3","1,720,780","±14,241","69.4%","±0.5","882,584","±7,833","71.9%","±0.6","739,191","±7,686","66.4%","±0.6","1,144,309","±10,967","67.0%","±0.5","1,130,134","±10,390","65.7%","±0.6","396,014","±5,199","71.4%","±0.7","1,433,937","±10,091","66.5%","±0.4","1,570,055","±10,932","62.2%","±0.4","2,713,964","±15,597","71.1%","±0.4","1,508,810","±9,302","71.4%","±0.4","743,611","±9,469","68.2%","±0.7","1,591,686","±12,609","67.5%","±0.4","274,196","±4,635","67.1%","±0.9","486,642","±6,333","66.3%","±0.7","552,324","±7,892","54.9%","±0.7","367,863","±5,474","70.9%","±1.0","2,081,481","±13,198","65.1%","±0.4","518,106","±7,759","67.7%","±0.9","3,883,893","±16,541","53.7%","±0.2","2,441,626","±15,846","65.4%","±0.4","189,193","±3,576","65.0%","±1.3","3,019,382","±13,908","66.3%","±0.2","960,369","±7,142","66.4%","±0.4","933,775","±9,126","61.6%","±0.6","3,416,499","±15,135","68.9%","±0.2","247,790","±4,277","60.0%","±1.0","1,217,692","±9,732","68.1%","±0.5","217,200","±3,814","67.1%","±1.2","1,654,001","±14,531","66.7%","±0.5","5,586,856","±26,359","62.3%","±0.2","623,589","±6,650","69.6%","±0.7","183,563","±2,872","71.0%","±1.0","2,010,442","±15,164","66.2%","±0.4","1,643,637","±12,066","62.3%","±0.4","533,758","±5,867","72.0%","±0.6","1,539,778","±10,829","67.3%","±0.4","154,329","±3,897","69.0%","±1.6","877,877","±8,341","69.5%","±0.5"
"    Renter-occupied","576,604","±10,418","31.2%","±0.5","92,224","±3,507","36.6%","±1.3","895,518","±13,536","37.4%","±0.5","386,137","±6,919","33.8%","±0.6","5,770,841","±24,980","46.0%","±0.2","717,930","±9,538","36.0%","±0.5","449,360","±8,680","33.1%","±0.6","99,258","±4,117","29.2%","±1.1","155,981","±4,855","58.5%","±1.4","2,473,515","±22,250","34.4%","±0.3","1,284,206","±16,668","36.3%","±0.5","192,978","±4,122","43.1%","±0.8","184,435","±6,150","31.6%","±1.0","1,593,090","±15,616","33.4%","±0.3","759,297","±12,471","30.6%","±0.5","344,464","±7,798","28.1%","±0.6","374,720","±6,600","33.6%","±0.6","562,695","±7,784","33.0%","±0.5","589,339","±11,722","34.3%","±0.6","158,529","±4,335","28.6%","±0.7","723,780","±9,709","33.5%","±0.4","952,339","±10,308","37.8%","±0.4","1,105,104","±13,859","28.9%","±0.4","603,133","±9,212","28.6%","±0.4","346,910","±8,433","31.8%","±0.7","767,449","±11,382","32.5%","±0.4","134,742","±4,135","32.9%","±0.9","246,928","±5,425","33.7%","±0.7","454,281","±8,114","45.1%","±0.7","151,274","±5,422","29.1%","±1.0","1,117,318","±13,291","34.9%","±0.4","246,890","±7,139","32.3%","±0.9","3,355,029","±20,123","46.3%","±0.2","1,289,699","±14,128","34.6%","±0.4","101,751","±4,117","35.0%","±1.3","1,535,290","±11,791","33.7%","±0.2","486,298","±5,609","33.6%","±0.4","583,182","±9,343","38.4%","±0.6","1,541,750","±11,953","31.1%","±0.2","165,293","±4,531","40.0%","±1.0","569,648","±9,235","31.9%","±0.5","106,565","±4,369","32.9%","±1.2","826,089","±12,336","33.3%","±0.5","3,384,103","±21,621","37.7%","±0.2","272,102","±6,236","30.4%","±0.7","74,957","±2,865","29.0%","±1.0","1,028,525","±13,454","33.8%","±0.4","993,180","±12,832","37.7%","±0.4","207,786","±4,871","28.0%","±0.6","748,584","±9,486","32.7%","±0.4","69,184","±3,701","31.0%","±1.6","385,817","±7,079","30.5%","±0.5"
"    Average household size of owner-occupied unit","2.58","±0.02","(X)","(X)","2.91","±0.05","(X)","(X)","2.66","±0.02","(X)","(X)","2.53","±0.02","(X)","(X)","3.00","±0.01","(X)","(X)","2.59","±0.02","(X)","(X)","2.68","±0.02","(X)","(X)","2.64","±0.03","(X)","(X)","2.31","±0.06","(X)","(X)","2.61","±0.01","(X)","(X)","2.77","±0.01","(X)","(X)","3.15","±0.05","(X)","(X)","2.71","±0.03","(X)","(X)","2.73","±0.01","(X)","(X)","2.64","±0.01","(X)","(X)","2.51","±0.01","(X)","(X)","2.62","±0.02","(X)","(X)","2.56","±0.02","(X)","(X)","2.65","±0.02","(X)","(X)","2.43","±0.03","(X)","(X)","2.75","±0.01","(X)","(X)","2.71","±0.02","(X)","(X)","2.60","±0.01","(X)","(X)","2.59","±0.01","(X)","(X)","2.65","±0.02","(X)","(X)","2.57","±0.02","(X)","(X)","2.44","±0.03","(X)","(X)","2.56","±0.03","(X)","(X)","2.67","±0.03","(X)","(X)","2.57","±0.03","(X)","(X)","2.82","±0.01","(X)","(X)","2.71","±0.03","(X)","(X)","2.76","±0.01","(X)","(X)","2.58","±0.01","(X)","(X)","2.51","±0.03","(X)","(X)","2.55","±0.01","(X)","(X)","2.59","±0.02","(X)","(X)","2.55","±0.02","(X)","(X)","2.60","±0.01","(X)","(X)","2.59","±0.04","(X)","(X)","2.58","±0.02","(X)","(X)","2.56","±0.03","(X)","(X)","2.59","±0.01","(X)","(X)","2.95","±0.01","(X)","(X)","3.24","±0.03","(X)","(X)","2.41","±0.03","(X)","(X)","2.67","±0.01","(X)","(X)","2.65","±0.02","(X)","(X)","2.51","±0.02","(X)","(X)","2.56","±0.01","(X)","(X)","2.53","±0.05","(X)","(X)","2.90","±0.03","(X)","(X)"
"    Average household size of renter-occupied unit","2.49","±0.04","(X)","(X)","2.62","±0.07","(X)","(X)","2.70","±0.03","(X)","(X)","2.46","±0.04","(X)","(X)","2.93","±0.01","(X)","(X)","2.45","±0.03","(X)","(X)","2.31","±0.03","(X)","(X)","2.57","±0.08","(X)","(X)","2.16","±0.05","(X)","(X)","2.66","±0.02","(X)","(X)","2.68","±0.03","(X)","(X)","2.83","±0.07","(X)","(X)","2.63","±0.06","(X)","(X)","2.45","±0.02","(X)","(X)","2.39","±0.03","(X)","(X)","2.20","±0.03","(X)","(X)","2.32","±0.03","(X)","(X)","2.36","±0.03","(X)","(X)","2.51","±0.03","(X)","(X)","2.09","±0.05","(X)","(X)","2.49","±0.02","(X)","(X)","2.26","±0.02","(X)","(X)","2.34","±0.02","(X)","(X)","2.21","±0.02","(X)","(X)","2.66","±0.05","(X)","(X)","2.29","±0.03","(X)","(X)","2.28","±0.05","(X)","(X)","2.26","±0.04","(X)","(X)","2.74","±0.04","(X)","(X)","2.22","±0.05","(X)","(X)","2.52","±0.02","(X)","(X)","2.58","±0.05","(X)","(X)","2.47","±0.01","(X)","(X)","2.48","±0.02","(X)","(X)","1.96","±0.05","(X)","(X)","2.29","±0.02","(X)","(X)","2.49","±0.03","(X)","(X)","2.46","±0.03","(X)","(X)","2.24","±0.02","(X)","(X)","2.22","±0.05","(X)","(X)","2.54","±0.03","(X)","(X)","2.28","±0.06","(X)","(X)","2.44","±0.03","(X)","(X)","2.66","±0.02","(X)","(X)","2.89","±0.05","(X)","(X)","2.11","±0.06","(X)","(X)","2.51","±0.03","(X)","(X)","2.42","±0.03","(X)","(X)","2.23","±0.04","(X)","(X)","2.19","±0.02","(X)","(X)","2.48","±0.09","(X)","(X)","2.82","±0.04","(X)","(X)"
"YEAR HOUSEHOLDER MOVED INTO UNIT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
