"","Alabama","","","","Alaska","","","","Arizona","","","","Arkansas","","","","California","","","","Colorado","","","","Connecticut","","","","Delaware","","","","District of Columbia","","","","Florida","","","","Georgia","","","","Hawaii","","","","Idaho","","","","Illinois","","","","Indiana","","","","Iowa","","","","Kansas","","","","Kentucky","","","","Louisiana","","","","Maine","","","","Maryland","","","","Massachusetts","","","","Michigan","","","","Minnesota","","","","Mississippi","","","","Missouri","","","","Montana","","","","Nebraska","","","","Nevada","","","","New Hampshire","","","","New Jersey","","","","New Mexico","","","","New York","","","","North Carolina","","","","North Dakota","","","","Ohio","","","","Oklahoma","","","","Oregon","","","","Pennsylvania","","","","Rhode Island","","","","South Carolina","","","","South Dakota","","","","Tennessee","","","","Texas","","","","Utah","","","","Vermont","","","","Virginia","","","","Washington","","","","West Virginia","","","","Wisconsin","","","","Wyoming","","","","Puerto Rico","","",""
"    Built 1950 to 1959","197,347","±6,138","9.1%","±0.3","17,785","±1,685","5.8%","±0.5","166,837","±5,524","5.9%","±0.2","101,100","±4,072","7.7%","±0.3","1,899,017","±15,509","13.9%","±0.1","182,478","±5,816","8.2%","±0.3","227,649","±6,912","15.3%","±0.5","41,836","±2,687","10.3%","±0.7","43,346","±3,039","14.6%","±1.0","681,202","±13,396","7.6%","±0.1","263,903","±7,535","6.5%","±0.2","50,036","±3,635","9.6%","±0.7","51,692","±3,091","7.7%","±0.5","708,857","±12,299","13.4%","±0.2","324,060","±6,830","11.6%","±0.2","151,111","±4,608","11.3%","±0.3","167,228","±4,905","13.6%","±0.4","179,288","±5,763","9.3%","±0.3","205,041","±6,586","10.4%","±0.3","52,340","±3,037","7.2%","±0.4","280,798","±6,669","11.8%","±0.3","322,661","±7,406","11.5%","±0.3","695,361","±11,151","15.3%","±0.2","245,927","±6,014","10.5%","±0.3","100,898","±4,170","7.9%","±0.3","298,568","±7,076","11.0%","±0.3","46,709","±2,691","9.7%","±0.6","79,967","±4,294","10.0%","±0.5","36,733","±2,479","3.1%","±0.2","47,319","±3,485","7.7%","±0.6","559,940","±10,000","15.8%","±0.3","97,168","±4,659","10.8%","±0.5","1,242,251","±14,185","15.3%","±0.2","331,009","±9,103","7.6%","±0.2","31,469","±2,466","9.9%","±0.8","742,500","±12,657","14.5%","±0.2","189,177","±5,421","11.4%","±0.3","143,455","±5,473","8.6%","±0.3","773,711","±12,127","13.9%","±0.2","58,969","±4,082","12.7%","±0.9","159,017","±5,568","7.4%","±0.3","33,108","±2,345","9.1%","±0.6","256,145","±8,505","9.1%","±0.3","882,610","±12,476","8.8%","±0.1","72,588","±3,892","7.4%","±0.4","20,927","±1,976","6.5%","±0.6","325,728","±8,447","9.7%","±0.3","226,859","±7,416","7.9%","±0.3","99,583","±3,755","11.3%","±0.4","289,954","±6,525","11.0%","±0.2","25,564","±2,635","9.7%","±1.0","148,514","±5,890","9.1%","±0.4"
"    Built 1940 to 1949","104,404","±4,845","4.8%","±0.2","5,887","±1,037","1.9%","±0.3","48,610","±3,734","1.7%","±0.1","59,148","±3,459","4.5%","±0.3","898,449","±14,575","6.6%","±0.1","64,348","±4,140","2.9%","±0.2","99,164","±5,097","6.7%","±0.3","22,076","±2,420","5.4%","±0.6","49,982","±3,477","16.8%","±1.2","210,134","±7,317","2.3%","±0.1","120,979","±5,515","3.0%","±0.1","19,447","±2,025","3.7%","±0.4","28,692","±2,199","4.3%","±0.3","362,701","±8,353","6.8%","±0.2","169,083","±5,359","6.0%","±0.2","81,974","±3,618","6.1%","±0.3","80,811","±4,084","6.5%","±0.3","92,081","±4,637","4.8%","±0.2","106,018","±4,831","5.4%","±0.2","36,784","±2,676","5.1%","±0.4","151,156","±5,814","6.3%","±0.2","163,686","±6,557","5.8%","±0.2","380,416","±8,024","8.4%","±0.2","114,546","±4,410","4.9%","±0.2","48,135","±3,258","3.8%","±0.3","146,579","±6,122","5.4%","±0.2","28,755","±2,412","6.0%","±0.5","40,094","±2,770","5.0%","±0.3","12,020","±1,769","1.0%","±0.2","25,217","±2,615","4.1%","±0.4","321,057","±9,566","9.0%","±0.3","38,923","±3,835","4.3%","±0.4","715,956","±10,332","8.8%","±0.1","172,402","±6,897","4.0%","±0.2","17,168","±1,727","5.4%","±0.5","351,322","±8,720","6.9%","±0.2","99,416","±4,708","6.0%","±0.3","96,232","±5,147","5.7%","±0.3","471,075","±11,472","8.5%","±0.2","31,411","±3,137","6.8%","±0.7","69,226","±3,811","3.2%","±0.2","20,330","±2,368","5.6%","±0.7","130,164","±5,708","4.6%","±0.2","388,794","±10,900","3.9%","±0.1","39,667","±3,223","4.0%","±0.3","10,545","±1,353","3.3%","±0.4","170,814","±6,093","5.1%","±0.2","149,009","±5,006","5.2%","±0.2","71,910","±3,897","8.2%","±0.4","153,183","±5,641","5.8%","±0.2","14,430","±1,780","5.5%","±0.7","56,961","±3,409","3.5%","±0.2"
"    Built 1939 or earlier","128,063","±5,171","5.9%","±0.2","5,006","±944","1.6%","±0.3","47,445","±3,436","1.7%","±0.1","71,140","±4,240","5.4%","±0.3","1,293,192","±17,122","9.5%","±0.1","185,786","±6,425","8.4%","±0.3","350,392","±6,700","23.5%","±0.4","36,150","±2,585","8.9%","±0.6","101,315","±3,862","34.1%","±1.3","197,029","±7,290","2.2%","±0.1","183,734","±6,288","4.5%","±0.2","21,287","±1,995","4.1%","±0.4","63,753","±3,328","9.5%","±0.5","1,226,325","±13,858","23.2%","±0.3","534,090","±9,416","19.1%","±0.3","364,888","±6,881","27.3%","±0.5","224,142","±4,628","18.2%","±0.4","221,084","±6,821","11.5%","±0.4","139,188","±5,034","7.1%","±0.3","194,868","±5,669","27.0%","±0.8","286,428","±6,627","12.0%","±0.3","991,647","±11,371","35.3%","±0.4","702,525","±10,725","15.5%","±0.2","424,238","±6,484","18.1%","±0.3","61,023","±3,800","4.8%","±0.3","398,851","±8,289","14.7%","±0.3","77,361","±3,561","16.0%","±0.7","185,804","±4,140","23.3%","±0.5","13,627","±1,798","1.2%","±0.2","136,472","±4,500","22.2%","±0.7","650,308","±11,394","18.3%","±0.3","52,397","±3,373","5.8%","±0.4","2,687,501","±18,398","33.1%","±0.2","249,391","±6,569","5.8%","±0.2","52,670","±2,237","16.6%","±0.7","1,080,044","±11,895","21.1%","±0.2","147,680","±4,879","8.9%","±0.3","195,671","±6,867","11.7%","±0.4","1,535,060","±15,277","27.6%","±0.3","164,628","±5,419","35.5%","±1.2","104,480","±4,560","4.9%","±0.2","71,452","±2,765","19.6%","±0.8","197,134","±6,958","7.0%","±0.2","439,497","±8,281","4.4%","±0.1","80,154","±3,421","8.2%","±0.3","88,798","±3,259","27.5%","±1.0","267,854","±8,117","8.0%","±0.2","317,352","±8,114","11.0%","±0.3","143,572","±5,064","16.3%","±0.6","567,742","±7,846","21.6%","±0.3","32,063","±2,729","12.2%","±1.0","43,917","±2,913","2.7%","±0.2"
"ROOMS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total housing units","2,174,428","±364","2,174,428","(X)","307,065","±243","307,065","(X)","2,846,738","±629","2,846,738","(X)","1,317,818","±388","1,317,818","(X)","13,682,976","±1,131","13,682,976","(X)","2,214,262","±463","2,214,262","(X)","1,488,215","±264","1,488,215","(X)","406,489","±123","406,489","(X)","296,836","±63","296,836","(X)","8,994,091","±955","8,994,091","(X)","4,091,482","±577","4,091,482","(X)","519,992","±71","519,992","(X)","668,634","±244","668,634","(X)","5,297,077","±938","5,297,077","(X)","2,797,172","±482","2,797,172","(X)","1,337,563","±361","1,337,563","(X)","1,234,037","±578","1,234,037","(X)","1,928,617","±335","1,928,617","(X)","1,967,947","±323","1,967,947","(X)","722,217","±148","722,217","(X)","2,380,605","±340","2,380,605","(X)","2,808,727","±486","2,808,727","(X)","4,531,231","±689","4,531,231","(X)","2,348,242","±475","2,348,242","(X)","1,276,441","±575","1,276,441","(X)","2,714,017","±363","2,714,017","(X)","483,006","±171","483,006","(X)","797,677","±347","797,677","(X)","1,175,070","±197","1,175,070","(X)","614,996","±180","614,996","(X)","3,554,909","±429","3,554,909","(X)","902,242","±374","902,242","(X)","8,108,211","±1,124","8,108,211","(X)","4,333,479","±1,587","4,333,479","(X)","318,099","±364","318,099","(X)","5,128,113","±797","5,128,113","(X)","1,666,205","±288","1,666,205","(X)","1,676,476","±322","1,676,476","(X)","5,568,820","±631","5,568,820","(X)","463,416","±108","463,416","(X)","2,140,337","±280","2,140,337","(X)","364,031","±713","364,031","(X)","2,815,087","±513","2,815,087","(X)","9,996,209","±964","9,996,209","(X)","981,821","±369","981,821","(X)","322,698","±118","322,698","(X)","3,368,674","±1,668","3,368,674","(X)","2,888,594","±688","2,888,594","(X)","882,213","±182","882,213","(X)","2,625,477","±440","2,625,477","(X)","262,286","±109","262,286","(X)","1,637,216","±7,325","1,637,216","(X)"
"    1 room","23,741","±2,744","1.1%","±0.1","16,907","±1,791","5.5%","±0.6","61,022","±4,393","2.1%","±0.2","22,311","±3,262","1.7%","±0.2","461,928","±12,347","3.4%","±0.1","37,486","±3,557","1.7%","±0.2","31,662","±3,627","2.1%","±0.2","5,429","±1,458","1.3%","±0.4","19,882","±2,508","6.7%","±0.8","132,743","±7,852","1.5%","±0.1","53,278","±3,849","1.3%","±0.1","24,170","±2,640","4.6%","±0.5","10,067","±1,918","1.5%","±0.3","122,041","±6,344","2.3%","±0.1","30,102","±3,249","1.1%","±0.1","14,279","±2,532","1.1%","±0.2","21,051","±2,613","1.7%","±0.2","27,325","±3,017","1.4%","±0.2","23,660","±2,584","1.2%","±0.1","17,791","±1,911","2.5%","±0.3","28,529","±3,376","1.2%","±0.1","62,623","±4,843","2.2%","±0.2","54,205","±3,592","1.2%","±0.1","35,165","±3,493","1.5%","±0.1","13,444","±2,332","1.1%","±0.2","37,855","±4,058","1.4%","±0.1","12,382","±1,868","2.6%","±0.4","8,558","±1,625","1.1%","±0.2","29,761","±2,886","2.5%","±0.2","9,243","±1,611","1.5%","±0.3","119,894","±5,277","3.4%","±0.1","25,951","±2,233","2.9%","±0.2","290,865","±9,748","3.6%","±0.1","44,917","±3,972","1.0%","±0.1","4,813","±1,101","1.5%","±0.3","67,845","±4,911","1.3%","±0.1","19,854","±2,399","1.2%","±0.1","36,830","±3,543","2.2%","±0.2","95,241","±5,631","1.7%","±0.1","10,345","±1,984","2.2%","±0.4","37,721","±3,639","1.8%","±0.2","5,766","±1,411","1.6%","±0.4","28,498","±2,884","1.0%","±0.1","163,068","±7,723","1.6%","±0.1","14,832","±2,002","1.5%","±0.2","6,740","±1,199","2.1%","±0.4","46,403","±3,302","1.4%","±0.1","67,231","±5,388","2.3%","±0.2","10,748","±1,683","1.2%","±0.2","43,878","±3,548","1.7%","±0.1","4,095","±1,000","1.6%","±0.4","25,354","±2,366","1.5%","±0.1"
"    2 rooms","25,665","±3,065","1.2%","±0.1","23,895","±2,368","7.8%","±0.8","92,487","±5,434","3.2%","±0.2","18,160","±2,132","1.4%","±0.2","520,878","±11,844","3.8%","±0.1","71,626","±4,050","3.2%","±0.2","35,820","±3,055","2.4%","±0.2","3,389","±840","0.8%","±0.2","18,919","±2,273","6.4%","±0.8","183,999","±7,112","2.0%","±0.1","53,084","±4,428","1.3%","±0.1","43,019","±3,498","8.3%","±0.7","18,703","±2,884","2.8%","±0.4","111,333","±4,887","2.1%","±0.1","37,404","±2,703","1.3%","±0.1","26,912","±3,135","2.0%","±0.2","20,670","±2,565","1.7%","±0.2","25,750","±2,874","1.3%","±0.1","40,249","±4,016","2.0%","±0.2","23,702","±1,929","3.3%","±0.3","40,692","±3,480","1.7%","±0.1","80,803","±4,247","2.9%","±0.2","77,281","±3,881","1.7%","±0.1","61,497","±3,457","2.6%","±0.1","20,312","±2,848","1.6%","±0.2","45,150","±3,827","1.7%","±0.1","15,163","±1,861","3.1%","±0.4","21,480","±2,367","2.7%","±0.3","30,611","±3,141","2.6%","±0.3","14,469","±1,822","2.4%","±0.3","73,974","±4,060","2.1%","±0.1","19,297","±2,159","2.1%","±0.2","288,943","±8,649","3.6%","±0.1","61,230","±4,799","1.4%","±0.1","9,557","±1,648","3.0%","±0.5","71,977","±3,958","1.4%","±0.1","27,498","±2,553","1.7%","±0.2","54,200","±3,979","3.2%","±0.2","100,990","±4,390","1.8%","±0.1","14,715","±1,778","3.2%","±0.4","24,689","±2,481","1.2%","±0.1","10,101","±1,714","2.8%","±0.5","36,592","±3,226","1.3%","±0.1","264,696","±8,776","2.6%","±0.1","20,972","±2,282","2.1%","±0.2","11,389","±1,516","3.5%","±0.5","60,384","±4,439","1.8%","±0.1","112,295","±6,144","3.9%","±0.2","13,040","±1,777","1.5%","±0.2","57,639","±3,431","2.2%","±0.1","7,876","±1,569","3.0%","±0.6","55,584","±3,765","3.4%","±0.2"
"    3 rooms","133,578","±6,322","6.1%","±0.3","39,726","±2,575","12.9%","±0.8","279,161","±9,080","9.8%","±0.3","85,755","±5,179","6.5%","±0.4","1,618,942","±19,874","11.8%","±0.1","234,279","±7,783","10.6%","±0.4","133,041","±5,887","8.9%","±0.4","27,251","±2,804","6.7%","±0.7","63,568","±4,267","21.4%","±1.4","917,434","±18,864","10.2%","±0.2","260,803","±8,631","6.4%","±0.2","76,954","±4,047","14.8%","±0.8","49,289","±3,601","7.4%","±0.5","427,167","±11,497","8.1%","±0.2","189,840","±6,965","6.8%","±0.2","96,808","±5,096","7.2%","±0.4","93,044","±4,444","7.5%","±0.4","130,931","±5,852","6.8%","±0.3","158,790","±5,851","8.1%","±0.3","71,103","±3,629","9.8%","±0.5","186,726","±7,115","7.8%","±0.3","287,288","±8,484","10.2%","±0.3","322,047","±8,772","7.1%","±0.2","218,007","±5,733","9.3%","±0.2","79,668","±5,086","6.2%","±0.4","191,856","±6,845","7.1%","±0.3","43,155","±3,310","8.9%","±0.7","63,937","±3,847","8.0%","±0.5","114,783","±5,580","9.8%","±0.5","53,453","±3,713","8.7%","±0.6","364,934","±9,531","10.3%","±0.3","70,050","±4,603","7.8%","±0.5","1,237,142","±15,601","15.3%","±0.2","306,450","±10,017","7.1%","±0.2","28,358","±2,566","8.9%","±0.8","333,443","±9,760","6.5%","±0.2","130,788","±5,979","7.8%","±0.4","144,867","±5,543","8.6%","±0.3","384,705","±9,891","6.9%","±0.2","45,904","±3,180","9.9%","±0.7","130,562","±6,920","6.1%","±0.3","29,519","±2,939","8.1%","±0.8","188,185","±8,430","6.7%","±0.3","1,060,352","±17,011","10.6%","±0.2","63,107","±3,911","6.4%","±0.4","29,213","±2,339","9.1%","±0.7","238,141","±8,654","7.1%","±0.3","274,945","±8,041","9.5%","±0.3","51,846","±3,734","5.9%","±0.4","222,256","±6,736","8.5%","±0.3","18,244","±2,162","7.0%","±0.8","180,793","±6,789","11.0%","±0.4"
"    4 rooms","336,429","±8,808","15.5%","±0.4","60,823","±3,640","19.8%","±1.2","502,700","±11,729","17.7%","±0.4","234,363","±7,787","17.8%","±0.6","2,623,963","±24,327","19.2%","±0.2","338,131","±8,134","15.3%","±0.4","225,142","±7,792","15.1%","±0.5","49,241","±3,269","12.1%","±0.8","61,226","±3,546","20.6%","±1.2","1,995,338","±23,748","22.2%","±0.3","602,061","±13,305","14.7%","±0.3","105,864","±5,316","20.4%","±1.0","108,684","±5,139","16.3%","±0.8","862,982","±14,298","16.3%","±0.3","404,318","±9,841","14.5%","±0.4","195,587","±6,031","14.6%","±0.5","175,054","±7,084","14.2%","±0.6","320,655","±7,621","16.6%","±0.4","340,523","±7,532","17.3%","±0.4","124,905","±4,605","17.3%","±0.6","301,903","±9,048","12.7%","±0.4","454,420","±9,174","16.2%","±0.3","660,111","±12,668","14.6%","±0.3","330,187","±8,059","14.1%","±0.3","213,264","±8,288","16.7%","±0.6","441,290","±9,644","16.3%","±0.4","84,719","±4,348","17.5%","±0.9","114,868","±4,845","14.4%","±0.6","216,962","±6,940","18.5%","±0.6","109,953","±4,677","17.9%","±0.8","522,388","±10,229","14.7%","±0.3","160,761","±6,113","17.8%","±0.7","1,506,731","±17,137","18.6%","±0.2","773,963","±12,858","17.9%","±0.3","55,618","±3,055","17.5%","±1.0","717,985","±12,593","14.0%","±0.2","274,576","±6,779","16.5%","±0.4","293,281","±8,331","17.5%","±0.5","702,197","±10,291","12.6%","±0.2","86,219","±4,178","18.6%","±0.9","374,579","±9,478","17.5%","±0.4","60,887","±3,412","16.7%","±0.9","461,494","±9,944","16.4%","±0.4","1,703,411","±21,074","17.0%","±0.2","139,404","±6,061","14.2%","±0.6","49,748","±2,913","15.4%","±0.9","491,248","±11,184","14.6%","±0.3","473,982","±10,302","16.4%","±0.4","140,482","±5,237","15.9%","±0.6","444,656","±7,012","16.9%","±0.3","46,262","±3,088","17.6%","±1.2","456,185","±10,344","27.9%","±0.6"
"    5 rooms","513,630","±11,170","23.6%","±0.5","56,212","±3,372","18.3%","±1.1","640,575","±13,510","22.5%","±0.5","352,146","±8,726","26.7%","±0.7","2,812,683","±25,693","20.6%","±0.2","376,095","±9,881","17.0%","±0.4","273,854","±8,053","18.4%","±0.5","68,435","±3,261","16.8%","±0.8","36,061","±2,741","12.1%","±0.9","2,117,788","±23,137","23.5%","±0.3","862,035","±12,465","21.1%","±0.3","101,071","±5,006","19.4%","±1.0","136,044","±5,875","20.3%","±0.9","1,085,305","±14,432","20.5%","±0.3","623,279","±10,398","22.3%","±0.4","245,030","±5,998","18.3%","±0.4","242,017","±8,207","19.6%","±0.7","449,594","±9,391","23.3%","±0.5","489,676","±9,553","24.9%","±0.5","149,050","±6,007","20.6%","±0.8","351,790","±9,472","14.8%","±0.4","516,066","±9,293","18.4%","±0.3","973,385","±13,843","21.5%","±0.3","367,611","±7,590","15.7%","±0.3","337,868","±8,221","26.5%","±0.6","603,830","±10,447","22.2%","±0.4","98,985","±3,986","20.5%","±0.8","130,020","±5,275","16.3%","±0.7","252,566","±7,627","21.5%","±0.6","116,566","±4,759","19.0%","±0.8","579,984","±11,151","16.3%","±0.3","215,148","±7,220","23.8%","±0.8","1,357,477","±15,717","16.7%","±0.2","1,024,445","±14,258","23.6%","±0.3","55,343","±2,643","17.4%","±0.8","1,013,077","±14,470","19.8%","±0.3","436,678","±8,552","26.2%","±0.5","334,907","±9,244","20.0%","±0.6","923,209","±13,085","16.6%","±0.2","96,210","±4,240","20.8%","±0.9","500,199","±10,572","23.4%","±0.5","64,217","±3,576","17.6%","±1.0","636,829","±10,523","22.6%","±0.4","2,196,529","±23,792","22.0%","±0.2","152,934","±5,629","15.6%","±0.6","64,430","±3,262","20.0%","±1.0","602,801","±12,410","17.9%","±0.4","519,252","±9,435","18.0%","±0.3","196,229","±5,749","22.2%","±0.7","545,897","±8,791","20.8%","±0.3","52,273","±3,264","19.9%","±1.2","539,467","±9,639","33.0%","±0.6"
"    6 rooms","452,588","±9,723","20.8%","±0.4","40,549","±2,509","13.2%","±0.8","546,482","±12,014","19.2%","±0.4","272,649","±7,654","20.7%","±0.6","2,321,437","±17,864","17.0%","±0.1","323,009","±7,563","14.6%","±0.3","260,116","±6,907","17.5%","±0.5","78,735","±4,075","19.4%","±1.0","30,630","±2,508","10.3%","±0.8","1,618,921","±20,697","18.0%","±0.2","816,949","±11,846","20.0%","±0.3","70,455","±3,508","13.5%","±0.7","109,603","±4,583","16.4%","±0.7","974,409","±14,693","18.4%","±0.3","564,652","±10,645","20.2%","±0.4","233,402","±5,712","17.4%","±0.4","219,001","±6,591","17.7%","±0.5","370,012","±9,345","19.2%","±0.5","400,581","±10,309","20.4%","±0.5","126,670","±5,018","17.5%","±0.7","404,345","±9,156","17.0%","±0.4","491,338","±9,925","17.5%","±0.4","909,722","±12,531","20.1%","±0.3","363,537","±7,932","15.5%","±0.3","267,301","±8,456","20.9%","±0.7","519,981","±9,288","19.2%","±0.3","78,966","±3,718","16.3%","±0.8","132,653","±5,329","16.6%","±0.7","240,657","±7,465","20.5%","±0.6","108,730","±5,038","17.7%","±0.8","578,787","±10,600","16.3%","±0.3","181,752","±6,068","20.1%","±0.7","1,240,999","±17,470","15.3%","±0.2","823,560","±11,872","19.0%","±0.3","44,840","±2,463","14.1%","±0.8","1,042,162","±14,321","20.3%","±0.3","354,038","±6,695","21.2%","±0.4","307,175","±8,015","18.3%","±0.5","1,222,024","±10,950","21.9%","±0.2","81,907","±4,130","17.7%","±0.9","431,340","±8,956","20.2%","±0.4","53,427","±2,546","14.7%","±0.7","560,230","±13,718","19.9%","±0.5","1,872,083","±21,992","18.7%","±0.2","136,883","±5,131","13.9%","±0.5","50,983","±2,520","15.8%","±0.8","559,782","±11,244","16.6%","±0.3","471,513","±10,985","16.3%","±0.4","184,296","±5,851","20.9%","±0.7","461,139","±7,818","17.6%","±0.3","40,015","±2,783","15.3%","±1.1","227,672","±7,070","13.9%","±0.4"
"    7 rooms","291,258","±8,439","13.4%","±0.4","28,823","±2,615","9.4%","±0.9","352,341","±8,391","12.4%","±0.3","155,366","±6,024","11.8%","±0.5","1,542,055","±19,205","11.3%","±0.1","269,095","±7,486","12.2%","±0.3","197,635","±6,835","13.3%","±0.5","62,079","±2,927","15.3%","±0.7","21,173","±2,193","7.1%","±0.7","969,185","±16,461","10.8%","±0.2","549,395","±10,090","13.4%","±0.2","42,591","±3,036","8.2%","±0.6","79,213","±3,714","11.8%","±0.6","634,539","±10,809","12.0%","±0.2","383,689","±7,413","13.7%","±0.3","185,468","±5,101","13.9%","±0.4","162,831","±5,276","13.2%","±0.4","245,001","±7,437","12.7%","±0.4","240,500","±6,786","12.2%","±0.3","90,466","±3,613","12.5%","±0.5","337,169","±9,487","14.2%","±0.4","340,726","±8,436","12.1%","±0.3","603,687","±10,274","13.3%","±0.2","305,486","±7,183","13.0%","±0.3","162,460","±6,441","12.7%","±0.5","336,427","±8,490","12.4%","±0.3","54,172","±2,956","11.2%","±0.6","110,853","±3,796","13.9%","±0.5","131,057","±6,085","11.2%","±0.5","80,004","±3,448","13.0%","±0.6","445,364","±10,145","12.5%","±0.3","115,434","±5,689","12.8%","±0.6","832,576","±11,790","10.3%","±0.1","530,286","±10,654","12.2%","±0.2","35,792","±1,791","11.3%","±0.6","745,116","±11,544","14.5%","±0.2","195,780","±6,186","11.8%","±0.4","211,966","±6,909","12.6%","±0.4","828,719","±13,700","14.9%","±0.2","54,360","±3,653","11.7%","±0.8","273,894","±8,587","12.8%","±0.4","43,338","±2,670","11.9%","±0.7","359,116","±9,217","12.8%","±0.3","1,137,783","±15,127","11.4%","±0.2","122,375","±4,885","12.5%","±0.5","38,951","±2,486","12.1%","±0.8","437,959","±9,091","13.0%","±0.3","353,771","±9,993","12.2%","±0.3","114,741","±4,497","13.0%","±0.5","329,087","±7,753","12.5%","±0.3","32,754","±2,407","12.5%","±0.9","82,253","±4,200","5.0%","±0.3"
"    8 rooms","189,195","±6,588","8.7%","±0.3","18,029","±2,084","5.9%","±0.7","195,043","±6,599","6.9%","±0.2","89,240","±4,239","6.8%","±0.3","912,704","±12,800","6.7%","±0.1","218,762","±6,640","9.9%","±0.3","148,122","±4,649","10.0%","±0.3","47,965","±3,114","11.8%","±0.8","18,044","±1,973","6.1%","±0.7","562,472","±10,714","6.3%","±0.1","380,192","±10,175","9.3%","±0.2","24,595","±2,278","4.7%","±0.4","65,748","±3,664","9.8%","±0.5","468,085","±10,359","8.8%","±0.2","248,501","±6,548","8.9%","±0.2","144,035","±4,956","10.8%","±0.4","127,946","±5,625","10.4%","±0.5","159,012","±5,558","8.2%","±0.3","143,000","±5,733","7.3%","±0.3","56,566","±3,228","7.8%","±0.4","271,861","±7,530","11.4%","±0.3","261,589","±6,609","9.3%","±0.2","418,743","±8,812","9.2%","±0.2","261,795","±5,684","11.1%","±0.2","88,657","±3,823","6.9%","±0.3","243,221","±6,143","9.0%","±0.2","37,795","±2,928","7.8%","±0.6","90,943","±3,763","11.4%","±0.5","84,210","±5,172","7.2%","±0.4","54,741","±3,207","8.9%","±0.5","380,091","±9,004","10.7%","±0.3","60,870","±3,582","6.7%","±0.4","618,144","±10,221","7.6%","±0.1","351,877","±9,572","8.1%","±0.2","31,133","±1,912","9.8%","±0.6","528,383","±9,805","10.3%","±0.2","116,462","±4,904","7.0%","±0.3","129,823","±4,788","7.7%","±0.3","599,192","±10,783","10.8%","±0.2","34,450","±2,695","7.4%","±0.6","174,623","±6,931","8.2%","±0.3","38,804","±2,456","10.7%","±0.7","244,426","±7,005","8.7%","±0.2","746,321","±12,785","7.5%","±0.1","115,124","±4,391","11.7%","±0.4","31,789","±1,993","9.9%","±0.6","374,298","±9,007","11.1%","±0.3","264,258","±8,697","9.1%","±0.3","80,798","±3,741","9.2%","±0.4","234,305","±5,896","8.9%","±0.2","26,710","±2,675","10.2%","±1.0","44,554","±2,494","2.7%","±0.2"
"    9 rooms or more","208,344","±6,442","9.6%","±0.3","22,101","±2,149","7.2%","±0.7","176,927","±6,836","6.2%","±0.2","87,828","±4,774","6.7%","±0.4","868,386","±12,462","6.3%","±0.1","345,779","±7,049","15.6%","±0.3","182,823","±5,700","12.3%","±0.4","63,965","±3,349","15.7%","±0.8","27,333","±2,279","9.2%","±0.8","496,211","±9,163","5.5%","±0.1","513,685","±10,458","12.6%","±0.3","31,273","±2,663","6.0%","±0.5","91,283","±4,365","13.7%","±0.7","611,216","±8,843","11.5%","±0.2","315,387","±7,482","11.3%","±0.3","196,042","±5,263","14.7%","±0.4","172,423","±5,640","14.0%","±0.5","200,337","±6,388","10.4%","±0.3","130,968","±5,423","6.7%","±0.3","61,964","±3,441","8.6%","±0.5","457,590","±8,807","19.2%","±0.4","313,874","±7,422","11.2%","±0.3","512,050","±8,354","11.3%","±0.2","404,957","±7,549","17.2%","±0.3","93,467","±4,451","7.3%","±0.3","294,407","±6,597","10.8%","±0.2","57,669","±2,918","11.9%","±0.6","124,365","±4,113","15.6%","±0.5","74,463","±3,782","6.3%","±0.3","67,837","±3,805","11.0%","±0.6","489,493","±7,920","13.8%","±0.2","52,979","±2,928","5.9%","±0.3","735,334","±10,955","9.1%","±0.1","416,751","±8,105","9.6%","±0.2","52,645","±2,681","16.5%","±0.8","608,125","±9,910","11.9%","±0.2","110,531","±4,260","6.6%","±0.3","163,427","±5,484","9.7%","±0.3","712,543","±10,480","12.8%","±0.2","39,306","±2,809","8.5%","±0.6","192,730","±6,974","9.0%","±0.3","57,972","±2,604","15.9%","±0.7","299,717","±7,861","10.6%","±0.3","851,966","±12,502","8.5%","±0.1","216,190","±5,845","22.0%","±0.6","39,455","±2,147","12.2%","±0.7","557,658","±10,455","16.6%","±0.3","351,347","±7,426","12.2%","±0.3","90,033","±4,591","10.2%","±0.5","286,620","±6,288","10.9%","±0.2","34,057","±2,562","13.0%","±1.0","25,354","±2,037","1.5%","±0.1"
