"","Alabama","","","","Alaska","","","","Arizona","","","","Arkansas","","","","California","","","","Colorado","","","","Connecticut","","","","Delaware","","","","District of Columbia","","","","Florida","","","","Georgia","","","","Hawaii","","","","Idaho","","","","Illinois","","","","Indiana","","","","Iowa","","","","Kansas","","","","Kentucky","","","","Louisiana","","","","Maine","","","","Maryland","","","","Massachusetts","","","","Michigan","","","","Minnesota","","","","Mississippi","","","","Missouri","","","","Montana","","","","Nebraska","","","","Nevada","","","","New Hampshire","","","","New Jersey","","","","New Mexico","","","","New York","","","","North Carolina","","","","North Dakota","","","","Ohio","","","","Oklahoma","","","","Oregon","","","","Pennsylvania","","","","Rhode Island","","","","South Carolina","","","","South Dakota","","","","Tennessee","","","","Texas","","","","Utah","","","","Vermont","","","","Virginia","","","","Washington","","","","West Virginia","","","","Wisconsin","","","","Wyoming","","","","Puerto Rico","","",""
"        5 rooms","521,519","±11,517","23.6%","±0.5","57,875","±3,043","18.8%","±1.0","654,033","±14,023","22.5%","±0.5","349,976","±7,439","26.1%","±0.6","2,859,481","±25,876","20.6%","±0.2","363,043","±8,447","15.9%","±0.4","281,345","±7,455","18.8%","±0.5","78,401","±3,676","18.8%","±0.9","39,143","±3,146","12.8%","±1.0","2,199,590","±22,884","24.1%","±0.2","880,059","±16,599","21.2%","±0.4","108,623","±4,853","20.5%","±0.9","132,963","±5,239","19.4%","±0.8","1,068,308","±15,408","20.1%","±0.3","605,425","±12,444","21.4%","±0.4","243,059","±6,092","17.8%","±0.4","238,466","±6,236","19.1%","±0.5","439,621","±10,252","22.5%","±0.5","517,556","±10,154","25.7%","±0.5","148,578","±4,924","20.4%","±0.7","372,098","±8,293","15.4%","±0.3","518,634","±9,918","18.3%","±0.4","949,885","±11,267","20.9%","±0.2","364,589","±7,165","15.3%","±0.3","337,400","±8,989","26.1%","±0.7","606,438","±11,314","22.2%","±0.4","98,461","±3,860","20.0%","±0.8","139,069","±4,516","17.1%","±0.6","256,735","±7,361","21.4%","±0.6","115,318","±5,147","18.6%","±0.8","618,177","±10,892","17.2%","±0.3","223,915","±7,283","24.5%","±0.8","1,389,833","±14,904","17.0%","±0.2","1,035,644","±12,896","23.3%","±0.3","59,681","±3,288","17.0%","±0.9","996,528","±12,638","19.4%","±0.2","436,177","±6,699","25.7%","±0.4","356,201","±8,957","20.9%","±0.5","923,544","±11,576","16.5%","±0.2","98,811","±4,943","21.4%","±1.1","514,844","±10,645","23.5%","±0.5","63,581","±3,078","16.9%","±0.8","636,307","±10,504","22.2%","±0.4","2,256,246","±21,561","21.6%","±0.2","157,020","±4,944","15.4%","±0.5","60,069","±2,599","18.4%","±0.8","614,491","±11,089","17.8%","±0.3","534,355","±10,448","18.0%","±0.4","194,571","±5,799","22.0%","±0.7","549,902","±8,330","20.8%","±0.3","52,068","±2,912","19.4%","±1.1","570,143","±9,498","36.3%","±0.6"
"        6 rooms","464,170","±8,977","21.0%","±0.4","40,522","±2,298","13.1%","±0.7","525,284","±11,395","18.1%","±0.4","277,464","±7,664","20.7%","±0.6","2,331,176","±23,817","16.8%","±0.2","325,141","±7,286","14.3%","±0.3","253,897","±7,635","17.0%","±0.5","79,568","±4,465","19.1%","±1.1","29,138","±2,088","9.5%","±0.7","1,601,677","±20,123","17.5%","±0.2","819,754","±13,009","19.7%","±0.3","69,560","±3,779","13.1%","±0.7","115,217","±5,724","16.8%","±0.8","955,603","±12,428","18.0%","±0.2","561,545","±11,632","19.8%","±0.4","231,495","±5,896","17.0%","±0.4","210,313","±6,081","16.8%","±0.5","364,511","±7,667","18.7%","±0.4","392,521","±9,160","19.5%","±0.5","125,431","±4,598","17.2%","±0.6","416,853","±7,903","17.2%","±0.3","488,506","±9,405","17.3%","±0.3","905,336","±10,943","19.9%","±0.2","357,651","±8,228","15.0%","±0.3","270,019","±7,298","20.9%","±0.6","507,922","±9,027","18.6%","±0.3","74,992","±3,948","15.3%","±0.8","129,903","±4,291","15.9%","±0.5","213,789","±6,979","17.8%","±0.6","109,185","±4,329","17.6%","±0.7","588,398","±9,624","16.4%","±0.3","181,502","±6,422","19.9%","±0.7","1,217,415","±14,440","14.9%","±0.2","830,241","±13,771","18.6%","±0.3","46,777","±2,603","13.3%","±0.7","1,030,878","±13,851","20.0%","±0.3","355,028","±6,364","20.9%","±0.4","298,951","±8,449","17.6%","±0.5","1,204,990","±12,893","21.6%","±0.2","88,545","±4,605","19.1%","±1.0","435,965","±10,236","19.9%","±0.5","54,419","±2,540","14.5%","±0.7","548,586","±11,264","19.1%","±0.4","1,877,916","±17,247","18.0%","±0.2","136,929","±5,165","13.4%","±0.5","57,390","±2,967","17.6%","±0.9","572,355","±11,393","16.6%","±0.3","484,817","±10,326","16.4%","±0.3","179,113","±5,626","20.2%","±0.6","469,885","±7,886","17.7%","±0.3","44,355","±2,518","16.5%","±0.9","227,441","±7,177","14.5%","±0.5"
"        7 rooms","293,683","±7,472","13.3%","±0.3","26,551","±2,162","8.6%","±0.7","340,745","±8,834","11.7%","±0.3","164,595","±5,868","12.3%","±0.4","1,525,783","±17,081","11.0%","±0.1","268,699","±6,736","11.8%","±0.3","199,179","±5,861","13.3%","±0.4","65,918","±3,733","15.8%","±0.9","21,043","±1,993","6.9%","±0.7","937,252","±13,910","10.2%","±0.2","549,711","±12,686","13.2%","±0.3","43,978","±2,629","8.3%","±0.5","80,721","±4,293","11.8%","±0.6","640,232","±10,469","12.1%","±0.2","390,745","±8,447","13.8%","±0.3","188,292","±5,768","13.8%","±0.4","164,850","±5,376","13.2%","±0.4","241,311","±7,157","12.4%","±0.4","242,359","±7,753","12.1%","±0.4","84,017","±3,963","11.5%","±0.5","328,089","±8,261","13.5%","±0.3","346,754","±9,016","12.3%","±0.3","602,694","±8,853","13.3%","±0.2","305,006","±7,090","12.8%","±0.3","160,540","±5,520","12.4%","±0.4","348,325","±9,114","12.7%","±0.3","55,270","±2,761","11.2%","±0.6","106,562","±3,740","13.1%","±0.5","132,179","±5,282","11.0%","±0.4","78,747","±3,338","12.7%","±0.5","448,209","±8,818","12.5%","±0.2","107,674","±4,013","11.8%","±0.4","823,282","±10,894","10.1%","±0.1","533,122","±11,085","12.0%","±0.2","37,438","±2,363","10.7%","±0.7","743,342","±13,505","14.4%","±0.3","208,227","±4,870","12.3%","±0.3","193,014","±6,521","11.3%","±0.4","822,362","±10,678","14.7%","±0.2","51,583","±3,661","11.1%","±0.8","287,820","±7,182","13.2%","±0.3","44,496","±2,751","11.8%","±0.7","372,958","±9,314","13.0%","±0.3","1,195,271","±17,346","11.5%","±0.2","126,728","±5,063","12.4%","±0.5","40,843","±2,279","12.5%","±0.7","444,068","±9,220","12.9%","±0.3","365,550","±8,978","12.3%","±0.3","128,190","±4,974","14.5%","±0.6","337,866","±5,505","12.8%","±0.2","27,586","±2,095","10.3%","±0.8","77,477","±3,835","4.9%","±0.2"
"        8 rooms","194,941","±6,704","8.8%","±0.3","18,807","±2,023","6.1%","±0.7","199,327","±5,950","6.9%","±0.2","95,524","±4,318","7.1%","±0.3","894,554","±14,145","6.4%","±0.1","227,408","±7,031","10.0%","±0.3","143,882","±5,156","9.6%","±0.3","47,042","±2,685","11.3%","±0.6","20,282","±1,805","6.6%","±0.6","543,760","±11,419","5.9%","±0.1","394,875","±10,290","9.5%","±0.2","25,249","±2,042","4.8%","±0.4","66,945","±3,856","9.8%","±0.6","479,647","±8,950","9.0%","±0.2","254,844","±6,356","9.0%","±0.2","140,458","±4,492","10.3%","±0.3","135,191","±4,629","10.8%","±0.4","163,261","±5,158","8.4%","±0.3","146,504","±6,323","7.3%","±0.3","55,072","±2,865","7.6%","±0.4","269,039","±6,688","11.1%","±0.3","253,708","±6,304","9.0%","±0.2","415,018","±7,668","9.1%","±0.2","254,950","±5,894","10.7%","±0.2","93,377","±4,888","7.2%","±0.4","237,541","±7,007","8.7%","±0.3","39,329","±2,453","8.0%","±0.5","86,011","±3,154","10.6%","±0.4","75,185","±3,474","6.3%","±0.3","57,531","±3,023","9.3%","±0.5","364,811","±7,781","10.2%","±0.2","63,099","±4,038","6.9%","±0.4","610,673","±8,884","7.5%","±0.1","372,897","±8,809","8.4%","±0.2","34,312","±2,260","9.8%","±0.6","520,664","±9,048","10.1%","±0.2","117,224","±3,719","6.9%","±0.2","133,141","±4,693","7.8%","±0.3","601,691","±7,760","10.8%","±0.1","33,765","±2,442","7.3%","±0.5","183,217","±5,622","8.4%","±0.3","46,942","±2,505","12.5%","±0.7","245,420","±5,795","8.6%","±0.2","778,374","±14,364","7.5%","±0.1","111,357","±4,641","10.9%","±0.5","29,330","±2,326","9.0%","±0.7","367,304","±8,530","10.7%","±0.2","260,351","±6,007","8.8%","±0.2","77,183","±3,868","8.7%","±0.4","226,233","±5,267","8.5%","±0.2","26,919","±2,145","10.0%","±0.8","43,786","±2,961","2.8%","±0.2"
"        9 rooms or more","226,726","±6,746","10.3%","±0.3","24,979","±2,079","8.1%","±0.7","195,707","±6,499","6.7%","±0.2","94,492","±3,952","7.0%","±0.3","906,101","±11,120","6.5%","±0.1","380,720","±8,350","16.7%","±0.4","186,570","±5,067","12.5%","±0.3","63,534","±3,141","15.2%","±0.8","28,177","±2,112","9.2%","±0.7","527,395","±9,896","5.8%","±0.1","560,453","±11,781","13.5%","±0.3","27,667","±2,133","5.2%","±0.4","103,835","±5,030","15.2%","±0.7","631,744","±8,867","11.9%","±0.2","343,916","±8,176","12.2%","±0.3","211,513","±5,922","15.5%","±0.4","191,528","±5,170","15.3%","±0.4","212,253","±6,400","10.9%","±0.3","144,016","±5,459","7.2%","±0.3","65,886","±3,311","9.1%","±0.5","472,073","±8,990","19.5%","±0.4","321,963","±8,468","11.4%","±0.3","549,022","±9,093","12.1%","±0.2","447,945","±6,673","18.8%","±0.3","98,875","±4,823","7.6%","±0.4","321,386","±6,969","11.7%","±0.3","63,279","±2,915","12.9%","±0.6","143,727","±4,216","17.6%","±0.5","80,668","±3,446","6.7%","±0.3","69,353","±3,503","11.2%","±0.6","494,145","±8,422","13.8%","±0.2","58,391","±3,069","6.4%","±0.3","746,480","±10,173","9.1%","±0.1","456,295","±7,881","10.2%","±0.2","60,272","±3,231","17.2%","±0.9","644,608","±10,555","12.5%","±0.2","123,026","±3,828","7.2%","±0.2","170,634","±4,858","10.0%","±0.3","745,595","±9,853","13.3%","±0.2","40,712","±2,577","8.8%","±0.6","211,521","±6,586","9.7%","±0.3","60,297","±2,520","16.0%","±0.7","322,410","±7,813","11.2%","±0.3","970,557","±13,118","9.3%","±0.1","250,049","±4,866","24.5%","±0.5","36,876","±2,026","11.3%","±0.6","602,705","±9,712","17.5%","±0.3","377,404","±6,806","12.7%","±0.2","87,118","±3,988","9.8%","±0.5","303,712","±6,397","11.5%","±0.2","41,790","±2,617","15.6%","±1.0","27,072","±2,319","1.7%","±0.1"
"        Median rooms","5.7","±0.1","(X)","(X)","4.7","±0.3","(X)","(X)","5.2","±0.1","(X)","(X)","5.4","±0.1","(X)","(X)","5.0","±0.1","(X)","(X)","5.7","±0.1","(X)","(X)","5.6","±0.2","(X)","(X)","6.1","±0.1","(X)","(X)","4.2","±0.2","(X)","(X)","5.1","±0.1","(X)","(X)","5.8","±0.1","(X)","(X)","4.6","±0.1","(X)","(X)","5.7","±0.1","(X)","(X)","5.6","±0.1","(X)","(X)","5.7","±0.2","(X)","(X)","5.9","±0.1","(X)","(X)","5.9","±0.1","(X)","(X)","5.5","±0.1","(X)","(X)","5.3","±0.2","(X)","(X)","5.3","±0.1","(X)","(X)","6.2","±0.1","(X)","(X)","5.5","±0.1","(X)","(X)","5.7","±0.1","(X)","(X)","6.0","±0.1","(X)","(X)","5.4","±0.1","(X)","(X)","5.6","±0.1","(X)","(X)","5.4","±0.1","(X)","(X)","6.0","±0.2","(X)","(X)","5.1","±0.1","(X)","(X)","5.5","±0.2","(X)","(X)","5.7","±0.1","(X)","(X)","5.3","±0.1","(X)","(X)","5.0","±0.1","(X)","(X)","5.5","±0.1","(X)","(X)","5.6","±0.1","(X)","(X)","5.9","±0.1","(X)","(X)","5.4","±0.1","(X)","(X)","5.3","±0.2","(X)","(X)","6.0","±0.1","(X)","(X)","5.3","±0.1","(X)","(X)","5.6","±0.1","(X)","(X)","5.8","±0.1","(X)","(X)","5.6","±0.1","(X)","(X)","5.3","±0.1","(X)","(X)","6.3","±0.1","(X)","(X)","5.5","±0.1","(X)","(X)","6.0","±0.1","(X)","(X)","5.5","±0.1","(X)","(X)","5.7","±0.1","(X)","(X)","5.5","±0.1","(X)","(X)","5.6","±0.2","(X)","(X)","4.8","±0.1","(X)","(X)"
"BEDROOMS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total housing units","2,208,030","±227","2,208,030","(X)","308,571","±146","308,571","(X)","2,909,336","±295","2,909,336","(X)","1,341,081","±220","1,341,081","(X)","13,901,594","±650","13,901,594","(X)","2,276,280","±400","2,276,280","(X)","1,493,632","±200","1,493,632","(X)","417,413","±177","417,413","(X)","306,184","±59","306,184","(X)","9,144,650","±525","9,144,650","(X)","4,151,387","±330","4,151,387","(X)","530,118","±111","530,118","(X)","685,098","±193","685,098","(X)","5,307,508","±476","5,307,508","(X)","2,829,630","±369","2,829,630","(X)","1,362,034","±268","1,362,034","(X)","1,248,861","±282","1,248,861","(X)","1,950,504","±332","1,950,504","(X)","2,011,037","±311","2,011,037","(X)","727,693","±371","727,693","(X)","2,422,317","±480","2,422,317","(X)","2,828,592","±282","2,828,592","(X)","4,540,088","±421","4,540,088","(X)","2,385,261","±807","2,385,261","(X)","1,294,738","±248","1,294,738","(X)","2,735,803","±422","2,735,803","(X)","491,515","±177","491,515","(X)","814,957","±401","814,957","(X)","1,198,969","±113","1,198,969","(X)","619,865","±149","619,865","(X)","3,591,847","±406","3,591,847","(X)","912,910","±247","912,910","(X)","8,191,528","±847","8,191,528","(X)","4,452,464","±373","4,452,464","(X)","350,534","±369","350,534","(X)","5,147,282","±631","5,147,282","(X)","1,699,556","±314","1,699,556","(X)","1,700,611","±190","1,700,611","(X)","5,590,712","±960","5,590,712","(X)","462,630","±91","462,630","(X)","2,188,258","±405","2,188,258","(X)","376,347","±206","376,347","(X)","2,869,419","±337","2,869,419","(X)","10,426,760","±740","10,426,760","(X)","1,022,593","±149","1,022,593","(X)","325,774","±97","325,774","(X)","3,446,585","±488","3,446,585","(X)","2,963,293","±257","2,963,293","(X)","884,574","±231","884,574","(X)","2,648,342","±755","2,648,342","(X)","268,205","±116","268,205","(X)","1,571,275","±7,659","1,571,275","(X)"
"        No bedroom","22,240","±2,301","1.0%","±0.1","20,373","±1,669","6.6%","±0.5","70,262","±4,249","2.4%","±0.1","20,912","±2,570","1.6%","±0.2","497,513","±10,294","3.6%","±0.1","48,853","±3,679","2.1%","±0.2","28,027","±2,720","1.9%","±0.2","3,545","±925","0.8%","±0.2","24,386","±2,848","8.0%","±0.9","171,229","±6,620","1.9%","±0.1","55,210","±4,675","1.3%","±0.1","23,292","±2,249","4.4%","±0.4","13,153","±2,128","1.9%","±0.3","128,016","±6,087","2.4%","±0.1","40,732","±3,796","1.4%","±0.1","18,959","±2,201","1.4%","±0.2","24,503","±2,674","2.0%","±0.2","27,189","±2,613","1.4%","±0.1","29,631","±2,843","1.5%","±0.1","20,820","±2,023","2.9%","±0.3","29,077","±2,566","1.2%","±0.1","83,188","±4,807","2.9%","±0.2","58,777","±3,414","1.3%","±0.1","44,548","±3,548","1.9%","±0.1","21,660","±2,492","1.7%","±0.2","39,213","±3,216","1.4%","±0.1","13,719","±1,663","2.8%","±0.3","13,085","±1,733","1.6%","±0.2","34,214","±3,094","2.9%","±0.3","11,956","±1,711","1.9%","±0.3","95,055","±5,133","2.6%","±0.1","26,592","±3,102","2.9%","±0.3","355,630","±11,969","4.3%","±0.1","65,727","±3,727","1.5%","±0.1","6,628","±1,312","1.9%","±0.4","66,503","±4,816","1.3%","±0.1","28,520","±2,436","1.7%","±0.1","45,280","±3,593","2.7%","±0.2","108,059","±5,149","1.9%","±0.1","9,972","±1,620","2.2%","±0.3","26,140","±2,781","1.2%","±0.1","5,333","±1,196","1.4%","±0.3","33,877","±3,142","1.2%","±0.1","188,407","±7,038","1.8%","±0.1","15,688","±2,350","1.5%","±0.2","12,209","±1,739","3.7%","±0.5","51,728","±3,424","1.5%","±0.1","84,434","±5,659","2.8%","±0.2","22,224","±2,306","2.5%","±0.3","45,626","±3,648","1.7%","±0.1","4,418","±1,125","1.6%","±0.4","33,051","±2,744","2.1%","±0.2"
"        1 bedroom","134,624","±5,179","6.1%","±0.2","45,152","±3,045","14.6%","±1.0","335,257","±9,212","11.5%","±0.3","94,292","±5,023","7.0%","±0.4","1,954,552","±20,620","14.1%","±0.1","265,614","±7,213","11.7%","±0.3","189,475","±5,622","12.7%","±0.4","28,308","±2,451","6.8%","±0.6","99,945","±4,371","32.6%","±1.4","964,286","±14,771","10.5%","±0.2","312,909","±9,906","7.5%","±0.2","71,470","±3,233","13.5%","±0.6","50,502","±4,008","7.4%","±0.6","628,045","±11,465","11.8%","±0.2","266,083","±8,055","9.4%","±0.3","128,690","±4,677","9.4%","±0.3","120,356","±5,089","9.6%","±0.4","169,882","±6,545","8.7%","±0.3","175,600","±6,976","8.7%","±0.3","85,496","±3,617","11.7%","±0.5","256,464","±7,550","10.6%","±0.3","395,392","±8,353","14.0%","±0.3","425,050","±8,634","9.4%","±0.2","281,126","±6,513","11.8%","±0.3","77,023","±4,442","5.9%","±0.3","261,623","±7,319","9.6%","±0.3","52,117","±3,033","10.6%","±0.6","90,510","±3,279","11.1%","±0.4","136,190","±5,240","11.4%","±0.4","69,648","±3,631","11.2%","±0.6","504,917","±10,263","14.1%","±0.3","85,139","±4,208","9.3%","±0.5","1,620,286","±15,863","19.8%","±0.2","301,774","±8,694","6.8%","±0.2","38,724","±3,391","11.0%","±1.0","493,005","±9,608","9.6%","±0.2","152,996","±4,474","9.0%","±0.3","168,888","±6,279","9.9%","±0.4","581,504","±11,211","10.4%","±0.2","65,393","±4,092","14.1%","±0.9","125,169","±5,138","5.7%","±0.2","34,660","±2,101","9.2%","±0.6","224,962","±8,178","7.8%","±0.3","1,352,934","±20,437","13.0%","±0.2","72,207","±3,866","7.1%","±0.4","35,916","±2,613","11.0%","±0.8","292,346","±6,686","8.5%","±0.2","344,777","±8,649","11.6%","±0.3","61,918","±3,289","7.0%","±0.4","255,232","±6,029","9.6%","±0.2","25,561","±2,320","9.5%","±0.9","97,355","±3,644","6.2%","±0.2"
"        2 bedrooms","537,864","±9,429","24.4%","±0.4","80,387","±4,423","26.1%","±1.4","797,601","±11,973","27.4%","±0.4","372,970","±7,549","27.8%","±0.6","3,917,124","±25,434","28.2%","±0.2","577,835","±10,957","25.4%","±0.5","402,400","±8,932","26.9%","±0.6","91,156","±4,298","21.8%","±1.0","83,976","±3,767","27.4%","±1.2","3,103,469","±22,858","33.9%","±0.3","951,687","±14,350","22.9%","±0.3","146,102","±4,543","27.6%","±0.9","165,837","±5,490","24.2%","±0.8","1,536,103","±15,568","28.9%","±0.3","743,674","±10,593","26.3%","±0.4","381,423","±7,388","28.0%","±0.5","330,080","±7,069","26.4%","±0.6","535,928","±9,928","27.5%","±0.5","511,443","±9,365","25.4%","±0.5","226,320","±5,165","31.1%","±0.7","538,204","±8,855","22.2%","±0.4","798,644","±10,610","28.2%","±0.4","1,188,034","±12,940","26.2%","±0.3","623,354","±8,343","26.1%","±0.3","289,825","±7,909","22.4%","±0.6","760,161","±12,703","27.8%","±0.5","136,370","±4,409","27.7%","±0.9","213,755","±5,561","26.2%","±0.7","313,858","±7,890","26.2%","±0.7","187,571","±5,781","30.3%","±0.9","942,133","±10,807","26.2%","±0.3","227,735","±5,165","24.9%","±0.6","2,201,386","±17,448","26.9%","±0.2","1,169,357","±15,305","26.3%","±0.3","101,113","±3,823","28.8%","±1.1","1,355,373","±14,981","26.3%","±0.3","420,611","±7,027","24.7%","±0.4","481,707","±8,520","28.3%","±0.5","1,294,005","±14,532","23.1%","±0.3","136,793","±5,343","29.6%","±1.2","561,238","±10,741","25.6%","±0.5","104,253","±3,301","27.7%","±0.9","760,200","±11,085","26.5%","±0.4","2,418,140","±22,985","23.2%","±0.2","204,839","±5,782","20.0%","±0.6","85,835","±2,837","26.3%","±0.9","812,646","±12,939","23.6%","±0.4","771,567","±11,080","26.0%","±0.4","244,816","±7,441","27.7%","±0.8","765,326","±9,395","28.9%","±0.4","68,365","±3,364","25.5%","±1.3","335,411","±8,082","21.3%","±0.5"
"        3 bedrooms","1,091,915","±13,255","49.5%","±0.6","103,631","±3,572","33.6%","±1.2","1,067,035","±14,729","36.7%","±0.5","666,752","±8,321","49.7%","±0.6","4,612,793","±24,764","33.2%","±0.2","762,850","±13,692","33.5%","±0.6","547,845","±9,535","36.7%","±0.6","186,871","±5,088","44.8%","±1.2","60,529","±3,429","19.8%","±1.1","3,503,664","±22,441","38.3%","±0.2","1,796,763","±17,892","43.3%","±0.4","187,713","±5,412","35.4%","±1.0","273,944","±7,022","40.0%","±1.0","1,947,579","±17,011","36.7%","±0.3","1,236,171","±12,861","43.7%","±0.5","524,639","±7,528","38.5%","±0.6","465,107","±8,319","37.2%","±0.7","871,510","±10,418","44.7%","±0.5","969,391","±10,860","48.2%","±0.5","274,643","±5,376","37.7%","±0.7","913,348","±11,068","37.7%","±0.5","980,009","±12,718","34.6%","±0.4","1,982,458","±13,914","43.7%","±0.3","807,801","±10,506","33.9%","±0.4","690,113","±9,647","53.3%","±0.7","1,149,217","±11,947","42.0%","±0.4","179,542","±4,479","36.5%","±0.9","304,198","±4,843","37.3%","±0.6","462,867","±7,373","38.6%","±0.6","238,691","±6,643","38.5%","±1.1","1,172,678","±13,801","32.6%","±0.4","422,885","±6,772","46.3%","±0.7","2,585,891","±18,038","31.6%","±0.2","2,098,452","±17,604","47.1%","±0.4","113,560","±3,933","32.4%","±1.1","2,192,719","±14,696","42.6%","±0.3","835,761","±7,895","49.2%","±0.5","710,909","±8,812","41.8%","±0.5","2,419,417","±17,303","43.3%","±0.3","179,567","±5,309","38.8%","±1.1","1,062,670","±10,791","48.6%","±0.5","129,313","±3,650","34.4%","±1.0","1,339,518","±12,839","46.7%","±0.4","4,301,115","±26,282","41.3%","±0.3","305,923","±7,376","29.9%","±0.7","127,365","±3,595","39.1%","±1.1","1,368,417","±12,989","39.7%","±0.4","1,125,083","±11,378","38.0%","±0.4","419,387","±8,806","47.4%","±1.0","1,092,147","±9,167","41.2%","±0.3","101,601","±4,293","37.9%","±1.6","867,923","±10,623","55.2%","±0.6"
"        4 bedrooms","342,062","±9,552","15.5%","±0.4","46,321","±2,803","15.0%","±0.9","516,281","±9,086","17.7%","±0.3","155,268","±5,878","11.6%","±0.4","2,310,390","±20,251","16.6%","±0.1","440,620","±8,263","19.4%","±0.4","255,759","±6,450","17.1%","±0.4","88,028","±3,840","21.1%","±0.9","25,200","±1,972","8.2%","±0.6","1,167,354","±15,560","12.8%","±0.2","762,498","±13,530","18.4%","±0.3","69,783","±2,659","13.2%","±0.5","125,327","±4,583","18.3%","±0.7","843,668","±11,437","15.9%","±0.2","438,105","±8,695","15.5%","±0.3","238,602","±5,078","17.5%","±0.4","232,246","±5,154","18.6%","±0.4","274,965","±7,053","14.1%","±0.4","281,904","±7,851","14.0%","±0.4","93,744","±4,281","12.9%","±0.6","507,198","±9,404","20.9%","±0.4","444,303","±8,826","15.7%","±0.3","728,568","±10,272","16.0%","±0.2","477,637","±7,180","20.0%","±0.3","186,775","±6,112","14.4%","±0.5","417,478","±7,937","15.3%","±0.3","79,963","±3,915","16.3%","±0.8","145,514","±3,854","17.9%","±0.5","199,882","±5,574","16.7%","±0.5","90,898","±4,232","14.7%","±0.7","678,694","±10,221","18.9%","±0.3","128,943","±4,873","14.1%","±0.5","1,076,946","±12,839","13.1%","±0.2","649,772","±10,742","14.6%","±0.2","63,032","±3,151","18.0%","±0.9","867,910","±11,368","16.9%","±0.2","226,516","±6,279","13.3%","±0.4","235,088","±7,033","13.8%","±0.4","954,833","±10,440","17.1%","±0.2","54,471","±3,503","11.8%","±0.8","335,878","±7,844","15.3%","±0.4","74,185","±3,985","19.7%","±1.1","408,975","±9,042","14.3%","±0.3","1,810,278","±22,004","17.4%","±0.2","216,563","±5,991","21.2%","±0.6","48,783","±2,445","15.0%","±0.8","694,704","±9,289","20.2%","±0.3","499,415","±8,525","16.9%","±0.3","110,639","±4,566","12.5%","±0.5","390,780","±6,812","14.8%","±0.3","48,441","±2,374","18.1%","±0.9","201,946","±5,719","12.9%","±0.4"
"        5 or more bedrooms","79,325","±4,297","3.6%","±0.2","12,707","±1,473","4.1%","±0.5","122,900","±5,613","4.2%","±0.2","30,887","±2,971","2.3%","±0.2","609,222","±10,550","4.4%","±0.1","180,508","±5,936","7.9%","±0.3","70,126","±3,716","4.7%","±0.2","19,505","±1,919","4.7%","±0.5","12,148","±1,523","4.0%","±0.5","234,648","±8,324","2.6%","±0.1","272,320","±10,463","6.6%","±0.3","31,758","±2,576","6.0%","±0.5","56,335","±3,813","8.2%","±0.6","224,097","±6,282","4.2%","±0.1","104,865","±4,792","3.7%","±0.2","69,721","±3,675","5.1%","±0.3","76,569","±3,824","6.1%","±0.3","71,030","±4,021","3.6%","±0.2","43,068","±3,551","2.1%","±0.2","26,670","±2,320","3.7%","±0.3","178,026","±5,197","7.3%","±0.2","127,056","±5,577","4.5%","±0.2","157,201","±4,352","3.5%","±0.1","150,795","±4,701","6.3%","±0.2","29,342","±2,267","2.3%","±0.2","108,111","±3,928","4.0%","±0.1","29,804","±1,920","6.1%","±0.4","47,895","±2,644","5.9%","±0.3","51,958","±3,215","4.3%","±0.3","21,101","±1,954","3.4%","±0.3","198,370","±6,413","5.5%","±0.2","21,616","±2,354","2.4%","±0.3","351,389","±7,106","4.3%","±0.1","167,382","±6,167","3.8%","±0.1","27,477","±2,515","7.8%","±0.7","171,772","±5,660","3.3%","±0.1","35,152","±1,861","2.1%","±0.1","58,739","±3,503","3.5%","±0.2","232,894","±5,442","4.2%","±0.1","16,434","±1,967","3.6%","±0.4","77,163","±4,679","3.5%","±0.2","28,603","±1,940","7.6%","±0.5","101,887","±4,830","3.6%","±0.2","355,886","±10,306","3.4%","±0.1","207,373","±5,569","20.3%","±0.5","15,666","±1,511","4.8%","±0.5","226,744","±5,932","6.6%","±0.2","138,017","±5,218","4.7%","±0.2","25,590","±2,246","2.9%","±0.3","99,231","±3,978","3.7%","±0.2","19,819","±1,971","7.4%","±0.7","35,589","±2,926","2.3%","±0.2"
"HOUSING TENURE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
