"","Alabama","","","","Alaska","","","","Arizona","","","","Arkansas","","","","California","","","","Colorado","","","","Connecticut","","","","Delaware","","","","District of Columbia","","","","Florida","","","","Georgia","","","","Hawaii","","","","Idaho","","","","Illinois","","","","Indiana","","","","Iowa","","","","Kansas","","","","Kentucky","","","","Louisiana","","","","Maine","","","","Maryland","","","","Massachusetts","","","","Michigan","","","","Minnesota","","","","Mississippi","","","","Missouri","","","","Montana","","","","Nebraska","","","","Nevada","","","","New Hampshire","","","","New Jersey","","","","New Mexico","","","","New York","","","","North Carolina","","","","North Dakota","","","","Ohio","","","","Oklahoma","","","","Oregon","","","","Pennsylvania","","","","Rhode Island","","","","South Carolina","","","","South Dakota","","","","Tennessee","","","","Texas","","","","Utah","","","","Vermont","","","","Virginia","","","","Washington","","","","West Virginia","","","","Wisconsin","","","","Wyoming","","","","Puerto Rico","","",""
"Label (Grouping)","Alabama!!Estimate","Alabama!!Margin of Error","Alabama!!Percent","Alabama!!Percent Margin of Error","Alaska!!Estimate","Alaska!!Margin of Error","Alaska!!Percent","Alaska!!Percent Margin of Error","Arizona!!Estimate","Arizona!!Margin of Error","Arizona!!Percent","Arizona!!Percent Margin of Error","Arkansas!!Estimate","Arkansas!!Margin of Error","Arkansas!!Percent","Arkansas!!Percent Margin of Error","California!!Estimate","California!!Margin of Error","California!!Percent","California!!Percent Margin of Error","Colorado!!Estimate","Colorado!!Margin of Error","Colorado!!Percent","Colorado!!Percent Margin of Error","Connecticut!!Estimate","Connecticut!!Margin of Error","Connecticut!!Percent","Connecticut!!Percent Margin of Error","Delaware!!Estimate","Delaware!!Margin of Error","Delaware!!Percent","Delaware!!Percent Margin of Error","District of Columbia!!Estimate","District of Columbia!!Margin of Error","District of Columbia!!Percent","District of Columbia!!Percent Margin of Error","Florida!!Estimate","Florida!!Margin of Error","Florida!!Percent","Florida!!Percent Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Georgia!!Percent","Georgia!!Percent Margin of Error","Hawaii!!Estimate","Hawaii!!Margin of Error","Hawaii!!Percent","Hawaii!!Percent Margin of Error","Idaho!!Estimate","Idaho!!Margin of Error","Idaho!!Percent","Idaho!!Percent Margin of Error","Illinois!!Estimate","Illinois!!Margin of Error","Illinois!!Percent","Illinois!!Percent Margin of Error","Indiana!!Estimate","Indiana!!Margin of Error","Indiana!!Percent","Indiana!!Percent Margin of Error","Iowa!!Estimate","Iowa!!Margin of Error","Iowa!!Percent","Iowa!!Percent Margin of Error","Kansas!!Estimate","Kansas!!Margin of Error","Kansas!!Percent","Kansas!!Percent Margin of Error","Kentucky!!Estimate","Kentucky!!Margin of Error","Kentucky!!Percent","Kentucky!!Percent Margin of Error","Louisiana!!Estimate","Louisiana!!Margin of Error","Louisiana!!Percent","Louisiana!!Percent Margin of Error","Maine!!Estimate","Maine!!Margin of Error","Maine!!Percent","Maine!!Percent Margin of Error","Maryland!!Estimate","Maryland!!Margin of Error","Maryland!!Percent","Maryland!!Percent Margin of Error","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","Michigan!!Estimate","Michigan!!Margin of Error","Michigan!!Percent","Michigan!!Percent Margin of Error","Minnesota!!Estimate","Minnesota!!Margin of Error","Minnesota!!Percent","Minnesota!!Percent Margin of Error","Mississippi!!Estimate","Mississippi!!Margin of Error","Mississippi!!Percent","Mississippi!!Percent Margin of Error","Missouri!!Estimate","Missouri!!Margin of Error","Missouri!!Percent","Missouri!!Percent Margin of Error","Montana!!Estimate","Montana!!Margin of Error","Montana!!Percent","Montana!!Percent Margin of Error","Nebraska!!Estimate","Nebraska!!Margin of Error","Nebraska!!Percent","Nebraska!!Percent Margin of Error","Nevada!!Estimate","Nevada!!Margin of Error","Nevada!!Percent","Nevada!!Percent Margin of Error","New Hampshire!!Estimate","New Hampshire!!Margin of Error","New Hampshire!!Percent","New Hampshire!!Percent Margin of Error","New Jersey!!Estimate","New Jersey!!Margin of Error","New Jersey!!Percent","New Jersey!!Percent Margin of Error","New Mexico!!Estimate","New Mexico!!Margin of Error","New Mexico!!Percent","New Mexico!!Percent Margin of Error","New York!!Estimate","New York!!Margin of Error","New York!!Percent","New York!!Percent Margin of Error","North Carolina!!Estimate","North Carolina!!Margin of Error","North Carolina!!Percent","North Carolina!!Percent Margin of Error","North Dakota!!Estimate","North Dakota!!Margin of Error","North Dakota!!Percent","North Dakota!!Percent Margin of Error","Ohio!!Estimate","Ohio!!Margin of Error","Ohio!!Percent","Ohio!!Percent Margin of Error","Oklahoma!!Estimate","Oklahoma!!Margin of Error","Oklahoma!!Percent","Oklahoma!!Percent Margin of Error","Oregon!!Estimate","Oregon!!Margin of Error","Oregon!!Percent","Oregon!!Percent Margin of Error","Pennsylvania!!Estimate","Pennsylvania!!Margin of Error","Pennsylvania!!Percent","Pennsylvania!!Percent Margin of Error","Rhode Island!!Estimate","Rhode Island!!Margin of Error","Rhode Island!!Percent","Rhode Island!!Percent Margin of Error","South Carolina!!Estimate","South Carolina!!Margin of Error","South Carolina!!Percent","South Carolina!!Percent Margin of Error","South Dakota!!Estimate","South Dakota!!Margin of Error","South Dakota!!Percent","South Dakota!!Percent Margin of Error","Tennessee!!Estimate","Tennessee!!Margin of Error","Tennessee!!Percent","Tennessee!!Percent Margin of Error","Texas!!Estimate","Texas!!Margin of Error","Texas!!Percent","Texas!!Percent Margin of Error","Utah!!Estimate","Utah!!Margin of Error","Utah!!Percent","Utah!!Percent Margin of Error","Vermont!!Estimate","Vermont!!Margin of Error","Vermont!!Percent","Vermont!!Percent Margin of Error","Virginia!!Estimate","Virginia!!Margin of Error","Virginia!!Percent","Virginia!!Percent Margin of Error","Washington!!Estimate","Washington!!Margin of Error","Washington!!Percent","Washington!!Percent Margin of Error","West Virginia!!Estimate","West Virginia!!Margin of Error","West Virginia!!Percent","West Virginia!!Percent Margin of Error","Wisconsin!!Estimate","Wisconsin!!Margin of Error","Wisconsin!!Percent","Wisconsin!!Percent Margin of Error","Wyoming!!Estimate","Wyoming!!Margin of Error","Wyoming!!Percent","Wyoming!!Percent Margin of Error","Puerto Rico!!Estimate","Puerto Rico!!Margin of Error","Puerto Rico!!Percent","Puerto Rico!!Percent Margin of Error"
"HOUSING OCCUPANCY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total housing units","2,208,030","±227","2,208,030","(X)","308,571","±146","308,571","(X)","2,909,336","±295","2,909,336","(X)","1,341,081","±220","1,341,081","(X)","13,901,594","±650","13,901,594","(X)","2,276,280","±400","2,276,280","(X)","1,493,632","±200","1,493,632","(X)","417,413","±177","417,413","(X)","306,184","±59","306,184","(X)","9,144,650","±525","9,144,650","(X)","4,151,387","±330","4,151,387","(X)","530,118","±111","530,118","(X)","685,098","±193","685,098","(X)","5,307,508","±476","5,307,508","(X)","2,829,630","±369","2,829,630","(X)","1,362,034","±268","1,362,034","(X)","1,248,861","±282","1,248,861","(X)","1,950,504","±332","1,950,504","(X)","2,011,037","±311","2,011,037","(X)","727,693","±371","727,693","(X)","2,422,317","±480","2,422,317","(X)","2,828,592","±282","2,828,592","(X)","4,540,088","±421","4,540,088","(X)","2,385,261","±807","2,385,261","(X)","1,294,738","±248","1,294,738","(X)","2,735,803","±422","2,735,803","(X)","491,515","±177","491,515","(X)","814,957","±401","814,957","(X)","1,198,969","±113","1,198,969","(X)","619,865","±149","619,865","(X)","3,591,847","±406","3,591,847","(X)","912,910","±247","912,910","(X)","8,191,528","±847","8,191,528","(X)","4,452,464","±373","4,452,464","(X)","350,534","±369","350,534","(X)","5,147,282","±631","5,147,282","(X)","1,699,556","±314","1,699,556","(X)","1,700,611","±190","1,700,611","(X)","5,590,712","±960","5,590,712","(X)","462,630","±91","462,630","(X)","2,188,258","±405","2,188,258","(X)","376,347","±206","376,347","(X)","2,869,419","±337","2,869,419","(X)","10,426,760","±740","10,426,760","(X)","1,022,593","±149","1,022,593","(X)","325,774","±97","325,774","(X)","3,446,585","±488","3,446,585","(X)","2,963,293","±257","2,963,293","(X)","884,574","±231","884,574","(X)","2,648,342","±755","2,648,342","(X)","268,205","±116","268,205","(X)","1,571,275","±7,659","1,571,275","(X)"
"        Occupied housing units","1,841,217","±10,615","83.4%","±0.5","249,659","±2,978","80.9%","±1.0","2,428,743","±11,353","83.5%","±0.4","1,131,288","±8,373","84.4%","±0.6","12,758,648","±18,835","91.8%","±0.1","2,039,592","±7,530","89.6%","±0.3","1,355,817","±6,673","90.8%","±0.4","349,743","±3,705","83.8%","±0.9","277,378","±3,304","90.6%","±1.1","7,328,046","±25,793","80.1%","±0.3","3,587,521","±13,961","86.4%","±0.3","450,769","±4,870","85.0%","±0.9","591,587","±4,733","86.4%","±0.7","4,772,421","±12,392","89.9%","±0.2","2,502,739","±10,912","88.4%","±0.4","1,241,471","±6,257","91.1%","±0.5","1,109,280","±6,429","88.8%","±0.5","1,712,094","±8,632","87.8%","±0.4","1,718,194","±10,232","85.4%","±0.5","549,841","±5,205","75.6%","±0.7","2,165,438","±8,230","89.4%","±0.3","2,549,336","±9,145","90.1%","±0.3","3,834,574","±12,574","84.5%","±0.3","2,129,195","±6,975","89.3%","±0.3","1,095,823","±8,793","84.6%","±0.7","2,354,809","±12,290","86.1%","±0.4","410,962","±3,391","83.6%","±0.7","740,765","±3,795","90.9%","±0.5","1,021,519","±6,553","85.2%","±0.5","519,756","±4,605","83.8%","±0.7","3,194,844","±10,719","88.9%","±0.3","760,916","±6,897","83.4%","±0.7","7,282,398","±15,877","88.9%","±0.2","3,790,620","±14,716","85.1%","±0.3","305,431","±3,533","87.1%","±1.0","4,593,172","±13,994","89.2%","±0.3","1,459,759","±5,575","85.9%","±0.3","1,535,511","±6,674","90.3%","±0.4","4,945,972","±12,878","88.5%","±0.2","409,654","±3,327","88.5%","±0.7","1,826,914","±10,151","83.5%","±0.5","334,475","±2,656","88.9%","±0.7","2,509,665","±11,315","87.5%","±0.4","9,277,197","±22,719","89.0%","±0.2","918,370","±4,666","89.8%","±0.5","257,229","±3,177","79.0%","±1.0","3,083,820","±12,955","89.5%","±0.4","2,679,601","±9,916","90.4%","±0.3","735,375","±6,298","83.1%","±0.7","2,307,685","±7,753","87.1%","±0.3","232,594","±2,987","86.7%","±1.1","1,233,490","±9,061","78.5%","±0.5"
"        Vacant housing units","366,813","±10,646","16.6%","±0.5","58,912","±2,960","19.1%","±1.0","480,593","±11,310","16.5%","±0.4","209,793","±8,405","15.6%","±0.6","1,142,946","±18,835","8.2%","±0.1","236,688","±7,567","10.4%","±0.3","137,815","±6,706","9.2%","±0.4","67,670","±3,698","16.2%","±0.9","28,806","±3,308","9.4%","±1.1","1,816,604","±25,702","19.9%","±0.3","563,866","±14,031","13.6%","±0.3","79,349","±4,887","15.0%","±0.9","93,511","±4,688","13.6%","±0.7","535,087","±12,509","10.1%","±0.2","326,891","±11,030","11.6%","±0.4","120,563","±6,170","8.9%","±0.5","139,581","±6,465","11.2%","±0.5","238,410","±8,782","12.2%","±0.4","292,843","±10,308","14.6%","±0.5","177,852","±5,330","24.4%","±0.7","256,879","±8,262","10.6%","±0.3","279,256","±9,141","9.9%","±0.3","705,514","±12,677","15.5%","±0.3","256,066","±7,001","10.7%","±0.3","198,915","±8,791","15.4%","±0.7","380,994","±12,252","13.9%","±0.4","80,553","±3,384","16.4%","±0.7","74,192","±3,935","9.1%","±0.5","177,450","±6,571","14.8%","±0.5","100,109","±4,625","16.2%","±0.7","397,003","±10,801","11.1%","±0.3","151,994","±6,835","16.6%","±0.7","909,130","±15,813","11.1%","±0.2","661,844","±14,677","14.9%","±0.3","45,103","±3,616","12.9%","±1.0","554,110","±14,203","10.8%","±0.3","239,797","±5,613","14.1%","±0.3","165,100","±6,672","9.7%","±0.4","644,740","±13,083","11.5%","±0.2","52,976","±3,338","11.5%","±0.7","361,344","±10,246","16.5%","±0.5","41,872","±2,715","11.1%","±0.7","359,754","±11,284","12.5%","±0.4","1,149,563","±22,891","11.0%","±0.2","104,223","±4,662","10.2%","±0.5","68,545","±3,169","21.0%","±1.0","362,765","±13,025","10.5%","±0.4","283,692","±9,927","9.6%","±0.3","149,199","±6,282","16.9%","±0.7","340,657","±7,948","12.9%","±0.3","35,611","±2,983","13.3%","±1.1","337,785","±7,438","21.5%","±0.5"
"    Homeowner vacancy rate","2.5","±0.3","(X)","(X)","1.9","±0.5","(X)","(X)","2.9","±0.3","(X)","(X)","2.9","±0.4","(X)","(X)","1.3","±0.1","(X)","(X)","1.5","±0.2","(X)","(X)","1.8","±0.3","(X)","(X)","2.1","±0.5","(X)","(X)","1.7","±0.9","(X)","(X)","2.6","±0.2","(X)","(X)","2.3","±0.2","(X)","(X)","1.1","±0.3","(X)","(X)","2.1","±0.5","(X)","(X)","2.2","±0.2","(X)","(X)","2.3","±0.2","(X)","(X)","1.7","±0.3","(X)","(X)","1.8","±0.3","(X)","(X)","1.9","±0.2","(X)","(X)","2.0","±0.3","(X)","(X)","1.8","±0.4","(X)","(X)","1.6","±0.2","(X)","(X)","1.3","±0.2","(X)","(X)","2.0","±0.1","(X)","(X)","1.2","±0.1","(X)","(X)","2.0","±0.3","(X)","(X)","2.2","±0.3","(X)","(X)","1.6","±0.4","(X)","(X)","1.2","±0.2","(X)","(X)","2.2","±0.4","(X)","(X)","1.4","±0.4","(X)","(X)","1.8","±0.2","(X)","(X)","2.5","±0.4","(X)","(X)","1.8","±0.1","(X)","(X)","2.2","±0.2","(X)","(X)","1.1","±0.4","(X)","(X)","1.8","±0.2","(X)","(X)","2.1","±0.2","(X)","(X)","1.5","±0.2","(X)","(X)","1.6","±0.1","(X)","(X)","1.8","±0.5","(X)","(X)","2.3","±0.3","(X)","(X)","1.8","±0.5","(X)","(X)","1.9","±0.2","(X)","(X)","1.6","±0.1","(X)","(X)","1.6","±0.3","(X)","(X)","2.2","±0.5","(X)","(X)","1.8","±0.2","(X)","(X)","1.7","±0.2","(X)","(X)","1.9","±0.3","(X)","(X)","1.9","±0.2","(X)","(X)","1.7","±0.6","(X)","(X)","4.2","±0.3","(X)","(X)"
"    Rental vacancy rate","10.4","±0.6","(X)","(X)","5.9","±1.1","(X)","(X)","8.1","±0.5","(X)","(X)","9.6","±0.8","(X)","(X)","3.9","±0.2","(X)","(X)","4.9","±0.5","(X)","(X)","6.7","±0.7","(X)","(X)","7.1","±1.3","(X)","(X)","5.4","±1.1","(X)","(X)","8.7","±0.4","(X)","(X)","8.2","±0.4","(X)","(X)","9.5","±1.1","(X)","(X)","5.2","±1.0","(X)","(X)","6.5","±0.3","(X)","(X)","8.1","±0.6","(X)","(X)","5.5","±0.6","(X)","(X)","8.5","±0.9","(X)","(X)","6.2","±0.6","(X)","(X)","8.4","±0.7","(X)","(X)","7.1","±1.1","(X)","(X)","6.8","±0.5","(X)","(X)","4.0","±0.4","(X)","(X)","5.9","±0.3","(X)","(X)","4.5","±0.5","(X)","(X)","9.1","±0.9","(X)","(X)","7.2","±0.6","(X)","(X)","6.1","±1.2","(X)","(X)","5.8","±0.8","(X)","(X)","8.4","±0.7","(X)","(X)","5.2","±1.0","(X)","(X)","6.1","±0.3","(X)","(X)","8.4","±1.1","(X)","(X)","4.3","±0.2","(X)","(X)","7.3","±0.4","(X)","(X)","6.4","±1.4","(X)","(X)","6.3","±0.3","(X)","(X)","8.1","±0.5","(X)","(X)","3.6","±0.4","(X)","(X)","6.4","±0.4","(X)","(X)","6.2","±0.9","(X)","(X)","10.5","±0.8","(X)","(X)","5.0","±1.1","(X)","(X)","7.2","±0.5","(X)","(X)","7.3","±0.3","(X)","(X)","5.3","±0.8","(X)","(X)","4.1","±1.2","(X)","(X)","5.8","±0.4","(X)","(X)","4.2","±0.4","(X)","(X)","8.9","±1.1","(X)","(X)","4.6","±0.4","(X)","(X)","6.9","±1.8","(X)","(X)","9.2","±0.7","(X)","(X)"
"UNITS IN STRUCTURE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total housing units","2,208,030","±227","2,208,030","(X)","308,571","±146","308,571","(X)","2,909,336","±295","2,909,336","(X)","1,341,081","±220","1,341,081","(X)","13,901,594","±650","13,901,594","(X)","2,276,280","±400","2,276,280","(X)","1,493,632","±200","1,493,632","(X)","417,413","±177","417,413","(X)","306,184","±59","306,184","(X)","9,144,650","±525","9,144,650","(X)","4,151,387","±330","4,151,387","(X)","530,118","±111","530,118","(X)","685,098","±193","685,098","(X)","5,307,508","±476","5,307,508","(X)","2,829,630","±369","2,829,630","(X)","1,362,034","±268","1,362,034","(X)","1,248,861","±282","1,248,861","(X)","1,950,504","±332","1,950,504","(X)","2,011,037","±311","2,011,037","(X)","727,693","±371","727,693","(X)","2,422,317","±480","2,422,317","(X)","2,828,592","±282","2,828,592","(X)","4,540,088","±421","4,540,088","(X)","2,385,261","±807","2,385,261","(X)","1,294,738","±248","1,294,738","(X)","2,735,803","±422","2,735,803","(X)","491,515","±177","491,515","(X)","814,957","±401","814,957","(X)","1,198,969","±113","1,198,969","(X)","619,865","±149","619,865","(X)","3,591,847","±406","3,591,847","(X)","912,910","±247","912,910","(X)","8,191,528","±847","8,191,528","(X)","4,452,464","±373","4,452,464","(X)","350,534","±369","350,534","(X)","5,147,282","±631","5,147,282","(X)","1,699,556","±314","1,699,556","(X)","1,700,611","±190","1,700,611","(X)","5,590,712","±960","5,590,712","(X)","462,630","±91","462,630","(X)","2,188,258","±405","2,188,258","(X)","376,347","±206","376,347","(X)","2,869,419","±337","2,869,419","(X)","10,426,760","±740","10,426,760","(X)","1,022,593","±149","1,022,593","(X)","325,774","±97","325,774","(X)","3,446,585","±488","3,446,585","(X)","2,963,293","±257","2,963,293","(X)","884,574","±231","884,574","(X)","2,648,342","±755","2,648,342","(X)","268,205","±116","268,205","(X)","1,571,275","±7,659","1,571,275","(X)"
"        1-unit, detached","1,507,498","±10,210","68.3%","±0.5","191,314","±4,219","62.0%","±1.4","1,850,308","±11,286","63.6%","±0.4","938,125","±8,945","70.0%","±0.7","8,067,344","±24,136","58.0%","±0.2","1,421,189","±10,657","62.4%","±0.5","879,735","±8,243","58.9%","±0.6","246,575","±4,446","59.1%","±1.1","35,141","±2,394","11.5%","±0.8","4,932,149","±21,418","53.9%","±0.2","2,756,266","±15,174","66.4%","±0.4","281,159","±3,798","53.0%","±0.7","498,957","±6,321","72.8%","±0.9","3,112,920","±14,727","58.7%","±0.3","2,051,614","±10,111","72.5%","±0.4","1,006,162","±6,307","73.9%","±0.5","910,937","±6,968","72.9%","±0.6","1,304,912","±10,571","66.9%","±0.5","1,308,347","±10,503","65.1%","±0.5","505,963","±5,892","69.5%","±0.8","1,240,633","±9,880","51.2%","±0.4","1,473,397","±10,820","52.1%","±0.4","3,270,743","±13,267","72.0%","±0.3","1,606,205","±9,834","67.3%","±0.4","898,063","±8,792","69.4%","±0.7","1,920,201","±11,747","70.2%","±0.4","338,252","±4,147","68.8%","±0.8","589,216","±4,432","72.3%","±0.6","709,211","±6,145","59.2%","±0.5","388,574","±5,280","62.7%","±0.9","1,914,624","±10,837","53.3%","±0.3","594,708","±6,775","65.1%","±0.7","3,408,433","±14,340","41.6%","±0.2","2,893,953","±14,939","65.0%","±0.3","207,794","±4,178","59.3%","±1.2","3,526,577","±14,161","68.5%","±0.3","1,234,457","±7,202","72.6%","±0.4","1,078,242","±8,709","63.4%","±0.5","3,193,588","±14,949","57.1%","±0.3","252,545","±4,586","54.6%","±1.0","1,362,445","±11,461","62.3%","±0.5","260,666","±4,210","69.3%","±1.1","1,967,481","±13,560","68.6%","±0.5","6,773,818","±21,673","65.0%","±0.2","704,948","±4,909","68.9%","±0.5","215,109","±3,512","66.0%","±1.1","2,122,586","±11,484","61.6%","±0.3","1,880,649","±13,052","63.5%","±0.4","621,020","±6,530","70.2%","±0.7","1,761,480","±10,275","66.5%","±0.4","175,667","±3,661","65.5%","±1.4","1,040,747","±7,746","66.2%","±0.5"
