"","Alabama","","","","Alaska","","","","Arizona","","","","Arkansas","","","","California","","","","Colorado","","","","Connecticut","","","","Delaware","","","","District of Columbia","","","","Florida","","","","Georgia","","","","Hawaii","","","","Idaho","","","","Illinois","","","","Indiana","","","","Iowa","","","","Kansas","","","","Kentucky","","","","Louisiana","","","","Maine","","","","Maryland","","","","Massachusetts","","","","Michigan","","","","Minnesota","","","","Mississippi","","","","Missouri","","","","Montana","","","","Nebraska","","","","Nevada","","","","New Hampshire","","","","New Jersey","","","","New Mexico","","","","New York","","","","North Carolina","","","","North Dakota","","","","Ohio","","","","Oklahoma","","","","Oregon","","","","Pennsylvania","","","","Rhode Island","","","","South Carolina","","","","South Dakota","","","","Tennessee","","","","Texas","","","","Utah","","","","Vermont","","","","Virginia","","","","Washington","","","","West Virginia","","","","Wisconsin","","","","Wyoming","","","","Puerto Rico","","",""
"Label (Grouping)","Alabama!!Estimate","Alabama!!Margin of Error","Alabama!!Percent","Alabama!!Percent Margin of Error","Alaska!!Estimate","Alaska!!Margin of Error","Alaska!!Percent","Alaska!!Percent Margin of Error","Arizona!!Estimate","Arizona!!Margin of Error","Arizona!!Percent","Arizona!!Percent Margin of Error","Arkansas!!Estimate","Arkansas!!Margin of Error","Arkansas!!Percent","Arkansas!!Percent Margin of Error","California!!Estimate","California!!Margin of Error","California!!Percent","California!!Percent Margin of Error","Colorado!!Estimate","Colorado!!Margin of Error","Colorado!!Percent","Colorado!!Percent Margin of Error","Connecticut!!Estimate","Connecticut!!Margin of Error","Connecticut!!Percent","Connecticut!!Percent Margin of Error","Delaware!!Estimate","Delaware!!Margin of Error","Delaware!!Percent","Delaware!!Percent Margin of Error","District of Columbia!!Estimate","District of Columbia!!Margin of Error","District of Columbia!!Percent","District of Columbia!!Percent Margin of Error","Florida!!Estimate","Florida!!Margin of Error","Florida!!Percent","Florida!!Percent Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Georgia!!Percent","Georgia!!Percent Margin of Error","Hawaii!!Estimate","Hawaii!!Margin of Error","Hawaii!!Percent","Hawaii!!Percent Margin of Error","Idaho!!Estimate","Idaho!!Margin of Error","Idaho!!Percent","Idaho!!Percent Margin of Error","Illinois!!Estimate","Illinois!!Margin of Error","Illinois!!Percent","Illinois!!Percent Margin of Error","Indiana!!Estimate","Indiana!!Margin of Error","Indiana!!Percent","Indiana!!Percent Margin of Error","Iowa!!Estimate","Iowa!!Margin of Error","Iowa!!Percent","Iowa!!Percent Margin of Error","Kansas!!Estimate","Kansas!!Margin of Error","Kansas!!Percent","Kansas!!Percent Margin of Error","Kentucky!!Estimate","Kentucky!!Margin of Error","Kentucky!!Percent","Kentucky!!Percent Margin of Error","Louisiana!!Estimate","Louisiana!!Margin of Error","Louisiana!!Percent","Louisiana!!Percent Margin of Error","Maine!!Estimate","Maine!!Margin of Error","Maine!!Percent","Maine!!Percent Margin of Error","Maryland!!Estimate","Maryland!!Margin of Error","Maryland!!Percent","Maryland!!Percent Margin of Error","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","Michigan!!Estimate","Michigan!!Margin of Error","Michigan!!Percent","Michigan!!Percent Margin of Error","Minnesota!!Estimate","Minnesota!!Margin of Error","Minnesota!!Percent","Minnesota!!Percent Margin of Error","Mississippi!!Estimate","Mississippi!!Margin of Error","Mississippi!!Percent","Mississippi!!Percent Margin of Error","Missouri!!Estimate","Missouri!!Margin of Error","Missouri!!Percent","Missouri!!Percent Margin of Error","Montana!!Estimate","Montana!!Margin of Error","Montana!!Percent","Montana!!Percent Margin of Error","Nebraska!!Estimate","Nebraska!!Margin of Error","Nebraska!!Percent","Nebraska!!Percent Margin of Error","Nevada!!Estimate","Nevada!!Margin of Error","Nevada!!Percent","Nevada!!Percent Margin of Error","New Hampshire!!Estimate","New Hampshire!!Margin of Error","New Hampshire!!Percent","New Hampshire!!Percent Margin of Error","New Jersey!!Estimate","New Jersey!!Margin of Error","New Jersey!!Percent","New Jersey!!Percent Margin of Error","New Mexico!!Estimate","New Mexico!!Margin of Error","New Mexico!!Percent","New Mexico!!Percent Margin of Error","New York!!Estimate","New York!!Margin of Error","New York!!Percent","New York!!Percent Margin of Error","North Carolina!!Estimate","North Carolina!!Margin of Error","North Carolina!!Percent","North Carolina!!Percent Margin of Error","North Dakota!!Estimate","North Dakota!!Margin of Error","North Dakota!!Percent","North Dakota!!Percent Margin of Error","Ohio!!Estimate","Ohio!!Margin of Error","Ohio!!Percent","Ohio!!Percent Margin of Error","Oklahoma!!Estimate","Oklahoma!!Margin of Error","Oklahoma!!Percent","Oklahoma!!Percent Margin of Error","Oregon!!Estimate","Oregon!!Margin of Error","Oregon!!Percent","Oregon!!Percent Margin of Error","Pennsylvania!!Estimate","Pennsylvania!!Margin of Error","Pennsylvania!!Percent","Pennsylvania!!Percent Margin of Error","Rhode Island!!Estimate","Rhode Island!!Margin of Error","Rhode Island!!Percent","Rhode Island!!Percent Margin of Error","South Carolina!!Estimate","South Carolina!!Margin of Error","South Carolina!!Percent","South Carolina!!Percent Margin of Error","South Dakota!!Estimate","South Dakota!!Margin of Error","South Dakota!!Percent","South Dakota!!Percent Margin of Error","Tennessee!!Estimate","Tennessee!!Margin of Error","Tennessee!!Percent","Tennessee!!Percent Margin of Error","Texas!!Estimate","Texas!!Margin of Error","Texas!!Percent","Texas!!Percent Margin of Error","Utah!!Estimate","Utah!!Margin of Error","Utah!!Percent","Utah!!Percent Margin of Error","Vermont!!Estimate","Vermont!!Margin of Error","Vermont!!Percent","Vermont!!Percent Margin of Error","Virginia!!Estimate","Virginia!!Margin of Error","Virginia!!Percent","Virginia!!Percent Margin of Error","Washington!!Estimate","Washington!!Margin of Error","Washington!!Percent","Washington!!Percent Margin of Error","West Virginia!!Estimate","West Virginia!!Margin of Error","West Virginia!!Percent","West Virginia!!Percent Margin of Error","Wisconsin!!Estimate","Wisconsin!!Margin of Error","Wisconsin!!Percent","Wisconsin!!Percent Margin of Error","Wyoming!!Estimate","Wyoming!!Margin of Error","Wyoming!!Percent","Wyoming!!Percent Margin of Error","Puerto Rico!!Estimate","Puerto Rico!!Margin of Error","Puerto Rico!!Percent","Puerto Rico!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total households","1,844,546","±11,416","1,844,546","(X)","257,330","±3,380","257,330","(X)","2,356,055","±12,130","2,356,055","(X)","1,127,621","±7,837","1,127,621","(X)","12,468,743","±22,250","12,468,743","(X)","1,975,388","±9,057","1,975,388","(X)","1,351,643","±7,309","1,351,643","(X)","333,192","±3,426","333,192","(X)","268,670","±3,200","268,670","(X)","7,106,283","±31,131","7,106,283","(X)","3,494,542","±15,336","3,494,542","(X)","448,563","±5,562","448,563","(X)","580,193","±6,204","580,193","(X)","4,737,208","±12,865","4,737,208","(X)","2,467,111","±11,107","2,467,111","(X)","1,216,765","±7,072","1,216,765","(X)","1,101,701","±5,567","1,101,701","(X)","1,672,134","±9,367","1,672,134","(X)","1,702,030","±9,725","1,702,030","(X)","552,051","±5,238","552,051","(X)","2,134,517","±9,936","2,134,517","(X)","2,532,067","±9,349","2,532,067","(X)","3,772,433","±14,208","3,772,433","(X)","2,096,477","±7,824","2,096,477","(X)","1,080,991","±8,431","1,080,991","(X)","2,341,074","±10,807","2,341,074","(X)","404,250","±4,567","404,250","(X)","723,800","±4,514","723,800","(X)","982,352","±9,598","982,352","(X)","516,454","±4,150","516,454","(X)","3,167,629","±9,918","3,167,629","(X)","767,285","±6,715","767,285","(X)","7,187,938","±18,167","7,187,938","(X)","3,683,364","±19,202","3,683,364","(X)","283,440","±2,528","283,440","(X)","4,538,555","±15,280","4,538,555","(X)","1,442,731","±7,338","1,442,731","(X)","1,516,979","±8,379","1,516,979","(X)","4,937,333","±13,801","4,937,333","(X)","412,259","±3,948","412,259","(X)","1,768,834","±12,783","1,768,834","(X)","323,215","±3,255","323,215","(X)","2,467,428","±12,592","2,467,428","(X)","8,850,370","±21,114","8,850,370","(X)","884,253","±5,722","884,253","(X)","257,358","±2,656","257,358","(X)","2,990,650","±13,887","2,990,650","(X)","2,632,621","±9,876","2,632,621","(X)","735,408","±6,147","735,408","(X)","2,275,352","±8,388","2,275,352","(X)","222,539","±3,310","222,539","(X)","","","",""
"    Family households (families)","1,251,795","±13,646","67.9%","±0.6","173,279","±4,602","67.3%","±1.5","1,543,923","±17,041","65.5%","±0.6","757,205","±8,841","67.2%","±0.7","8,518,518","±30,469","68.3%","±0.2","1,256,471","±12,018","63.6%","±0.5","893,101","±9,280","66.1%","±0.6","227,101","±3,932","68.2%","±1.0","114,045","±3,666","42.4%","±1.3","4,559,858","±26,881","64.2%","±0.3","2,376,008","±17,596","68.0%","±0.5","311,789","±5,861","69.5%","±1.0","398,682","±6,942","68.7%","±1.0","3,098,864","±16,403","65.4%","±0.3","1,641,389","±13,221","66.5%","±0.5","784,895","±8,576","64.5%","±0.5","722,016","±7,825","65.5%","±0.6","1,119,880","±11,401","67.0%","±0.6","1,118,217","±11,607","65.7%","±0.5","347,960","±7,218","63.0%","±1.1","1,415,576","±12,103","66.3%","±0.5","1,597,920","±13,701","63.1%","±0.5","2,472,884","±13,827","65.6%","±0.3","1,356,466","±10,910","64.7%","±0.5","740,958","±10,100","68.5%","±0.7","1,534,831","±12,746","65.6%","±0.5","253,131","±4,418","62.6%","±1.0","470,445","±6,228","65.0%","±0.7","636,981","±10,614","64.8%","±0.9","349,501","±4,958","67.7%","±1.1","2,191,404","±14,596","69.2%","±0.5","502,498","±8,737","65.5%","±1.0","4,607,636","±22,601","64.1%","±0.3","2,455,564","±21,325","66.7%","±0.5","175,219","±3,737","61.8%","±1.1","2,915,927","±16,276","64.2%","±0.3","957,855","±8,144","66.4%","±0.5","956,746","±11,057","63.1%","±0.6","3,193,701","±19,403","64.7%","±0.3","256,181","±5,460","62.1%","±1.2","1,201,688","±14,648","67.9%","±0.7","210,679","±4,391","65.2%","±1.2","1,625,686","±15,329","65.9%","±0.5","6,171,317","±25,795","69.7%","±0.2","662,478","±8,210","74.9%","±0.8","161,619","±3,467","62.8%","±1.2","2,010,914","±15,488","67.2%","±0.4","1,699,851","±11,753","64.6%","±0.4","477,809","±7,963","65.0%","±0.9","1,462,927","±12,624","64.3%","±0.5","142,618","±4,167","64.1%","±1.5","","","",""
"        With own children under 18 years","519,269","±10,056","28.2%","±0.5","86,512","±3,943","33.6%","±1.4","674,157","±15,118","28.6%","±0.6","320,053","±6,589","28.4%","±0.6","4,064,364","±21,149","32.6%","±0.2","587,062","±10,105","29.7%","±0.5","402,424","±8,036","29.8%","±0.6","94,229","±3,955","28.3%","±1.1","46,540","±2,399","17.3%","±0.8","1,788,705","±20,386","25.2%","±0.3","1,103,003","±14,917","31.6%","±0.4","125,077","±4,751","27.9%","±1.0","180,257","±5,646","31.1%","±0.9","1,405,017","±13,760","29.7%","±0.3","725,540","±10,296","29.4%","±0.4","344,983","±6,940","28.4%","±0.5","334,965","±6,249","30.4%","±0.5","475,828","±9,239","28.5%","±0.5","489,469","±10,035","28.8%","±0.5","138,279","±4,502","25.0%","±0.8","629,280","±9,895","29.5%","±0.4","718,136","±11,402","28.4%","±0.4","1,051,743","±11,818","27.9%","±0.3","616,059","±8,306","29.4%","±0.4","321,953","±7,753","29.8%","±0.6","665,667","±9,167","28.4%","±0.4","98,821","±3,643","24.4%","±0.8","215,933","±4,392","29.8%","±0.6","296,472","±8,169","30.2%","±0.7","145,570","±4,024","28.2%","±0.8","1,003,032","±12,165","31.7%","±0.4","214,387","±6,858","27.9%","±0.9","2,042,822","±17,045","28.4%","±0.2","1,060,465","±16,162","28.8%","±0.4","77,838","±3,315","27.5%","±1.1","1,244,537","±13,424","27.4%","±0.3","424,367","±7,092","29.4%","±0.5","406,586","±8,040","26.8%","±0.5","1,319,563","±13,948","26.7%","±0.3","111,314","±3,743","27.0%","±0.9","499,036","±10,994","28.2%","±0.6","91,614","±3,576","28.3%","±1.1","674,287","±11,721","27.3%","±0.4","2,990,780","±24,523","33.8%","±0.3","339,646","±6,816","38.4%","±0.7","66,084","±2,759","25.7%","±1.0","893,805","±12,044","29.9%","±0.4","767,324","±10,476","29.1%","±0.4","176,454","±5,750","24.0%","±0.7","633,636","±9,275","27.8%","±0.4","60,196","±3,278","27.0%","±1.3","","","",""
"        Married-couple family","889,810","±13,277","48.2%","±0.7","127,277","±4,123","49.5%","±1.5","1,110,350","±16,463","47.1%","±0.6","556,108","±8,896","49.3%","±0.7","6,059,185","±36,520","48.6%","±0.3","970,556","±12,220","49.1%","±0.6","660,299","±8,937","48.9%","±0.6","161,755","±3,367","48.5%","±1.1","57,247","±3,022","21.3%","±1.1","3,293,055","±25,616","46.3%","±0.3","1,667,698","±18,914","47.7%","±0.5","229,641","±6,271","51.2%","±1.2","319,270","±7,239","55.0%","±1.2","2,269,243","±15,549","47.9%","±0.3","1,217,034","±13,749","49.3%","±0.5","625,231","±7,647","51.4%","±0.5","557,419","±7,655","50.6%","±0.6","827,519","±12,957","49.5%","±0.7","743,138","±10,255","43.7%","±0.5","270,959","±7,042","49.1%","±1.1","995,216","±12,101","46.6%","±0.5","1,174,019","±12,423","46.4%","±0.5","1,817,454","±13,650","48.2%","±0.4","1,066,483","±9,610","50.9%","±0.5","487,509","±10,079","45.1%","±0.8","1,144,804","±12,015","48.9%","±0.5","199,556","±4,859","49.4%","±1.1","369,983","±5,595","51.1%","±0.7","450,072","±9,226","45.8%","±0.9","276,775","±5,188","53.6%","±1.1","1,607,317","±15,046","50.7%","±0.5","349,608","±7,866","45.6%","±1.0","3,166,722","±21,964","44.1%","±0.3","1,788,142","±18,585","48.5%","±0.4","142,172","±3,838","50.2%","±1.3","2,137,964","±17,737","47.1%","±0.4","715,154","±7,911","49.6%","±0.6","734,223","±9,928","48.4%","±0.6","2,374,705","±18,852","48.1%","±0.3","181,495","±5,429","44.0%","±1.3","855,034","±12,797","48.3%","±0.6","163,103","±4,456","50.5%","±1.2","1,189,542","±14,575","48.2%","±0.5","4,429,883","±28,857","50.1%","±0.3","534,006","±7,966","60.4%","±0.8","128,267","±3,298","49.8%","±1.2","1,518,944","±15,312","50.8%","±0.5","1,303,418","±12,268","49.5%","±0.4","356,697","±7,060","48.5%","±0.8","1,134,124","±11,909","49.8%","±0.5","114,463","±3,824","51.4%","±1.5","","","",""
"            With own children under 18 years","331,712","±8,749","18.0%","±0.5","56,973","±3,252","22.1%","±1.2","428,287","±12,731","18.2%","±0.5","205,856","±6,633","18.3%","±0.6","2,793,349","±22,600","22.4%","±0.2","420,122","±9,807","21.3%","±0.5","275,446","±6,704","20.4%","±0.5","59,348","±2,944","17.8%","±0.9","19,337","±1,776","7.2%","±0.7","1,126,757","±17,804","15.9%","±0.2","718,977","±12,706","20.6%","±0.3","89,648","±4,300","20.0%","±0.9","132,413","±5,580","22.8%","±0.9","966,588","±12,069","20.4%","±0.3","474,838","±9,844","19.2%","±0.4","241,863","±5,807","19.9%","±0.4","233,734","±5,536","21.2%","±0.5","312,461","±9,317","18.7%","±0.5","286,474","±7,845","16.8%","±0.4","88,876","±4,053","16.1%","±0.7","411,914","±9,365","19.3%","±0.4","495,852","±8,996","19.6%","±0.3","693,616","±10,167","18.4%","±0.3","437,819","±7,369","20.9%","±0.3","186,686","±6,682","17.3%","±0.6","436,692","±8,460","18.7%","±0.4","68,083","±3,354","16.8%","±0.8","152,305","±3,835","21.0%","±0.5","191,500","±7,406","19.5%","±0.7","103,769","±3,821","20.1%","±0.7","708,322","±10,853","22.4%","±0.3","129,102","±5,702","16.8%","±0.7","1,330,561","±14,724","18.5%","±0.2","675,851","±14,450","18.3%","±0.4","56,394","±3,184","19.9%","±1.1","796,948","±12,870","17.6%","±0.3","281,099","±5,880","19.5%","±0.4","278,537","±6,949","18.4%","±0.5","887,711","±13,421","18.0%","±0.3","70,306","±3,158","17.1%","±0.7","313,733","±9,918","17.7%","±0.5","61,158","±3,500","18.9%","±1.0","445,519","±10,722","18.1%","±0.4","2,017,757","±22,681","22.8%","±0.3","267,353","±6,145","30.2%","±0.6","44,516","±2,200","17.3%","±0.8","630,339","±10,892","21.1%","±0.3","538,771","±9,517","20.5%","±0.4","115,050","±5,016","15.6%","±0.6","429,500","±8,562","18.9%","±0.4","41,491","±2,770","18.6%","±1.1","","","",""
"        Male householder, no wife present, family","79,578","±5,409","4.3%","±0.3","15,744","±1,682","6.1%","±0.6","127,496","±7,010","5.4%","±0.3","48,001","±3,822","4.3%","±0.3","748,432","±13,450","6.0%","±0.1","87,794","±5,768","4.4%","±0.3","53,467","±3,560","4.0%","±0.3","18,685","±2,563","5.6%","±0.8","11,128","±1,753","4.1%","±0.6","324,085","±10,065","4.6%","±0.1","164,952","±8,836","4.7%","±0.3","25,768","±2,378","5.7%","±0.5","25,194","±3,106","4.3%","±0.5","212,106","±6,923","4.5%","±0.1","110,790","±6,153","4.5%","±0.2","47,231","±3,128","3.9%","±0.3","46,960","±3,295","4.3%","±0.3","75,067","±4,735","4.5%","±0.3","84,592","±4,406","5.0%","±0.3","23,073","±2,132","4.2%","±0.4","101,534","±6,027","4.8%","±0.3","99,872","±4,531","3.9%","±0.2","172,782","±6,257","4.6%","±0.2","90,234","±4,842","4.3%","±0.2","50,001","±3,402","4.6%","±0.3","99,280","±5,398","4.2%","±0.2","16,121","±1,917","4.0%","±0.5","30,287","±2,297","4.2%","±0.3","61,507","±5,475","6.3%","±0.5","21,489","±2,670","4.2%","±0.5","152,932","±7,004","4.8%","±0.2","44,051","±3,489","5.7%","±0.4","355,039","±10,358","4.9%","±0.1","155,308","±6,169","4.2%","±0.2","10,656","±1,643","3.8%","±0.6","191,178","±6,799","4.2%","±0.2","67,388","±3,707","4.7%","±0.2","70,642","±4,548","4.7%","±0.3","221,386","±7,703","4.5%","±0.2","19,412","±2,360","4.7%","±0.6","79,832","±4,965","4.5%","±0.3","16,122","±1,848","5.0%","±0.6","107,407","±5,805","4.4%","±0.2","456,464","±14,041","5.2%","±0.2","38,126","±3,589","4.3%","±0.4","11,331","±1,321","4.4%","±0.5","126,534","±6,006","4.2%","±0.2","116,352","±6,177","4.4%","±0.2","35,308","±2,398","4.8%","±0.3","99,723","±4,638","4.4%","±0.2","8,700","±1,603","3.9%","±0.7","","","",""
"            With own children under 18 years","34,943","±3,606","1.9%","±0.2","10,324","±1,527","4.0%","±0.6","69,460","±5,597","2.9%","±0.2","24,594","±3,084","2.2%","±0.3","353,329","±10,942","2.8%","±0.1","50,673","±4,527","2.6%","±0.2","24,550","±2,681","1.8%","±0.2","9,890","±1,710","3.0%","±0.5","4,787","±1,187","1.8%","±0.4","151,966","±7,645","2.1%","±0.1","75,428","±6,742","2.2%","±0.2","10,618","±1,776","2.4%","±0.4","14,240","±2,197","2.5%","±0.4","100,035","±4,937","2.1%","±0.1","58,376","±4,097","2.4%","±0.2","27,228","±2,653","2.2%","±0.2","25,540","±2,654","2.3%","±0.2","39,000","±3,291","2.3%","±0.2","39,280","±3,495","2.3%","±0.2","14,615","±1,796","2.6%","±0.3","46,457","±4,322","2.2%","±0.2","41,073","±3,400","1.6%","±0.1","87,778","±5,086","2.3%","±0.1","51,023","±3,136","2.4%","±0.1","21,971","±2,472","2.0%","±0.2","53,985","±3,925","2.3%","±0.2","9,372","±1,547","2.3%","±0.4","18,011","±1,904","2.5%","±0.3","29,797","±3,778","3.0%","±0.4","11,503","±1,900","2.2%","±0.4","66,133","±4,587","2.1%","±0.1","21,097","±2,468","2.7%","±0.3","144,515","±7,416","2.0%","±0.1","81,837","±5,059","2.2%","±0.1","5,882","±1,200","2.1%","±0.4","95,759","±5,392","2.1%","±0.1","37,269","±2,973","2.6%","±0.2","40,150","±3,833","2.6%","±0.2","106,992","±5,662","2.2%","±0.1","8,527","±1,487","2.1%","±0.4","39,481","±3,649","2.2%","±0.2","9,047","±1,474","2.8%","±0.5","47,773","±3,740","1.9%","±0.2","210,294","±9,414","2.4%","±0.1","18,295","±2,243","2.1%","±0.3","6,658","±1,114","2.6%","±0.4","60,823","±4,347","2.0%","±0.1","61,981","±4,742","2.4%","±0.2","16,468","±1,920","2.2%","±0.3","57,484","±3,549","2.5%","±0.2","5,745","±1,246","2.6%","±0.6","","","",""
"        Female householder, no husband present, family","282,407","±9,437","15.3%","±0.5","30,258","±2,250","11.8%","±0.8","306,077","±10,468","13.0%","±0.5","153,096","±5,798","13.6%","±0.5","1,710,901","±22,132","13.7%","±0.2","198,121","±6,189","10.0%","±0.3","179,335","±5,716","13.3%","±0.4","46,661","±3,154","14.0%","±0.9","45,670","±2,779","17.0%","±1.0","942,718","±16,455","13.3%","±0.2","543,358","±11,670","15.5%","±0.3","56,380","±3,731","12.6%","±0.8","54,218","±3,635","9.3%","±0.6","617,515","±9,990","13.0%","±0.2","313,565","±7,677","12.7%","±0.3","112,433","±4,143","9.2%","±0.3","117,637","±4,639","10.7%","±0.4","217,294","±7,463","13.0%","±0.4","290,487","±6,838","17.1%","±0.4","53,928","±2,855","9.8%","±0.5","318,826","±7,849","14.9%","±0.4","324,029","±8,720","12.8%","±0.3","482,648","±9,116","12.8%","±0.2","199,749","±6,114","9.5%","±0.3","203,448","±5,947","18.8%","±0.6","290,747","±7,614","12.4%","±0.3","37,454","±2,854","9.3%","±0.7","70,175","±3,589","9.7%","±0.5","125,402","±6,239","12.8%","±0.6","51,237","±3,238","9.9%","±0.6","431,155","±8,350","13.6%","±0.3","108,839","±4,978","14.2%","±0.6","1,085,875","±16,889","15.1%","±0.2","512,114","±12,272","13.9%","±0.3","22,391","±1,862","7.9%","±0.6","586,785","±11,466","12.9%","±0.2","175,313","±5,271","12.2%","±0.4","151,881","±6,251","10.0%","±0.4","597,610","±10,565","12.1%","±0.2","55,274","±3,524","13.4%","±0.8","266,822","±8,196","15.1%","±0.4","31,454","±2,786","9.7%","±0.9","328,737","±7,257","13.3%","±0.3","1,284,970","±20,862","14.5%","±0.2","90,346","±4,612","10.2%","±0.5","22,021","±1,941","8.6%","±0.7","365,436","±10,473","12.2%","±0.3","280,081","±6,970","10.6%","±0.3","85,804","±4,775","11.7%","±0.6","229,080","±6,370","10.1%","±0.3","19,455","±2,075","8.7%","±0.9","","","",""
