"","Alabama","","","","Alaska","","","","Arizona","","","","Arkansas","","","","California","","","","Colorado","","","","Connecticut","","","","Delaware","","","","District of Columbia","","","","Florida","","","","Georgia","","","","Hawaii","","","","Idaho","","","","Illinois","","","","Indiana","","","","Iowa","","","","Kansas","","","","Kentucky","","","","Louisiana","","","","Maine","","","","Maryland","","","","Massachusetts","","","","Michigan","","","","Minnesota","","","","Mississippi","","","","Missouri","","","","Montana","","","","Nebraska","","","","Nevada","","","","New Hampshire","","","","New Jersey","","","","New Mexico","","","","New York","","","","North Carolina","","","","North Dakota","","","","Ohio","","","","Oklahoma","","","","Oregon","","","","Pennsylvania","","","","Rhode Island","","","","South Carolina","","","","South Dakota","","","","Tennessee","","","","Texas","","","","Utah","","","","Vermont","","","","Virginia","","","","Washington","","","","West Virginia","","","","Wisconsin","","","","Wyoming","","","","Puerto Rico","","",""
"    Never married","529,806","±9,585","26.2%","±0.5","77,471","±3,228","28.4%","±1.2","740,052","±11,550","28.5%","±0.4","275,492","±6,859","22.9%","±0.6","4,956,797","±29,159","32.6%","±0.2","558,945","±8,345","27.3%","±0.4","457,022","±7,190","30.1%","±0.5","117,627","±3,387","30.6%","±0.9","160,356","±3,474","56.9%","±1.2","2,224,399","±19,458","27.4%","±0.2","1,219,446","±15,283","30.5%","±0.4","159,458","±5,025","28.3%","±0.9","141,249","±5,192","23.0%","±0.8","1,693,848","±13,519","31.9%","±0.3","730,864","±8,593","27.5%","±0.3","319,280","±6,071","25.4%","±0.5","288,863","±6,428","25.1%","±0.5","445,483","±6,502","24.6%","±0.4","594,052","±9,576","31.6%","±0.5","139,017","±3,936","24.3%","±0.7","811,897","±10,188","33.0%","±0.4","942,325","±10,509","33.2%","±0.4","1,203,080","±10,055","29.2%","±0.2","609,556","±8,268","28.1%","±0.4","383,433","±8,432","31.2%","±0.7","659,092","±8,593","26.4%","±0.3","98,063","±3,970","24.0%","±1.0","192,895","±4,756","26.0%","±0.6","307,934","±7,943","28.5%","±0.7","140,855","±3,565","25.3%","±0.6","1,147,599","±11,846","31.0%","±0.3","248,066","±6,199","29.7%","±0.7","2,905,094","±18,124","34.9%","±0.2","1,116,514","±14,334","27.8%","±0.4","72,880","±3,352","26.3%","±1.2","1,358,691","±12,476","28.2%","±0.3","357,595","±7,184","23.4%","±0.5","426,026","±7,944","26.5%","±0.5","1,646,965","±12,218","30.4%","±0.2","146,041","±4,170","32.0%","±0.9","553,637","±9,473","28.3%","±0.5","90,226","±3,491","27.3%","±1.0","689,287","±9,939","25.7%","±0.4","2,844,458","±23,382","28.2%","±0.2","268,030","±5,772","25.9%","±0.6","74,750","±2,390","27.8%","±0.9","950,106","±11,740","28.2%","±0.3","737,006","±9,872","26.5%","±0.4","186,274","±5,990","23.7%","±0.7","657,745","±9,012","28.1%","±0.4","52,869","±2,794","23.6%","±1.2","","","",""
"    Now married, except separated","937,791","±14,459","46.4%","±0.7","136,936","±4,052","50.2%","±1.5","1,205,120","±16,547","46.4%","±0.6","594,433","±10,004","49.5%","±0.8","6,893,910","±40,691","45.3%","±0.3","1,019,405","±14,073","49.8%","±0.7","700,867","±9,389","46.2%","±0.6","173,182","±4,230","45.1%","±1.1","65,023","±3,462","23.1%","±1.2","3,616,254","±27,462","44.5%","±0.3","1,794,097","±20,954","44.9%","±0.5","279,869","±6,212","49.7%","±1.1","335,094","±7,433","54.5%","±1.2","2,423,653","±15,547","45.7%","±0.3","1,270,171","±13,993","47.7%","±0.5","645,985","±8,355","51.5%","±0.7","584,911","±8,796","50.8%","±0.8","876,817","±12,969","48.5%","±0.7","785,057","±11,921","41.7%","±0.6","283,864","±7,293","49.7%","±1.2","1,075,652","±11,454","43.7%","±0.5","1,260,201","±14,596","44.4%","±0.5","1,927,336","±13,006","46.8%","±0.3","1,114,330","±9,973","51.4%","±0.5","511,143","±11,761","41.6%","±0.9","1,211,038","±13,474","48.6%","±0.5","209,661","±5,853","51.3%","±1.4","386,603","±5,760","52.1%","±0.8","500,348","±11,141","46.3%","±1.0","287,394","±5,532","51.6%","±1.0","1,723,407","±17,184","46.6%","±0.5","373,116","±9,048","44.6%","±1.1","3,513,518","±23,673","42.3%","±0.3","1,894,541","±20,233","47.1%","±0.5","146,237","±4,226","52.8%","±1.6","2,238,883","±18,129","46.4%","±0.4","769,723","±9,198","50.3%","±0.6","790,008","±10,603","49.1%","±0.7","2,488,621","±19,945","45.9%","±0.4","194,460","±5,848","42.7%","±1.3","902,900","±13,840","46.1%","±0.7","170,457","±4,381","51.5%","±1.4","1,265,828","±13,754","47.3%","±0.5","4,835,061","±32,483","48.0%","±0.3","579,852","±8,617","56.1%","±0.8","134,034","±3,850","49.9%","±1.4","1,632,354","±16,902","48.5%","±0.5","1,384,743","±13,232","49.8%","±0.5","377,889","±7,270","48.1%","±0.9","1,176,995","±12,116","50.2%","±0.5","118,346","±3,651","52.8%","±1.6","","","",""
"    Separated","63,147","±4,311","3.1%","±0.2","5,828","±1,312","2.1%","±0.5","58,280","±5,030","2.2%","±0.2","33,910","±2,767","2.8%","±0.2","420,315","±12,221","2.8%","±0.1","39,378","±3,380","1.9%","±0.2","30,498","±3,170","2.0%","±0.2","8,186","±1,485","2.1%","±0.4","7,102","±1,268","2.5%","±0.5","237,958","±9,512","2.9%","±0.1","126,289","±7,482","3.2%","±0.2","8,601","±1,671","1.5%","±0.3","8,793","±1,536","1.4%","±0.2","108,596","±6,144","2.0%","±0.1","50,200","±3,500","1.9%","±0.1","18,201","±2,133","1.5%","±0.2","20,365","±2,338","1.8%","±0.2","44,931","±3,509","2.5%","±0.2","61,895","±4,915","3.3%","±0.3","8,066","±1,644","1.4%","±0.3","74,057","±5,196","3.0%","±0.2","66,015","±3,940","2.3%","±0.1","68,932","±3,673","1.7%","±0.1","28,945","±2,335","1.3%","±0.1","43,378","±3,505","3.5%","±0.3","51,694","±3,479","2.1%","±0.1","5,834","±1,216","1.4%","±0.3","9,743","±1,716","1.3%","±0.2","32,183","±4,077","3.0%","±0.4","8,102","±1,775","1.5%","±0.3","91,992","±5,258","2.5%","±0.1","19,988","±2,871","2.4%","±0.3","273,985","±8,606","3.3%","±0.1","147,930","±8,121","3.7%","±0.2","2,508","±864","0.9%","±0.3","101,510","±5,502","2.1%","±0.1","36,507","±2,868","2.4%","±0.2","32,525","±3,287","2.0%","±0.2","134,148","±5,522","2.5%","±0.1","10,275","±1,728","2.3%","±0.4","80,887","±6,322","4.1%","±0.3","4,172","±1,015","1.3%","±0.3","71,582","±4,969","2.7%","±0.2","326,070","±11,999","3.2%","±0.1","19,149","±2,723","1.9%","±0.3","3,468","±773","1.3%","±0.3","97,603","±5,866","2.9%","±0.2","55,799","±4,255","2.0%","±0.2","18,742","±2,266","2.4%","±0.3","29,327","±2,452","1.3%","±0.1","2,878","±832","1.3%","±0.4","","","",""
"    Widowed","219,928","±6,440","10.9%","±0.3","15,959","±1,220","5.8%","±0.5","218,334","±6,935","8.4%","±0.3","128,078","±5,023","10.7%","±0.4","1,233,616","±13,104","8.1%","±0.1","144,741","±5,285","7.1%","±0.3","142,591","±4,885","9.4%","±0.3","35,452","±2,256","9.2%","±0.6","21,862","±1,784","7.8%","±0.6","889,933","±16,102","10.9%","±0.2","346,498","±8,698","8.7%","±0.2","56,471","±2,862","10.0%","±0.5","48,733","±2,972","7.9%","±0.5","496,474","±7,988","9.4%","±0.2","252,255","±7,287","9.5%","±0.3","128,492","±3,928","10.2%","±0.3","106,707","±3,900","9.3%","±0.3","185,762","±4,913","10.3%","±0.3","195,819","±5,328","10.4%","±0.3","55,811","±2,534","9.8%","±0.4","213,772","±5,904","8.7%","±0.2","259,743","±6,546","9.2%","±0.2","403,714","±6,711","9.8%","±0.2","180,658","±3,951","8.3%","±0.2","135,009","±4,427","11.0%","±0.4","248,594","±5,572","10.0%","±0.2","40,960","±2,033","10.0%","±0.5","65,913","±2,321","8.9%","±0.3","84,367","±4,370","7.8%","±0.4","46,640","±2,593","8.4%","±0.5","367,186","±5,766","9.9%","±0.2","73,445","±3,123","8.8%","±0.4","792,914","±10,842","9.5%","±0.1","385,276","±9,740","9.6%","±0.2","27,678","±1,509","10.0%","±0.6","480,442","±6,976","10.0%","±0.1","150,027","±4,086","9.8%","±0.3","134,000","±4,468","8.3%","±0.3","591,986","±8,548","10.9%","±0.2","45,535","±2,594","10.0%","±0.6","209,093","±6,111","10.7%","±0.3","30,465","±1,865","9.2%","±0.6","274,082","±7,246","10.2%","±0.3","822,946","±13,145","8.2%","±0.1","58,307","±2,890","5.6%","±0.3","21,917","±1,529","8.2%","±0.6","296,078","±7,142","8.8%","±0.2","218,402","±6,879","7.9%","±0.2","98,018","±3,751","12.5%","±0.5","214,262","±4,222","9.1%","±0.2","18,357","±1,447","8.2%","±0.6","","","",""
"    Divorced","269,622","±9,364","13.3%","±0.5","36,808","±3,078","13.5%","±1.1","372,884","±11,572","14.4%","±0.4","169,417","±6,297","14.1%","±0.5","1,707,708","±23,216","11.2%","±0.2","283,959","±9,555","13.9%","±0.5","186,644","±5,598","12.3%","±0.4","49,874","±3,440","13.0%","±0.9","27,474","±2,512","9.7%","±0.9","1,160,525","±18,472","14.3%","±0.2","510,484","±14,664","12.8%","±0.4","58,561","±3,772","10.4%","±0.7","81,135","±4,958","13.2%","±0.8","584,620","±12,065","11.0%","±0.2","358,263","±10,085","13.5%","±0.4","143,229","±4,577","11.4%","±0.4","151,345","±5,552","13.1%","±0.5","254,336","±9,118","14.1%","±0.5","245,670","±6,427","13.1%","±0.3","84,246","±4,496","14.8%","±0.8","286,237","±8,667","11.6%","±0.4","310,272","±8,034","10.9%","±0.3","511,654","±9,751","12.4%","±0.2","236,268","±6,440","10.9%","±0.3","154,596","±5,974","12.6%","±0.5","322,888","±7,289","13.0%","±0.3","54,304","±3,451","13.3%","±0.8","86,419","±3,966","11.7%","±0.5","156,808","±7,574","14.5%","±0.7","73,654","±3,499","13.2%","±0.6","371,407","±8,994","10.0%","±0.2","121,347","±5,525","14.5%","±0.7","829,344","±12,378","10.0%","±0.1","477,094","±12,450","11.9%","±0.3","27,695","±2,364","10.0%","±0.8","641,054","±12,435","13.3%","±0.3","217,163","±6,574","14.2%","±0.4","225,599","±7,677","14.0%","±0.5","563,399","±12,003","10.4%","±0.2","59,455","±3,631","13.0%","±0.8","211,413","±8,912","10.8%","±0.5","35,452","±2,715","10.7%","±0.8","377,384","±9,775","14.1%","±0.4","1,248,747","±22,211","12.4%","±0.2","108,485","±4,868","10.5%","±0.5","34,365","±2,321","12.8%","±0.9","389,601","±8,244","11.6%","±0.2","385,599","±8,441","13.9%","±0.3","105,224","±5,339","13.4%","±0.7","263,965","±7,528","11.3%","±0.3","31,510","±2,468","14.1%","±1.1","","","",""
"FERTILITY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","70,601","±4,956","70,601","(X)","12,883","±2,123","12,883","(X)","84,696","±6,441","84,696","(X)","36,586","±3,760","36,586","(X)","518,722","±12,551","518,722","(X)","75,261","±5,050","75,261","(X)","39,770","±3,134","39,770","(X)","10,066","±1,528","10,066","(X)","7,070","±1,539","7,070","(X)","206,786","±9,924","206,786","(X)","135,886","±6,729","135,886","(X)","22,942","±2,229","22,942","(X)","27,418","±3,145","27,418","(X)","161,456","±7,195","161,456","(X)","88,441","±4,365","88,441","(X)","37,621","±2,983","37,621","(X)","43,443","±3,262","43,443","(X)","56,213","±3,774","56,213","(X)","65,280","±4,243","65,280","(X)","13,843","±1,731","13,843","(X)","78,351","±4,707","78,351","(X)","79,641","±4,641","79,641","(X)","122,324","±5,410","122,324","(X)","74,548","±4,049","74,548","(X)","36,711","±3,079","36,711","(X)","78,269","±4,764","78,269","(X)","12,558","±1,567","12,558","(X)","25,777","±2,129","25,777","(X)","35,270","±3,347","35,270","(X)","14,182","±2,156","14,182","(X)","108,843","±5,368","108,843","(X)","29,765","±3,335","29,765","(X)","247,202","±8,018","247,202","(X)","133,512","±7,165","133,512","(X)","10,400","±1,586","10,400","(X)","142,781","±5,673","142,781","(X)","53,718","±2,766","53,718","(X)","49,012","±4,085","49,012","(X)","147,720","±5,553","147,720","(X)","13,199","±1,918","13,199","(X)","68,937","±4,391","68,937","(X)","11,258","±1,892","11,258","(X)","85,632","±4,922","85,632","(X)","384,330","±12,633","384,330","(X)","51,272","±3,509","51,272","(X)","6,255","±1,016","6,255","(X)","110,163","±5,732","110,163","(X)","92,152","±4,902","92,152","(X)","18,305","±2,228","18,305","(X)","69,390","±3,718","69,390","(X)","7,011","±1,344","7,011","(X)","","","",""
"    Unmarried women (widowed, divorced, and never married)","28,385","±2,827","40.2%","±3.5","4,573","±1,154","35.5%","±7.7","33,440","±4,003","39.5%","±3.5","13,167","±2,092","36.0%","±4.3","175,858","±7,386","33.9%","±1.1","21,980","±2,730","29.2%","±3.1","15,167","±2,324","38.1%","±4.2","4,106","±1,098","40.8%","±8.3","3,591","±1,117","50.8%","±10.1","82,756","±6,765","40.0%","±2.4","52,417","±4,204","38.6%","±2.5","6,804","±1,428","29.7%","±5.5","8,210","±1,835","29.9%","±5.7","58,402","±4,639","36.2%","±2.0","34,754","±2,793","39.3%","±2.6","11,847","±1,798","31.5%","±3.8","13,239","±1,794","30.5%","±3.7","21,347","±2,754","38.0%","±3.9","31,761","±3,842","48.7%","±4.5","4,577","±1,001","33.1%","±5.8","30,221","±3,133","38.6%","±3.2","26,201","±2,832","32.9%","±3.1","45,304","±3,400","37.0%","±2.3","22,873","±2,464","30.7%","±2.7","17,673","±2,289","48.1%","±4.3","28,929","±3,212","37.0%","±3.1","2,988","±866","23.8%","±6.0","6,509","±962","25.3%","±3.3","12,121","±1,895","34.4%","±4.3","2,779","±837","19.6%","±5.4","30,917","±2,711","28.4%","±2.2","14,181","±2,371","47.6%","±6.0","86,053","±5,379","34.8%","±1.9","48,543","±4,697","36.4%","±3.0","3,131","±827","30.1%","±6.6","56,278","±3,795","39.4%","±2.1","21,333","±2,265","39.7%","±3.3","15,256","±2,214","31.1%","±3.8","59,696","±3,515","40.4%","±1.9","5,844","±1,266","44.3%","±6.4","30,275","±3,445","43.9%","±3.8","4,210","±1,061","37.4%","±7.5","32,345","±3,507","37.8%","±3.1","137,495","±7,636","35.8%","±1.5","7,559","±1,447","14.7%","±2.5","1,767","±482","28.2%","±7.1","34,591","±3,114","31.4%","±2.5","25,538","±2,538","27.7%","±2.2","6,518","±1,338","35.6%","±5.7","21,713","±2,089","31.3%","±2.5","2,213","±792","31.6%","±8.6","","","",""
"        Per 1,000 unmarried women","45","±4","(X)","(X)","50","±13","(X)","(X)","39","±5","(X)","(X)","37","±6","(X)","(X)","33","±1","(X)","(X)","34","±4","(X)","(X)","31","±5","(X)","(X)","32","±8","(X)","(X)","24","±7","(X)","(X)","33","±3","(X)","(X)","38","±3","(X)","(X)","41","±9","(X)","(X)","47","±11","(X)","(X)","33","±3","(X)","(X)","41","±3","(X)","(X)","32","±5","(X)","(X)","38","±5","(X)","(X)","40","±5","(X)","(X)","48","±6","(X)","(X)","28","±6","(X)","(X)","36","±4","(X)","(X)","28","±3","(X)","(X)","34","±3","(X)","(X)","34","±4","(X)","(X)","41","±5","(X)","(X)","38","±4","(X)","(X)","25","±7","(X)","(X)","30","±4","(X)","(X)","34","±5","(X)","(X)","17","±5","(X)","(X)","27","±2","(X)","(X)","51","±8","(X)","(X)","30","±2","(X)","(X)","38","±4","(X)","(X)","38","±10","(X)","(X)","37","±3","(X)","(X)","48","±5","(X)","(X)","32","±5","(X)","(X)","35","±2","(X)","(X)","38","±8","(X)","(X)","50","±6","(X)","(X)","42","±10","(X)","(X)","39","±4","(X)","(X)","41","±2","(X)","(X)","24","±5","(X)","(X)","22","±6","(X)","(X)","33","±3","(X)","(X)","30","±3","(X)","(X)","29","±6","(X)","(X)","30","±3","(X)","(X)","33","±12","(X)","(X)","","","",""
"    Per 1,000 women 15 to 50 years old","60","±4","(X)","(X)","72","±12","(X)","(X)","55","±4","(X)","(X)","53","±5","(X)","(X)","54","±1","(X)","(X)","60","±4","(X)","(X)","46","±4","(X)","(X)","46","±7","(X)","(X)","37","±8","(X)","(X)","47","±2","(X)","(X)","54","±3","(X)","(X)","72","±7","(X)","(X)","74","±9","(X)","(X)","51","±2","(X)","(X)","57","±3","(X)","(X)","53","±4","(X)","(X)","64","±5","(X)","(X)","54","±4","(X)","(X)","58","±4","(X)","(X)","46","±6","(X)","(X)","53","±3","(X)","(X)","48","±3","(X)","(X)","52","±2","(X)","(X)","58","±3","(X)","(X)","50","±4","(X)","(X)","54","±3","(X)","(X)","56","±7","(X)","(X)","60","±5","(X)","(X)","53","±5","(X)","(X)","45","±7","(X)","(X)","50","±2","(X)","(X)","62","±7","(X)","(X)","50","±2","(X)","(X)","56","±3","(X)","(X)","65","±10","(X)","(X)","52","±2","(X)","(X)","60","±3","(X)","(X)","53","±4","(X)","(X)","49","±2","(X)","(X)","51","±7","(X)","(X)","61","±4","(X)","(X)","60","±10","(X)","(X)","55","±3","(X)","(X)","59","±2","(X)","(X)","73","±5","(X)","(X)","42","±7","(X)","(X)","54","±3","(X)","(X)","55","±3","(X)","(X)","43","±5","(X)","(X)","51","±3","(X)","(X)","54","±10","(X)","(X)","","","",""
"        Per 1,000 women 15 to 19 years old","30","±7","(X)","(X)","22","±12","(X)","(X)","29","±8","(X)","(X)","34","±10","(X)","(X)","23","±3","(X)","(X)","24","±7","(X)","(X)","11","±4","(X)","(X)","11","±9","(X)","(X)","14","±12","(X)","(X)","24","±4","(X)","(X)","23","±5","(X)","(X)","33","±13","(X)","(X)","27","±13","(X)","(X)","23","±5","(X)","(X)","27","±7","(X)","(X)","16","±6","(X)","(X)","27","±9","(X)","(X)","23","±7","(X)","(X)","29","±6","(X)","(X)","15","±7","(X)","(X)","23","±5","(X)","(X)","14","±5","(X)","(X)","20","±4","(X)","(X)","23","±5","(X)","(X)","34","±9","(X)","(X)","26","±6","(X)","(X)","19","±11","(X)","(X)","18","±8","(X)","(X)","20","±9","(X)","(X)","3","±3","(X)","(X)","11","±3","(X)","(X)","34","±11","(X)","(X)","15","±2","(X)","(X)","26","±6","(X)","(X)","30","±18","(X)","(X)","25","±4","(X)","(X)","31","±7","(X)","(X)","15","±6","(X)","(X)","19","±3","(X)","(X)","23","±13","(X)","(X)","30","±8","(X)","(X)","34","±19","(X)","(X)","27","±7","(X)","(X)","41","±4","(X)","(X)","18","±7","(X)","(X)","6","±6","(X)","(X)","19","±5","(X)","(X)","21","±5","(X)","(X)","23","±10","(X)","(X)","16","±5","(X)","(X)","8","±11","(X)","(X)","","","",""
"        Per 1,000 women 20 to 34 years old","111","±8","(X)","(X)","118","±20","(X)","(X)","93","±9","(X)","(X)","99","±11","(X)","(X)","90","±3","(X)","(X)","105","±8","(X)","(X)","88","±9","(X)","(X)","83","±15","(X)","(X)","47","±12","(X)","(X)","81","±4","(X)","(X)","96","±5","(X)","(X)","122","±16","(X)","(X)","144","±17","(X)","(X)","88","±4","(X)","(X)","106","±6","(X)","(X)","99","±9","(X)","(X)","114","±9","(X)","(X)","106","±8","(X)","(X)","104","±8","(X)","(X)","95","±12","(X)","(X)","91","±8","(X)","(X)","79","±6","(X)","(X)","100","±4","(X)","(X)","110","±7","(X)","(X)","100","±10","(X)","(X)","100","±7","(X)","(X)","97","±14","(X)","(X)","109","±10","(X)","(X)","94","±10","(X)","(X)","92","±16","(X)","(X)","89","±5","(X)","(X)","112","±14","(X)","(X)","81","±3","(X)","(X)","104","±6","(X)","(X)","110","±17","(X)","(X)","96","±5","(X)","(X)","112","±7","(X)","(X)","93","±8","(X)","(X)","89","±4","(X)","(X)","94","±15","(X)","(X)","114","±9","(X)","(X)","109","±19","(X)","(X)","98","±7","(X)","(X)","101","±4","(X)","(X)","126","±10","(X)","(X)","81","±16","(X)","(X)","97","±6","(X)","(X)","97","±7","(X)","(X)","83","±12","(X)","(X)","100","±6","(X)","(X)","103","±20","(X)","(X)","","","",""
"        Per 1,000 women 35 to 50 years old","23","±4","(X)","(X)","42","±20","(X)","(X)","28","±4","(X)","(X)","15","±5","(X)","(X)","31","±1","(X)","(X)","27","±4","(X)","(X)","24","±3","(X)","(X)","22","±7","(X)","(X)","30","±12","(X)","(X)","23","±2","(X)","(X)","27","±3","(X)","(X)","35","±8","(X)","(X)","23","±6","(X)","(X)","25","±2","(X)","(X)","21","±3","(X)","(X)","21","±4","(X)","(X)","29","±4","(X)","(X)","16","±3","(X)","(X)","19","±4","(X)","(X)","18","±6","(X)","(X)","29","±4","(X)","(X)","30","±3","(X)","(X)","22","±2","(X)","(X)","22","±3","(X)","(X)","11","±3","(X)","(X)","21","±3","(X)","(X)","28","±7","(X)","(X)","25","±5","(X)","(X)","25","±5","(X)","(X)","23","±6","(X)","(X)","30","±3","(X)","(X)","22","±6","(X)","(X)","32","±2","(X)","(X)","23","±3","(X)","(X)","27","±11","(X)","(X)","23","±2","(X)","(X)","18","±3","(X)","(X)","26","±5","(X)","(X)","24","±2","(X)","(X)","21","±7","(X)","(X)","22","±3","(X)","(X)","21","±8","(X)","(X)","23","±3","(X)","(X)","25","±2","(X)","(X)","28","±6","(X)","(X)","21","±6","(X)","(X)","26","±3","(X)","(X)","27","±3","(X)","(X)","16","±4","(X)","(X)","19","±3","(X)","(X)","19","±10","(X)","(X)","","","",""
"GRANDPARENTS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","119,988","±5,433","119,988","(X)","15,120","±1,947","15,120","(X)","167,100","±9,264","167,100","(X)","66,271","±5,143","66,271","(X)","1,117,387","±21,494","1,117,387","(X)","92,500","±6,540","92,500","(X)","62,737","±4,835","62,737","(X)","22,515","±2,980","22,515","(X)","10,592","±1,468","10,592","(X)","450,430","±17,448","450,430","(X)","264,875","±12,510","264,875","(X)","55,428","±4,158","55,428","(X)","28,322","±2,910","28,322","(X)","273,239","±9,257","273,239","(X)","135,610","±7,386","135,610","(X)","36,181","±2,855","36,181","(X)","46,063","±3,829","46,063","(X)","97,429","±6,026","97,429","(X)","119,156","±7,065","119,156","(X)","16,669","±2,391","16,669","(X)","139,181","±7,571","139,181","(X)","121,429","±6,469","121,429","(X)","169,478","±6,403","169,478","(X)","67,342","±4,182","67,342","(X)","81,066","±4,729","81,066","(X)","110,793","±6,798","110,793","(X)","14,202","±1,779","14,202","(X)","24,071","±2,560","24,071","(X)","68,247","±7,039","68,247","(X)","19,020","±2,342","19,020","(X)","187,065","±7,517","187,065","(X)","54,584","±4,571","54,584","(X)","430,010","±10,870","430,010","(X)","215,690","±11,726","215,690","(X)","6,933","±1,585","6,933","(X)","223,431","±8,728","223,431","(X)","86,586","±5,295","86,586","(X)","65,602","±5,886","65,602","(X)","230,575","±9,728","230,575","(X)","19,988","±2,693","19,988","(X)","115,047","±6,529","115,047","(X)","10,829","±1,829","10,829","(X)","150,320","±7,225","150,320","(X)","767,535","±18,601","767,535","(X)","60,926","±4,841","60,926","(X)","6,898","±1,230","6,898","(X)","178,237","±9,457","178,237","(X)","119,336","±6,751","119,336","(X)","40,205","±4,015","40,205","(X)","69,431","±3,520","69,431","(X)","7,592","±1,449","7,592","(X)","","","",""
"    Responsible for grandchildren","66,646","±3,824","55.5%","±2.6","6,047","±1,001","40.0%","±5.6","64,023","±4,730","38.3%","±2.6","36,392","±3,172","54.9%","±4.1","316,374","±12,857","28.3%","±1.0","37,189","±4,144","40.2%","±3.3","21,444","±3,091","34.2%","±4.2","8,380","±1,626","37.2%","±5.6","4,184","±1,037","39.5%","±8.6","165,008","±8,643","36.6%","±1.8","117,354","±7,989","44.3%","±2.3","13,558","±2,223","24.5%","±3.3","11,510","±1,939","40.6%","±6.3","98,568","±6,290","36.1%","±1.9","67,755","±5,036","50.0%","±2.5","15,501","±2,093","42.8%","±4.2","19,461","±1,932","42.2%","±3.4","54,671","±3,946","56.1%","±2.9","64,522","±4,881","54.1%","±2.8","7,300","±1,690","43.8%","±7.3","48,292","±4,294","34.7%","±2.7","37,827","±3,499","31.2%","±2.3","65,149","±4,515","38.4%","±2.2","27,092","±2,970","40.2%","±3.4","44,903","±3,719","55.4%","±3.3","46,743","±4,385","42.2%","±3.2","7,066","±1,244","49.8%","±6.3","11,868","±1,648","49.3%","±4.9","25,293","±3,768","37.1%","±4.9","5,066","±1,151","26.6%","±5.6","45,869","±4,194","24.5%","±2.0","26,395","±2,993","48.4%","±4.1","133,137","±6,958","31.0%","±1.4","101,577","±7,223","47.1%","±2.3","3,215","±1,350","46.4%","±12.6","104,887","±5,696","46.9%","±2.1","44,344","±3,639","51.2%","±2.6","24,421","±3,014","37.2%","±3.9","80,521","±5,120","34.9%","±1.8","6,421","±1,530","32.1%","±6.4","53,122","±5,042","46.2%","±3.4","5,633","±1,245","52.0%","±8.6","71,038","±4,986","47.3%","±2.4","328,712","±12,428","42.8%","±1.2","18,339","±2,729","30.1%","±3.6","3,051","±1,057","44.2%","±10.7","70,351","±5,631","39.5%","±2.4","44,779","±4,713","37.5%","±3.2","20,354","±2,351","50.6%","±4.1","26,329","±2,820","37.9%","±3.7","4,418","±1,119","58.2%","±9.9","","","",""
"        Years responsible for grandchildren","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
