"","Alabama","","","","Alaska","","","","Arizona","","","","Arkansas","","","","California","","","","Colorado","","","","Connecticut","","","","Delaware","","","","District of Columbia","","","","Florida","","","","Georgia","","","","Hawaii","","","","Idaho","","","","Illinois","","","","Indiana","","","","Iowa","","","","Kansas","","","","Kentucky","","","","Louisiana","","","","Maine","","","","Maryland","","","","Massachusetts","","","","Michigan","","","","Minnesota","","","","Mississippi","","","","Missouri","","","","Montana","","","","Nebraska","","","","Nevada","","","","New Hampshire","","","","New Jersey","","","","New Mexico","","","","New York","","","","North Carolina","","","","North Dakota","","","","Ohio","","","","Oklahoma","","","","Oregon","","","","Pennsylvania","","","","Rhode Island","","","","South Carolina","","","","South Dakota","","","","Tennessee","","","","Texas","","","","Utah","","","","Vermont","","","","Virginia","","","","Washington","","","","West Virginia","","","","Wisconsin","","","","Wyoming","","","","Puerto Rico","","",""
"        Now married, except separated","924,169","±12,082","49.0%","±0.6","142,350","±3,596","46.2%","±1.2","1,278,404","±14,098","47.3%","±0.5","604,446","±9,142","52.0%","±0.8","7,397,299","±29,008","47.5%","±0.2","1,119,822","±10,906","50.8%","±0.5","706,299","±9,338","49.2%","±0.7","183,698","±4,880","49.3%","±1.3","83,231","±4,209","31.1%","±1.6","3,895,139","±24,858","47.7%","±0.3","1,923,642","±17,691","49.1%","±0.4","295,955","±6,044","50.1%","±1.0","349,651","±6,484","54.4%","±1.0","2,493,328","±17,151","49.2%","±0.3","1,290,405","±13,951","49.9%","±0.5","661,204","±8,761","53.3%","±0.7","596,387","±8,918","52.1%","±0.8","879,956","±10,785","50.4%","±0.6","811,734","±12,864","44.9%","±0.7","279,406","±5,721","51.4%","±1.0","1,158,038","±12,432","49.5%","±0.5","1,299,289","±12,418","47.8%","±0.5","1,938,412","±13,148","49.0%","±0.3","1,148,132","±9,584","52.6%","±0.4","526,037","±9,191","46.0%","±0.8","1,212,539","±12,810","50.6%","±0.5","214,152","±4,815","50.6%","±1.1","386,685","±6,426","52.2%","±0.8","526,297","±9,504","45.2%","±0.8","286,097","±6,495","52.2%","±1.2","1,809,946","±14,481","51.2%","±0.4","380,312","±8,064","46.3%","±1.0","3,642,107","±21,295","46.5%","±0.3","1,976,075","±18,590","50.4%","±0.5","161,316","±3,825","51.2%","±1.2","2,246,993","±18,162","49.1%","±0.4","772,912","±7,908","50.6%","±0.5","809,801","±10,408","49.7%","±0.6","2,532,694","±17,783","49.4%","±0.3","196,524","±6,094","46.5%","±1.4","937,888","±11,649","48.7%","±0.6","177,766","±4,469","52.1%","±1.3","1,307,712","±13,484","50.6%","±0.5","5,312,399","±28,865","50.3%","±0.3","618,847","±8,202","55.7%","±0.7","129,059","±3,178","49.9%","±1.3","1,706,478","±15,577","51.2%","±0.5","1,478,305","±14,130","51.0%","±0.5","372,606","±7,742","49.6%","±1.0","1,193,816","±9,238","51.4%","±0.4","125,686","±3,628","53.5%","±1.6","","","",""
"        Separated","39,048","±3,480","2.1%","±0.2","5,134","±949","1.7%","±0.3","38,105","±2,858","1.4%","±0.1","22,472","±2,663","1.9%","±0.2","280,276","±9,491","1.8%","±0.1","27,985","±2,683","1.3%","±0.1","15,474","±2,668","1.1%","±0.2","4,721","±1,077","1.3%","±0.3","6,057","±1,361","2.3%","±0.5","172,409","±8,636","2.1%","±0.1","75,028","±5,198","1.9%","±0.1","7,457","±1,463","1.3%","±0.2","8,890","±1,793","1.4%","±0.3","71,659","±4,571","1.4%","±0.1","32,139","±3,401","1.2%","±0.1","12,836","±1,825","1.0%","±0.1","12,183","±1,617","1.1%","±0.1","31,691","±2,784","1.8%","±0.2","37,210","±3,051","2.1%","±0.2","5,827","±1,391","1.1%","±0.3","47,395","±3,845","2.0%","±0.2","34,730","±2,866","1.3%","±0.1","45,624","±2,703","1.2%","±0.1","20,870","±2,443","1.0%","±0.1","31,013","±3,610","2.7%","±0.3","39,314","±2,795","1.6%","±0.1","5,162","±1,159","1.2%","±0.3","8,086","±1,277","1.1%","±0.2","25,725","±2,919","2.2%","±0.3","4,671","±1,428","0.9%","±0.3","54,817","±4,167","1.6%","±0.1","11,973","±1,944","1.5%","±0.2","159,542","±7,499","2.0%","±0.1","99,471","±5,942","2.5%","±0.2","2,833","±1,021","0.9%","±0.3","73,456","±4,756","1.6%","±0.1","28,077","±1,935","1.8%","±0.1","26,824","±2,819","1.6%","±0.2","100,203","±4,927","2.0%","±0.1","5,682","±1,199","1.3%","±0.3","50,951","±3,606","2.6%","±0.2","3,687","±981","1.1%","±0.3","46,289","±3,980","1.8%","±0.2","217,287","±9,915","2.1%","±0.1","15,990","±2,379","1.4%","±0.2","2,263","±609","0.9%","±0.2","71,853","±5,138","2.2%","±0.2","36,519","±3,567","1.3%","±0.1","10,516","±1,654","1.4%","±0.2","20,769","±1,991","0.9%","±0.1","2,601","±1,182","1.1%","±0.5","","","",""
"        Widowed","56,920","±3,233","3.0%","±0.2","5,558","±1,048","1.8%","±0.3","69,187","±4,252","2.6%","±0.2","35,788","±2,806","3.1%","±0.2","327,215","±8,188","2.1%","±0.1","46,959","±3,287","2.1%","±0.1","36,562","±2,843","2.5%","±0.2","11,444","±1,555","3.1%","±0.4","5,858","±1,144","2.2%","±0.4","258,250","±8,968","3.2%","±0.1","95,476","±5,389","2.4%","±0.1","15,652","±1,766","2.7%","±0.3","13,996","±1,576","2.2%","±0.2","128,431","±5,267","2.5%","±0.1","69,222","±3,292","2.7%","±0.1","34,002","±2,150","2.7%","±0.2","29,970","±2,541","2.6%","±0.2","54,182","±4,097","3.1%","±0.2","59,415","±4,214","3.3%","±0.2","15,442","±1,855","2.8%","±0.3","54,963","±3,764","2.3%","±0.2","66,395","±3,557","2.4%","±0.1","105,622","±3,912","2.7%","±0.1","53,055","±2,794","2.4%","±0.1","34,684","±2,761","3.0%","±0.2","69,035","±3,971","2.9%","±0.2","13,570","±1,471","3.2%","±0.3","18,081","±1,466","2.4%","±0.2","31,918","±2,691","2.7%","±0.2","14,368","±1,791","2.6%","±0.3","92,456","±4,060","2.6%","±0.1","24,393","±2,325","3.0%","±0.3","196,775","±7,205","2.5%","±0.1","105,561","±4,500","2.7%","±0.1","6,171","±998","2.0%","±0.3","130,747","±5,592","2.9%","±0.1","50,961","±2,580","3.3%","±0.2","39,075","±2,735","2.4%","±0.2","153,068","±5,020","3.0%","±0.1","10,582","±1,630","2.5%","±0.4","56,048","±3,795","2.9%","±0.2","9,552","±1,237","2.8%","±0.4","73,420","±4,560","2.8%","±0.2","236,485","±7,234","2.2%","±0.1","19,153","±2,085","1.7%","±0.2","6,366","±914","2.5%","±0.4","83,128","±5,232","2.5%","±0.2","63,673","±3,721","2.2%","±0.1","27,682","±2,376","3.7%","±0.3","58,166","±2,633","2.5%","±0.1","5,974","±1,075","2.5%","±0.5","","","",""
"        Divorced","221,900","±7,990","11.8%","±0.4","30,744","±2,583","10.0%","±0.8","306,647","±8,787","11.4%","±0.3","142,698","±6,080","12.3%","±0.5","1,240,995","±16,937","8.0%","±0.1","229,037","±7,796","10.4%","±0.4","128,001","±5,728","8.9%","±0.4","36,059","±3,216","9.7%","±0.9","19,093","±2,102","7.1%","±0.8","946,919","±17,488","11.6%","±0.2","383,740","±10,141","9.8%","±0.3","48,952","±2,887","8.3%","±0.5","68,936","±4,598","10.7%","±0.7","430,655","±9,334","8.5%","±0.2","303,633","±7,571","11.7%","±0.3","126,426","±5,613","10.2%","±0.5","121,504","±5,329","10.6%","±0.5","228,644","±6,826","13.1%","±0.4","198,531","±7,646","11.0%","±0.4","68,788","±3,468","12.7%","±0.6","200,861","±6,879","8.6%","±0.3","219,100","±6,953","8.1%","±0.3","415,729","±9,353","10.5%","±0.2","198,511","±5,344","9.1%","±0.2","125,080","±5,036","10.9%","±0.4","273,298","±7,371","11.4%","±0.3","49,698","±3,559","11.7%","±0.8","73,390","±3,681","9.9%","±0.5","148,265","±6,437","12.7%","±0.6","60,166","±3,970","11.0%","±0.7","241,930","±8,229","6.8%","±0.2","97,468","±4,874","11.9%","±0.6","570,678","±11,324","7.3%","±0.1","380,662","±9,141","9.7%","±0.2","28,373","±1,954","9.0%","±0.6","514,311","±10,149","11.2%","±0.2","183,564","±4,492","12.0%","±0.3","188,132","±6,753","11.5%","±0.4","449,708","±9,100","8.8%","±0.2","40,177","±2,775","9.5%","±0.7","193,988","±8,315","10.1%","±0.4","33,291","±2,385","9.8%","±0.7","304,764","±8,652","11.8%","±0.3","987,364","±17,467","9.4%","±0.2","89,290","±5,029","8.0%","±0.5","30,040","±2,272","11.6%","±0.9","293,300","±8,845","8.8%","±0.3","310,470","±8,260","10.7%","±0.3","105,144","±4,804","14.0%","±0.6","226,599","±6,250","9.8%","±0.3","28,101","±2,136","12.0%","±0.9","","","",""
"    Females 15 years and over","2,061,364","±3,408","2,061,364","(X)","274,498","±1,421","274,498","(X)","2,780,421","±1,591","2,780,421","(X)","1,227,992","±3,138","1,227,992","(X)","15,999,819","±3,197","15,999,819","(X)","2,199,719","±2,947","2,199,719","(X)","1,536,805","±1,527","1,536,805","(X)","404,268","±817","404,268","(X)","302,000","±547","302,000","(X)","8,721,536","±5,405","8,721,536","(X)","4,222,374","±4,770","4,222,374","(X)","577,908","±1,046","577,908","(X)","651,812","±2,260","651,812","(X)","5,348,903","±3,917","5,348,903","(X)","2,728,149","±4,134","2,728,149","(X)","1,278,344","±2,625","1,278,344","(X)","1,167,789","±2,574","1,167,789","(X)","1,841,808","±3,336","1,841,808","(X)","1,934,046","±3,782","1,934,046","(X)","577,581","±1,949","577,581","(X)","2,549,736","±2,859","2,549,736","(X)","2,941,597","±1,835","2,941,597","(X)","4,162,553","±2,725","4,162,553","(X)","2,239,109","±2,871","2,239,109","(X)","1,244,736","±3,325","1,244,736","(X)","2,535,714","±3,830","2,535,714","(X)","420,815","±2,049","420,815","(X)","760,523","±1,725","760,523","(X)","1,169,176","±1,357","1,169,176","(X)","569,020","±1,459","569,020","(X)","3,778,008","±1,490","3,778,008","(X)","847,448","±2,012","847,448","(X)","8,480,063","±3,158","8,480,063","(X)","4,222,510","±5,240","4,222,510","(X)","296,712","±1,814","296,712","(X)","4,873,524","±3,289","4,873,524","(X)","1,581,844","±2,045","1,581,844","(X)","1,687,036","±2,902","1,687,036","(X)","5,459,046","±3,257","5,459,046","(X)","460,046","±1,108","460,046","(X)","2,069,688","±2,715","2,069,688","(X)","341,534","±1,636","341,534","(X)","2,777,189","±3,597","2,777,189","(X)","10,888,388","±6,858","10,888,388","(X)","1,116,485","±2,026","1,116,485","(X)","270,727","±1,055","270,727","(X)","3,495,647","±4,268","3,495,647","(X)","2,928,587","±3,361","2,928,587","(X)","781,058","±2,198","781,058","(X)","2,382,885","±2,747","2,382,885","(X)","233,206","±2,615","233,206","(X)","","","",""
"        Never married","587,456","±8,211","28.5%","±0.4","83,760","±3,301","30.5%","±1.2","827,914","±9,869","29.8%","±0.4","298,334","±7,463","24.3%","±0.6","5,377,533","±24,124","33.6%","±0.1","613,936","±9,706","27.9%","±0.4","501,358","±6,879","32.6%","±0.4","126,397","±4,145","31.3%","±1.0","161,935","±3,751","53.6%","±1.2","2,482,272","±19,751","28.5%","±0.2","1,340,771","±12,811","31.8%","±0.3","169,582","±4,995","29.3%","±0.9","166,155","±5,728","25.5%","±0.9","1,755,416","±13,982","32.8%","±0.3","779,009","±10,385","28.6%","±0.4","338,424","±6,072","26.5%","±0.5","310,008","±6,268","26.5%","±0.5","472,107","±7,281","25.6%","±0.4","632,820","±11,137","32.7%","±0.6","147,730","±3,869","25.6%","±0.7","841,984","±9,245","33.0%","±0.4","1,015,905","±12,777","34.5%","±0.4","1,276,410","±10,675","30.7%","±0.3","641,507","±6,921","28.7%","±0.3","398,740","±6,619","32.0%","±0.5","704,766","±8,740","27.8%","±0.3","105,097","±3,572","25.0%","±0.8","204,520","±4,478","26.9%","±0.6","344,752","±6,358","29.5%","±0.5","150,452","±3,960","26.4%","±0.7","1,196,365","±11,467","31.7%","±0.3","262,208","±5,502","30.9%","±0.6","3,078,939","±18,731","36.3%","±0.2","1,223,827","±13,188","29.0%","±0.3","82,190","±3,644","27.7%","±1.2","1,424,650","±14,434","29.2%","±0.3","394,496","±6,512","24.9%","±0.4","462,660","±8,203","27.4%","±0.5","1,680,326","±14,428","30.8%","±0.3","156,845","±4,623","34.1%","±1.0","617,198","±7,940","29.8%","±0.4","90,365","±3,720","26.5%","±1.1","761,623","±9,775","27.4%","±0.3","3,218,567","±22,639","29.6%","±0.2","298,417","±6,166","26.7%","±0.5","77,155","±2,527","28.5%","±0.9","1,034,617","±11,899","29.6%","±0.3","809,690","±10,793","27.6%","±0.4","191,746","±5,529","24.5%","±0.7","689,612","±7,157","28.9%","±0.3","58,703","±3,957","25.2%","±1.6","","","",""
"        Now married, except separated","915,517","±12,853","44.4%","±0.6","132,358","±3,876","48.2%","±1.4","1,262,699","±14,064","45.4%","±0.5","594,079","±9,959","48.4%","±0.8","7,192,666","±29,875","45.0%","±0.2","1,107,862","±10,731","50.4%","±0.5","689,681","±8,639","44.9%","±0.6","181,176","±5,476","44.8%","±1.4","81,901","±3,680","27.1%","±1.2","3,785,333","±27,786","43.4%","±0.3","1,886,145","±19,267","44.7%","±0.5","280,430","±5,996","48.5%","±1.0","341,557","±8,057","52.4%","±1.2","2,440,652","±16,782","45.6%","±0.3","1,277,603","±14,778","46.8%","±0.5","650,772","±8,828","50.9%","±0.7","589,507","±9,799","50.5%","±0.8","883,626","±9,827","48.0%","±0.5","797,415","±14,127","41.2%","±0.7","277,067","±6,179","48.0%","±1.1","1,131,142","±13,308","44.4%","±0.5","1,282,263","±14,359","43.6%","±0.5","1,925,283","±14,169","46.3%","±0.3","1,143,657","±9,768","51.1%","±0.4","521,565","±10,181","41.9%","±0.8","1,194,336","±13,284","47.1%","±0.5","213,529","±5,076","50.7%","±1.2","390,216","±5,903","51.3%","±0.8","514,679","±9,662","44.0%","±0.8","284,913","±7,001","50.1%","±1.2","1,763,010","±14,777","46.7%","±0.4","370,507","±7,088","43.7%","±0.8","3,524,645","±21,651","41.6%","±0.3","1,944,884","±18,374","46.1%","±0.4","153,940","±4,283","51.9%","±1.5","2,245,475","±18,377","46.1%","±0.4","767,293","±8,425","48.5%","±0.5","803,527","±9,916","47.6%","±0.6","2,500,410","±19,389","45.8%","±0.4","188,297","±5,736","40.9%","±1.3","920,611","±12,775","44.5%","±0.6","177,755","±4,685","52.0%","±1.4","1,293,236","±13,574","46.6%","±0.5","5,145,432","±34,113","47.3%","±0.3","613,430","±9,759","54.9%","±0.9","129,553","±3,292","47.9%","±1.2","1,648,895","±15,729","47.2%","±0.4","1,454,010","±14,675","49.6%","±0.5","374,098","±7,473","47.9%","±1.0","1,180,156","±10,465","49.5%","±0.4","122,416","±3,811","52.5%","±1.7","","","",""
"        Separated","60,452","±4,366","2.9%","±0.2","6,248","±1,326","2.3%","±0.5","55,699","±3,769","2.0%","±0.1","28,742","±2,919","2.3%","±0.2","409,734","±11,134","2.6%","±0.1","35,571","±2,988","1.6%","±0.1","23,894","±2,675","1.6%","±0.2","8,393","±1,864","2.1%","±0.5","6,391","±1,298","2.1%","±0.4","236,985","±10,199","2.7%","±0.1","105,933","±5,982","2.5%","±0.1","8,529","±1,481","1.5%","±0.3","9,184","±2,187","1.4%","±0.3","102,742","±5,292","1.9%","±0.1","39,665","±3,535","1.5%","±0.1","18,822","±2,116","1.5%","±0.2","18,836","±2,275","1.6%","±0.2","46,137","±3,292","2.5%","±0.2","57,548","±4,432","3.0%","±0.2","7,583","±1,445","1.3%","±0.2","63,537","±3,745","2.5%","±0.1","61,599","±4,246","2.1%","±0.1","59,962","±3,903","1.4%","±0.1","26,423","±2,838","1.2%","±0.1","37,932","±3,250","3.0%","±0.3","49,896","±3,952","2.0%","±0.2","4,707","±1,070","1.1%","±0.3","11,790","±1,678","1.6%","±0.2","30,011","±3,458","2.6%","±0.3","7,462","±1,510","1.3%","±0.3","80,027","±5,005","2.1%","±0.1","17,428","±2,384","2.1%","±0.3","251,767","±7,895","3.0%","±0.1","132,935","±5,704","3.1%","±0.1","2,906","±809","1.0%","±0.3","93,932","±4,576","1.9%","±0.1","33,638","±2,482","2.1%","±0.2","33,342","±3,337","2.0%","±0.2","132,998","±5,403","2.4%","±0.1","9,822","±1,979","2.1%","±0.4","75,314","±4,902","3.6%","±0.2","4,370","±962","1.3%","±0.3","69,941","±4,323","2.5%","±0.2","328,674","±9,854","3.0%","±0.1","19,254","±2,731","1.7%","±0.2","3,260","±874","1.2%","±0.3","97,671","±4,431","2.8%","±0.1","52,606","±3,626","1.8%","±0.1","14,000","±2,164","1.8%","±0.3","29,896","±2,348","1.3%","±0.1","3,804","±1,078","1.6%","±0.5","","","",""
"        Widowed","222,472","±5,369","10.8%","±0.3","15,735","±1,634","5.7%","±0.6","238,236","±6,240","8.6%","±0.2","134,630","±4,981","11.0%","±0.4","1,252,621","±15,888","7.8%","±0.1","141,241","±4,266","6.4%","±0.2","132,965","±4,899","8.7%","±0.3","37,752","±2,193","9.3%","±0.5","20,447","±1,691","6.8%","±0.6","929,044","±14,971","10.7%","±0.2","352,572","±8,201","8.4%","±0.2","56,959","±2,845","9.9%","±0.5","48,760","±2,737","7.5%","±0.4","471,652","±7,878","8.8%","±0.1","252,780","±5,777","9.3%","±0.2","124,562","±3,521","9.7%","±0.3","108,705","±3,898","9.3%","±0.3","183,797","±4,985","10.0%","±0.3","196,834","±5,627","10.2%","±0.3","57,673","±2,728","10.0%","±0.5","220,371","±6,540","8.6%","±0.3","251,832","±6,066","8.6%","±0.2","380,314","±6,857","9.1%","±0.2","175,522","±4,330","7.8%","±0.2","131,985","±4,840","10.6%","±0.4","250,239","±5,283","9.9%","±0.2","37,561","±1,799","8.9%","±0.4","67,512","±2,573","8.9%","±0.3","95,891","±4,106","8.2%","±0.4","47,755","±2,696","8.4%","±0.5","358,749","±6,950","9.5%","±0.2","76,092","±3,684","9.0%","±0.4","743,873","±10,752","8.8%","±0.1","397,322","±7,409","9.4%","±0.2","27,301","±1,777","9.2%","±0.6","473,942","±7,502","9.7%","±0.2","157,073","±3,513","9.9%","±0.2","136,674","±4,687","8.1%","±0.3","564,590","±9,656","10.3%","±0.2","44,061","±2,475","9.6%","±0.5","210,491","±5,527","10.2%","±0.3","31,552","±1,916","9.2%","±0.6","272,770","±5,779","9.8%","±0.2","862,087","±12,946","7.9%","±0.1","65,430","±3,251","5.9%","±0.3","23,025","±2,011","8.5%","±0.7","293,827","±6,201","8.4%","±0.2","217,838","±5,750","7.4%","±0.2","92,435","±3,740","11.8%","±0.5","208,170","±4,758","8.7%","±0.2","19,937","±1,844","8.5%","±0.8","","","",""
"        Divorced","275,467","±8,590","13.4%","±0.4","36,397","±2,542","13.3%","±0.9","395,873","±9,543","14.2%","±0.3","172,207","±6,168","14.0%","±0.5","1,767,265","±18,174","11.0%","±0.1","301,109","±6,311","13.7%","±0.3","188,907","±6,499","12.3%","±0.4","50,550","±3,491","12.5%","±0.9","31,326","±2,656","10.4%","±0.9","1,287,902","±16,742","14.8%","±0.2","536,953","±12,621","12.7%","±0.3","62,408","±4,396","10.8%","±0.8","86,156","±5,124","13.2%","±0.8","578,441","±11,055","10.8%","±0.2","379,092","±9,269","13.9%","±0.3","145,764","±5,554","11.4%","±0.4","140,733","±5,690","12.1%","±0.5","256,141","±6,906","13.9%","±0.4","249,429","±7,494","12.9%","±0.4","87,528","±4,681","15.2%","±0.8","292,702","±8,436","11.5%","±0.3","329,998","±8,410","11.2%","±0.3","520,584","±10,812","12.5%","±0.3","252,000","±6,327","11.3%","±0.3","154,514","±6,268","12.4%","±0.5","336,477","±8,982","13.3%","±0.4","59,921","±3,283","14.2%","±0.8","86,485","±3,789","11.4%","±0.5","183,843","±6,999","15.7%","±0.6","78,438","±4,367","13.8%","±0.8","379,857","±8,898","10.1%","±0.2","121,213","±4,202","14.3%","±0.5","880,839","±14,559","10.4%","±0.2","523,542","±11,760","12.4%","±0.3","30,375","±2,359","10.2%","±0.8","635,525","±11,420","13.0%","±0.2","229,344","±5,365","14.5%","±0.3","250,833","±6,837","14.9%","±0.4","580,722","±9,697","10.6%","±0.2","61,021","±4,150","13.3%","±0.9","246,074","±8,647","11.9%","±0.4","37,492","±3,041","11.0%","±0.9","379,619","±9,934","13.7%","±0.4","1,333,628","±20,125","12.2%","±0.2","119,954","±5,880","10.7%","±0.5","37,734","±2,615","13.9%","±1.0","420,637","±11,604","12.0%","±0.3","394,443","±10,125","13.5%","±0.3","108,779","±4,736","13.9%","±0.6","275,051","±7,492","11.5%","±0.3","28,346","±2,569","12.2%","±1.1","","","",""
"FERTILITY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","59,374","±4,335","59,374","(X)","11,144","±1,545","11,144","(X)","85,798","±4,845","85,798","(X)","41,817","±3,941","41,817","(X)","478,813","±12,151","478,813","(X)","65,555","±4,672","65,555","(X)","34,705","±3,375","34,705","(X)","9,736","±1,627","9,736","(X)","8,575","±1,449","8,575","(X)","208,713","±8,469","208,713","(X)","137,866","±7,364","137,866","(X)","18,465","±1,710","18,465","(X)","22,597","±2,262","22,597","(X)","159,167","±5,934","159,167","(X)","80,320","±4,826","80,320","(X)","43,263","±2,961","43,263","(X)","38,186","±3,028","38,186","(X)","53,925","±4,122","53,925","(X)","62,415","±4,635","62,415","(X)","11,600","±1,544","11,600","(X)","76,129","±4,771","76,129","(X)","72,160","±4,581","72,160","(X)","114,616","±4,597","114,616","(X)","74,614","±3,713","74,614","(X)","34,417","±2,901","34,417","(X)","72,010","±4,023","72,010","(X)","12,432","±1,833","12,432","(X)","29,431","±2,395","29,431","(X)","33,774","±2,913","33,774","(X)","15,223","±2,042","15,223","(X)","101,634","±4,464","101,634","(X)","24,412","±2,780","24,412","(X)","219,972","±6,705","219,972","(X)","119,725","±5,468","119,725","(X)","12,118","±1,644","12,118","(X)","141,168","±6,054","141,168","(X)","47,490","±2,838","47,490","(X)","46,087","±3,655","46,087","(X)","149,372","±6,163","149,372","(X)","13,820","±2,075","13,820","(X)","61,316","±4,369","61,316","(X)","10,875","±1,207","10,875","(X)","80,773","±5,118","80,773","(X)","395,878","±10,355","395,878","(X)","51,060","±3,301","51,060","(X)","5,651","±787","5,651","(X)","102,870","±4,396","102,870","(X)","86,668","±4,207","86,668","(X)","19,670","±2,282","19,670","(X)","65,927","±3,602","65,927","(X)","7,727","±1,410","7,727","(X)","","","",""
"        Unmarried women (widowed, divorced, and never married)","26,147","±3,099","44.0%","±3.4","3,542","±929","31.8%","±7.0","32,015","±3,535","37.3%","±3.2","16,052","±2,690","38.4%","±4.5","162,084","±7,694","33.9%","±1.2","16,779","±2,280","25.6%","±2.7","11,934","±2,014","34.4%","±4.0","3,183","±1,021","32.7%","±7.6","4,194","±1,047","48.9%","±7.8","86,144","±5,362","41.3%","±1.7","58,690","±4,495","42.6%","±2.7","6,449","±1,312","34.9%","±5.6","6,629","±1,371","29.3%","±5.6","55,665","±4,052","35.0%","±1.9","27,850","±3,003","34.7%","±2.9","14,073","±1,836","32.5%","±3.4","12,048","±1,867","31.6%","±3.7","18,830","±2,264","34.9%","±3.5","30,409","±3,872","48.7%","±4.1","4,304","±993","37.1%","±6.2","28,519","±2,960","37.5%","±2.9","23,340","±2,692","32.3%","±2.8","43,428","±3,421","37.9%","±2.3","21,317","±2,676","28.6%","±2.8","17,327","±2,249","50.3%","±4.6","24,526","±2,570","34.1%","±2.7","3,610","±827","29.0%","±5.8","10,037","±1,557","34.1%","±4.3","12,011","±1,790","35.6%","±4.9","4,861","±1,125","31.9%","±7.0","30,184","±2,866","29.7%","±2.4","10,770","±1,722","44.1%","±6.2","72,939","±4,737","33.2%","±1.8","45,484","±3,763","38.0%","±2.4","3,273","±865","27.0%","±6.1","53,828","±4,361","38.1%","±2.5","18,035","±1,909","38.0%","±3.2","14,192","±2,389","30.8%","±4.2","58,102","±4,434","38.9%","±2.3","6,093","±1,440","44.1%","±7.3","27,298","±3,219","44.5%","±3.9","4,241","±952","39.0%","±7.1","31,535","±3,453","39.0%","±3.2","139,389","±6,953","35.2%","±1.5","8,908","±1,623","17.4%","±2.6","1,303","±447","23.1%","±7.2","31,397","±2,863","30.5%","±2.4","24,890","±2,429","28.7%","±2.3","8,696","±1,712","44.2%","±6.1","22,739","±2,349","34.5%","±2.8","2,140","±704","27.7%","±8.0","","","",""
"            Per 1,000 unmarried women","40","±5","(X)","(X)","38","±10","(X)","(X)","35","±4","(X)","(X)","45","±8","(X)","(X)","29","±1","(X)","(X)","24","±3","(X)","(X)","24","±4","(X)","(X)","24","±8","(X)","(X)","28","±7","(X)","(X)","32","±2","(X)","(X)","40","±3","(X)","(X)","38","±8","(X)","(X)","34","±7","(X)","(X)","31","±2","(X)","(X)","32","±3","(X)","(X)","38","±5","(X)","(X)","35","±5","(X)","(X)","35","±4","(X)","(X)","45","±6","(X)","(X)","26","±6","(X)","(X)","34","±3","(X)","(X)","23","±3","(X)","(X)","32","±3","(X)","(X)","31","±4","(X)","(X)","40","±5","(X)","(X)","32","±3","(X)","(X)","30","±7","(X)","(X)","45","±7","(X)","(X)","31","±4","(X)","(X)","29","±7","(X)","(X)","26","±2","(X)","(X)","39","±6","(X)","(X)","25","±2","(X)","(X)","34","±3","(X)","(X)","37","±10","(X)","(X)","35","±3","(X)","(X)","38","±4","(X)","(X)","27","±5","(X)","(X)","35","±3","(X)","(X)","39","±9","(X)","(X)","42","±5","(X)","(X)","43","±9","(X)","(X)","37","±4","(X)","(X)","39","±2","(X)","(X)","25","±5","(X)","(X)","16","±6","(X)","(X)","28","±3","(X)","(X)","28","±3","(X)","(X)","39","±8","(X)","(X)","31","±3","(X)","(X)","32","±11","(X)","(X)","","","",""
"        Per 1,000 women 15 to 50 years old","51","±4","(X)","(X)","64","±9","(X)","(X)","54","±3","(X)","(X)","61","±6","(X)","(X)","49","±1","(X)","(X)","50","±4","(X)","(X)","41","±4","(X)","(X)","44","±7","(X)","(X)","42","±7","(X)","(X)","46","±2","(X)","(X)","54","±3","(X)","(X)","57","±5","(X)","(X)","60","±6","(X)","(X)","51","±2","(X)","(X)","51","±3","(X)","(X)","61","±4","(X)","(X)","58","±5","(X)","(X)","52","±4","(X)","(X)","55","±4","(X)","(X)","40","±5","(X)","(X)","52","±3","(X)","(X)","43","±3","(X)","(X)","50","±2","(X)","(X)","59","±3","(X)","(X)","48","±4","(X)","(X)","51","±3","(X)","(X)","57","±8","(X)","(X)","68","±6","(X)","(X)","49","±4","(X)","(X)","50","±7","(X)","(X)","48","±2","(X)","(X)","52","±6","(X)","(X)","45","±1","(X)","(X)","50","±2","(X)","(X)","71","±10","(X)","(X)","53","±2","(X)","(X)","52","±3","(X)","(X)","49","±4","(X)","(X)","51","±2","(X)","(X)","54","±8","(X)","(X)","54","±4","(X)","(X)","58","±6","(X)","(X)","51","±3","(X)","(X)","58","±2","(X)","(X)","68","±4","(X)","(X)","40","±6","(X)","(X)","51","±2","(X)","(X)","51","±2","(X)","(X)","49","±6","(X)","(X)","50","±3","(X)","(X)","58","±11","(X)","(X)","","","",""
