"","Alabama","","","","Alaska","","","","Arizona","","","","Arkansas","","","","California","","","","Colorado","","","","Connecticut","","","","Delaware","","","","District of Columbia","","","","Florida","","","","Georgia","","","","Hawaii","","","","Idaho","","","","Illinois","","","","Indiana","","","","Iowa","","","","Kansas","","","","Kentucky","","","","Louisiana","","","","Maine","","","","Maryland","","","","Massachusetts","","","","Michigan","","","","Minnesota","","","","Mississippi","","","","Missouri","","","","Montana","","","","Nebraska","","","","Nevada","","","","New Hampshire","","","","New Jersey","","","","New Mexico","","","","New York","","","","North Carolina","","","","North Dakota","","","","Ohio","","","","Oklahoma","","","","Oregon","","","","Pennsylvania","","","","Rhode Island","","","","South Carolina","","","","South Dakota","","","","Tennessee","","","","Texas","","","","Utah","","","","Vermont","","","","Virginia","","","","Washington","","","","West Virginia","","","","Wisconsin","","","","Wyoming","","","","Puerto Rico","","",""
"Label (Grouping)","Alabama!!Estimate","Alabama!!Margin of Error","Alabama!!Percent","Alabama!!Percent Margin of Error","Alaska!!Estimate","Alaska!!Margin of Error","Alaska!!Percent","Alaska!!Percent Margin of Error","Arizona!!Estimate","Arizona!!Margin of Error","Arizona!!Percent","Arizona!!Percent Margin of Error","Arkansas!!Estimate","Arkansas!!Margin of Error","Arkansas!!Percent","Arkansas!!Percent Margin of Error","California!!Estimate","California!!Margin of Error","California!!Percent","California!!Percent Margin of Error","Colorado!!Estimate","Colorado!!Margin of Error","Colorado!!Percent","Colorado!!Percent Margin of Error","Connecticut!!Estimate","Connecticut!!Margin of Error","Connecticut!!Percent","Connecticut!!Percent Margin of Error","Delaware!!Estimate","Delaware!!Margin of Error","Delaware!!Percent","Delaware!!Percent Margin of Error","District of Columbia!!Estimate","District of Columbia!!Margin of Error","District of Columbia!!Percent","District of Columbia!!Percent Margin of Error","Florida!!Estimate","Florida!!Margin of Error","Florida!!Percent","Florida!!Percent Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Georgia!!Percent","Georgia!!Percent Margin of Error","Hawaii!!Estimate","Hawaii!!Margin of Error","Hawaii!!Percent","Hawaii!!Percent Margin of Error","Idaho!!Estimate","Idaho!!Margin of Error","Idaho!!Percent","Idaho!!Percent Margin of Error","Illinois!!Estimate","Illinois!!Margin of Error","Illinois!!Percent","Illinois!!Percent Margin of Error","Indiana!!Estimate","Indiana!!Margin of Error","Indiana!!Percent","Indiana!!Percent Margin of Error","Iowa!!Estimate","Iowa!!Margin of Error","Iowa!!Percent","Iowa!!Percent Margin of Error","Kansas!!Estimate","Kansas!!Margin of Error","Kansas!!Percent","Kansas!!Percent Margin of Error","Kentucky!!Estimate","Kentucky!!Margin of Error","Kentucky!!Percent","Kentucky!!Percent Margin of Error","Louisiana!!Estimate","Louisiana!!Margin of Error","Louisiana!!Percent","Louisiana!!Percent Margin of Error","Maine!!Estimate","Maine!!Margin of Error","Maine!!Percent","Maine!!Percent Margin of Error","Maryland!!Estimate","Maryland!!Margin of Error","Maryland!!Percent","Maryland!!Percent Margin of Error","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","Michigan!!Estimate","Michigan!!Margin of Error","Michigan!!Percent","Michigan!!Percent Margin of Error","Minnesota!!Estimate","Minnesota!!Margin of Error","Minnesota!!Percent","Minnesota!!Percent Margin of Error","Mississippi!!Estimate","Mississippi!!Margin of Error","Mississippi!!Percent","Mississippi!!Percent Margin of Error","Missouri!!Estimate","Missouri!!Margin of Error","Missouri!!Percent","Missouri!!Percent Margin of Error","Montana!!Estimate","Montana!!Margin of Error","Montana!!Percent","Montana!!Percent Margin of Error","Nebraska!!Estimate","Nebraska!!Margin of Error","Nebraska!!Percent","Nebraska!!Percent Margin of Error","Nevada!!Estimate","Nevada!!Margin of Error","Nevada!!Percent","Nevada!!Percent Margin of Error","New Hampshire!!Estimate","New Hampshire!!Margin of Error","New Hampshire!!Percent","New Hampshire!!Percent Margin of Error","New Jersey!!Estimate","New Jersey!!Margin of Error","New Jersey!!Percent","New Jersey!!Percent Margin of Error","New Mexico!!Estimate","New Mexico!!Margin of Error","New Mexico!!Percent","New Mexico!!Percent Margin of Error","New York!!Estimate","New York!!Margin of Error","New York!!Percent","New York!!Percent Margin of Error","North Carolina!!Estimate","North Carolina!!Margin of Error","North Carolina!!Percent","North Carolina!!Percent Margin of Error","North Dakota!!Estimate","North Dakota!!Margin of Error","North Dakota!!Percent","North Dakota!!Percent Margin of Error","Ohio!!Estimate","Ohio!!Margin of Error","Ohio!!Percent","Ohio!!Percent Margin of Error","Oklahoma!!Estimate","Oklahoma!!Margin of Error","Oklahoma!!Percent","Oklahoma!!Percent Margin of Error","Oregon!!Estimate","Oregon!!Margin of Error","Oregon!!Percent","Oregon!!Percent Margin of Error","Pennsylvania!!Estimate","Pennsylvania!!Margin of Error","Pennsylvania!!Percent","Pennsylvania!!Percent Margin of Error","Rhode Island!!Estimate","Rhode Island!!Margin of Error","Rhode Island!!Percent","Rhode Island!!Percent Margin of Error","South Carolina!!Estimate","South Carolina!!Margin of Error","South Carolina!!Percent","South Carolina!!Percent Margin of Error","South Dakota!!Estimate","South Dakota!!Margin of Error","South Dakota!!Percent","South Dakota!!Percent Margin of Error","Tennessee!!Estimate","Tennessee!!Margin of Error","Tennessee!!Percent","Tennessee!!Percent Margin of Error","Texas!!Estimate","Texas!!Margin of Error","Texas!!Percent","Texas!!Percent Margin of Error","Utah!!Estimate","Utah!!Margin of Error","Utah!!Percent","Utah!!Percent Margin of Error","Vermont!!Estimate","Vermont!!Margin of Error","Vermont!!Percent","Vermont!!Percent Margin of Error","Virginia!!Estimate","Virginia!!Margin of Error","Virginia!!Percent","Virginia!!Percent Margin of Error","Washington!!Estimate","Washington!!Margin of Error","Washington!!Percent","Washington!!Percent Margin of Error","West Virginia!!Estimate","West Virginia!!Margin of Error","West Virginia!!Percent","West Virginia!!Percent Margin of Error","Wisconsin!!Estimate","Wisconsin!!Margin of Error","Wisconsin!!Percent","Wisconsin!!Percent Margin of Error","Wyoming!!Estimate","Wyoming!!Margin of Error","Wyoming!!Percent","Wyoming!!Percent Margin of Error","Puerto Rico!!Estimate","Puerto Rico!!Margin of Error","Puerto Rico!!Percent","Puerto Rico!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total households","1,846,390","±11,341","1,846,390","(X)","250,185","±2,685","250,185","(X)","2,463,008","±12,455","2,463,008","(X)","1,144,663","±8,300","1,144,663","(X)","12,896,357","±19,487","12,896,357","(X)","2,074,735","±7,548","2,074,735","(X)","1,343,703","±6,712","1,343,703","(X)","352,595","±3,920","352,595","(X)","281,787","±3,030","281,787","(X)","7,463,184","±23,147","7,463,184","(X)","3,656,407","±14,418","3,656,407","(X)","445,936","±4,817","445,936","(X)","597,421","±4,571","597,421","(X)","4,794,523","±12,954","4,794,523","(X)","2,515,143","±11,611","2,515,143","(X)","1,247,249","±6,782","1,247,249","(X)","1,111,582","±6,565","1,111,582","(X)","1,716,168","±8,844","1,716,168","(X)","1,737,908","±9,569","1,737,908","(X)","545,226","±5,325","545,226","(X)","2,177,934","±7,798","2,177,934","(X)","2,559,951","±9,181","2,559,951","(X)","3,858,532","±11,041","3,858,532","(X)","2,147,262","±7,978","2,147,262","(X)","1,104,371","±7,926","1,104,371","(X)","2,374,180","±11,426","2,374,180","(X)","414,804","±3,749","414,804","(X)","744,159","±3,947","744,159","(X)","1,042,065","±7,714","1,042,065","(X)","517,615","±4,643","517,615","(X)","3,187,963","±9,239","3,187,963","(X)","761,797","±5,816","761,797","(X)","7,233,694","±15,840","7,233,694","(X)","3,843,745","±15,042","3,843,745","(X)","313,475","±3,584","313,475","(X)","4,606,655","±12,584","4,606,655","(X)","1,465,951","±6,457","1,465,951","(X)","1,553,205","±7,348","1,553,205","(X)","4,956,037","±11,868","4,956,037","(X)","407,484","±4,045","407,484","(X)","1,857,768","±9,376","1,857,768","(X)","339,437","±2,931","339,437","(X)","2,530,260","±10,743","2,530,260","(X)","9,421,412","±21,122","9,421,412","(X)","930,980","±5,092","930,980","(X)","254,865","±3,016","254,865","(X)","3,106,895","±11,857","3,106,895","(X)","2,728,573","±8,477","2,728,573","(X)","734,536","±5,346","734,536","(X)","2,319,538","±7,046","2,319,538","(X)","228,937","±3,666","228,937","(X)","","","",""
"        Family households (families)","1,213,540","±13,821","65.7%","±0.6","163,800","±3,113","65.5%","±1.3","1,598,414","±13,914","64.9%","±0.5","761,494","±10,038","66.5%","±0.7","8,835,906","±26,617","68.5%","±0.2","1,331,861","±11,075","64.2%","±0.5","876,188","±9,056","65.2%","±0.6","235,385","±4,062","66.8%","±1.2","125,178","±3,853","44.4%","±1.4","4,806,611","±27,227","64.4%","±0.3","2,466,415","±18,717","67.5%","±0.4","309,386","±5,548","69.4%","±1.0","400,347","±7,093","67.0%","±1.0","3,099,463","±16,945","64.6%","±0.3","1,633,695","±12,071","65.0%","±0.4","796,799","±8,505","63.9%","±0.6","720,780","±8,954","64.8%","±0.7","1,131,839","±10,422","66.0%","±0.5","1,108,586","±12,393","63.8%","±0.6","342,926","±5,736","62.9%","±0.9","1,454,839","±12,340","66.8%","±0.5","1,613,404","±12,989","63.0%","±0.5","2,479,724","±12,956","64.3%","±0.3","1,383,950","±8,949","64.5%","±0.4","743,154","±9,829","67.3%","±0.7","1,519,299","±12,907","64.0%","±0.5","253,101","±4,477","61.0%","±1.0","469,797","±5,176","63.1%","±0.7","659,355","±8,822","63.3%","±0.8","341,473","±5,844","66.0%","±1.0","2,205,886","±15,078","69.2%","±0.4","485,404","±7,751","63.7%","±0.9","4,561,118","±19,602","63.1%","±0.2","2,506,215","±19,366","65.2%","±0.4","188,210","±4,539","60.0%","±1.2","2,922,095","±18,959","63.4%","±0.4","969,588","±7,423","66.1%","±0.4","978,396","±8,818","63.0%","±0.5","3,204,295","±17,133","64.7%","±0.3","250,262","±5,513","61.4%","±1.2","1,220,885","±10,113","65.7%","±0.5","217,013","±4,084","63.9%","±1.1","1,675,678","±13,165","66.2%","±0.4","6,520,909","±27,610","69.2%","±0.2","693,181","±7,268","74.5%","±0.7","152,379","±3,273","59.8%","±1.2","2,054,857","±14,080","66.1%","±0.4","1,760,593","±11,977","64.5%","±0.4","471,947","±7,328","64.3%","±0.9","1,469,666","±10,643","63.4%","±0.4","145,470","±3,828","63.5%","±1.6","","","",""
"            With own children of the householder under 18 years","486,977","±9,612","26.4%","±0.5","77,964","±3,627","31.2%","±1.4","665,587","±11,284","27.0%","±0.4","311,436","±6,515","27.2%","±0.5","3,973,103","±24,220","30.8%","±0.2","597,501","±8,075","28.8%","±0.4","365,594","±7,560","27.2%","±0.6","90,959","±3,132","25.8%","±0.9","54,494","±3,045","19.3%","±1.1","1,781,366","±20,658","23.9%","±0.2","1,097,585","±14,392","30.0%","±0.4","115,039","±4,353","25.8%","±0.9","175,338","±6,001","29.3%","±0.9","1,348,476","±13,517","28.1%","±0.3","702,854","±8,643","27.9%","±0.3","340,225","±6,236","27.3%","±0.5","324,072","±6,353","29.2%","±0.6","455,703","±8,470","26.6%","±0.5","471,898","±9,295","27.2%","±0.5","126,257","±4,876","23.2%","±0.8","629,970","±8,770","28.9%","±0.4","684,676","±9,870","26.7%","±0.4","1,004,689","±10,080","26.0%","±0.3","613,580","±5,837","28.6%","±0.3","308,522","±7,605","27.9%","±0.6","633,503","±9,850","26.7%","±0.4","99,864","±3,486","24.1%","±0.8","214,069","±3,640","28.8%","±0.5","282,664","±5,960","27.1%","±0.6","128,997","±4,086","24.9%","±0.8","966,402","±11,549","30.3%","±0.3","199,125","±6,580","26.1%","±0.8","1,918,562","±14,415","26.5%","±0.2","1,056,067","±14,798","27.5%","±0.3","82,326","±3,724","26.3%","±1.1","1,218,342","±12,930","26.4%","±0.3","417,301","±6,556","28.5%","±0.4","396,731","±7,880","25.5%","±0.5","1,252,169","±12,053","25.3%","±0.2","105,051","±3,524","25.8%","±0.8","475,168","±7,894","25.6%","±0.4","94,326","±3,072","27.8%","±0.8","675,024","±10,105","26.7%","±0.4","3,076,309","±24,459","32.7%","±0.2","346,662","±6,659","37.2%","±0.7","58,593","±2,492","23.0%","±0.9","882,330","±11,051","28.4%","±0.3","760,914","±9,039","27.9%","±0.3","172,703","±5,077","23.5%","±0.7","618,822","±7,551","26.7%","±0.3","63,698","±2,913","27.8%","±1.3","","","",""
"            Married-couple family","863,674","±10,996","46.8%","±0.5","120,348","±2,954","48.1%","±1.2","1,153,542","±12,996","46.8%","±0.5","561,297","±9,469","49.0%","±0.7","6,342,293","±25,212","49.2%","±0.2","1,038,040","±9,389","50.0%","±0.4","647,589","±8,615","48.2%","±0.6","170,416","±4,537","48.3%","±1.3","71,857","±3,518","25.5%","±1.3","3,444,776","±25,365","46.2%","±0.3","1,750,409","±17,468","47.9%","±0.4","232,451","±5,088","52.1%","±1.0","320,853","±6,864","53.7%","±1.0","2,285,540","±16,689","47.7%","±0.3","1,213,558","±13,038","48.3%","±0.5","628,004","±8,003","50.4%","±0.6","560,633","±8,937","50.4%","±0.7","828,120","±9,761","48.3%","±0.5","746,504","±12,668","43.0%","±0.7","264,442","±5,443","48.5%","±0.9","1,042,467","±11,521","47.9%","±0.5","1,188,714","±11,614","46.4%","±0.4","1,821,803","±13,146","47.2%","±0.3","1,091,358","±8,805","50.8%","±0.4","485,198","±9,184","43.9%","±0.7","1,137,014","±12,966","47.9%","±0.5","202,848","±4,604","48.9%","±1.1","369,426","±5,544","49.6%","±0.7","456,740","±8,221","43.8%","±0.7","268,944","±6,571","52.0%","±1.1","1,632,061","±12,432","51.2%","±0.4","341,876","±6,339","44.9%","±0.8","3,156,019","±19,016","43.6%","±0.3","1,829,450","±17,628","47.6%","±0.4","150,297","±4,137","47.9%","±1.2","2,123,886","±16,663","46.1%","±0.3","713,308","±6,686","48.7%","±0.4","749,945","±8,284","48.3%","±0.5","2,366,755","±17,690","47.8%","±0.3","174,967","±5,396","42.9%","±1.3","867,390","±11,066","46.7%","±0.6","170,511","±4,067","50.2%","±1.2","1,213,001","±13,040","47.9%","±0.5","4,709,478","±27,482","50.0%","±0.3","564,803","±7,857","60.7%","±0.8","123,509","±2,787","48.5%","±1.1","1,549,808","±15,128","49.9%","±0.4","1,363,817","±13,461","50.0%","±0.5","351,328","±7,077","47.8%","±0.9","1,137,483","±9,076","49.0%","±0.4","117,245","±3,074","51.2%","±1.3","","","",""
"                With own children of the householder under 18 years","306,591","±7,223","16.6%","±0.4","50,683","±3,115","20.3%","±1.3","426,411","±10,206","17.3%","±0.4","205,898","±6,112","18.0%","±0.5","2,783,907","±19,433","21.6%","±0.1","435,028","±7,158","21.0%","±0.3","248,839","±6,707","18.5%","±0.5","57,755","±3,036","16.4%","±0.8","27,840","±2,573","9.9%","±0.9","1,117,422","±15,136","15.0%","±0.2","714,312","±10,933","19.5%","±0.3","87,488","±3,905","19.6%","±0.9","126,719","±5,276","21.2%","±0.8","929,523","±11,802","19.4%","±0.2","465,663","±8,369","18.5%","±0.3","235,322","±4,990","18.9%","±0.4","228,023","±5,867","20.5%","±0.5","300,055","±7,835","17.5%","±0.4","278,801","±8,611","16.0%","±0.5","79,988","±3,779","14.7%","±0.7","429,625","±8,300","19.7%","±0.4","474,202","±8,849","18.5%","±0.3","658,920","±8,614","17.1%","±0.2","433,140","±5,756","20.2%","±0.3","175,460","±5,938","15.9%","±0.5","423,324","±9,145","17.8%","±0.4","70,742","±2,751","17.1%","±0.6","153,745","±3,360","20.7%","±0.5","176,363","±6,031","16.9%","±0.6","91,828","±3,768","17.7%","±0.7","695,182","±9,139","21.8%","±0.3","122,170","±5,484","16.0%","±0.7","1,261,456","±13,260","17.4%","±0.2","698,000","±11,505","18.2%","±0.3","58,631","±2,854","18.7%","±0.9","781,230","±10,569","17.0%","±0.2","274,692","±5,185","18.7%","±0.4","272,127","±6,952","17.5%","±0.4","830,337","±10,153","16.8%","±0.2","65,193","±2,975","16.0%","±0.7","299,238","±6,939","16.1%","±0.4","64,388","±2,766","19.0%","±0.8","438,614","±9,473","17.3%","±0.4","2,092,503","±23,518","22.2%","±0.2","278,527","±6,006","29.9%","±0.7","41,961","±2,169","16.5%","±0.8","620,930","±10,409","20.0%","±0.3","539,460","±7,543","19.8%","±0.3","112,219","±4,847","15.3%","±0.6","422,095","±6,409","18.2%","±0.3","45,664","±2,462","19.9%","±1.1","","","",""
"            Male householder, no wife present, family","78,239","±4,624","4.2%","±0.2","15,109","±1,531","6.0%","±0.6","137,228","±6,495","5.6%","±0.3","50,124","±3,872","4.4%","±0.3","776,561","±14,956","6.0%","±0.1","93,024","±5,026","4.5%","±0.2","58,006","±4,439","4.3%","±0.3","16,183","±2,010","4.6%","±0.6","10,834","±1,986","3.8%","±0.7","359,661","±9,304","4.8%","±0.1","167,389","±6,686","4.6%","±0.2","24,870","±2,264","5.6%","±0.5","23,327","±2,474","3.9%","±0.4","213,962","±8,031","4.5%","±0.2","118,626","±5,336","4.7%","±0.2","53,585","±3,832","4.3%","±0.3","50,370","±3,369","4.5%","±0.3","85,755","±4,498","5.0%","±0.3","85,963","±4,573","4.9%","±0.3","24,875","±2,100","4.6%","±0.4","108,262","±4,961","5.0%","±0.2","105,294","±4,620","4.1%","±0.2","182,054","±6,971","4.7%","±0.2","95,250","±4,478","4.4%","±0.2","56,528","±3,796","5.1%","±0.3","101,913","±5,324","4.3%","±0.2","15,601","±1,757","3.8%","±0.4","29,392","±2,525","3.9%","±0.3","63,463","±3,775","6.1%","±0.4","20,941","±2,652","4.0%","±0.5","156,240","±6,633","4.9%","±0.2","44,002","±3,266","5.8%","±0.4","359,454","±9,178","5.0%","±0.1","169,304","±7,131","4.4%","±0.2","13,606","±1,803","4.3%","±0.6","210,633","±6,938","4.6%","±0.1","77,752","±3,590","5.3%","±0.2","67,975","±4,569","4.4%","±0.3","228,064","±7,481","4.6%","±0.1","18,302","±2,244","4.5%","±0.6","81,853","±5,116","4.4%","±0.3","14,182","±1,576","4.2%","±0.5","119,587","±5,058","4.7%","±0.2","489,774","±13,166","5.2%","±0.1","39,778","±3,416","4.3%","±0.4","8,643","±1,195","3.4%","±0.5","135,352","±6,626","4.4%","±0.2","122,653","±5,882","4.5%","±0.2","35,814","±3,423","4.9%","±0.5","103,803","±4,627","4.5%","±0.2","11,821","±1,667","5.2%","±0.7","","","",""
"                With own children of the householder under 18 years","34,620","±3,285","1.9%","±0.2","9,074","±1,129","3.6%","±0.5","68,090","±4,773","2.8%","±0.2","26,535","±2,910","2.3%","±0.3","341,713","±9,953","2.6%","±0.1","48,969","±4,185","2.4%","±0.2","24,659","±2,935","1.8%","±0.2","7,329","±1,452","2.1%","±0.4","4,640","±1,348","1.6%","±0.5","161,212","±7,747","2.2%","±0.1","82,168","±5,341","2.2%","±0.1","8,608","±1,375","1.9%","±0.3","14,247","±2,145","2.4%","±0.4","96,151","±5,116","2.0%","±0.1","63,504","±3,963","2.5%","±0.2","32,674","±3,211","2.6%","±0.3","27,926","±2,859","2.5%","±0.3","40,838","±3,218","2.4%","±0.2","41,034","±3,414","2.4%","±0.2","14,660","±1,797","2.7%","±0.3","49,363","±3,740","2.3%","±0.2","41,242","±3,316","1.6%","±0.1","88,558","±4,691","2.3%","±0.1","54,527","±3,725","2.5%","±0.2","26,461","±2,938","2.4%","±0.3","53,060","±3,586","2.2%","±0.2","9,175","±1,281","2.2%","±0.3","16,165","±1,747","2.2%","±0.2","31,056","±2,882","3.0%","±0.3","9,555","±1,559","1.8%","±0.3","62,284","±4,853","2.0%","±0.2","22,394","±2,617","2.9%","±0.3","150,343","±6,199","2.1%","±0.1","84,853","±5,574","2.2%","±0.1","8,049","±1,514","2.6%","±0.5","106,872","±4,697","2.3%","±0.1","40,197","±2,567","2.7%","±0.2","33,439","±3,342","2.2%","±0.2","105,407","±5,157","2.1%","±0.1","7,918","±1,554","1.9%","±0.4","35,995","±3,558","1.9%","±0.2","8,857","±1,299","2.6%","±0.4","57,075","±3,574","2.3%","±0.1","230,641","±8,247","2.4%","±0.1","19,519","±2,142","2.1%","±0.2","5,219","±1,006","2.0%","±0.4","61,445","±4,837","2.0%","±0.2","65,042","±3,977","2.4%","±0.1","17,842","±2,450","2.4%","±0.3","59,877","±3,499","2.6%","±0.2","7,814","±1,550","3.4%","±0.7","","","",""
"            Female householder, no husband present, family","271,627","±7,672","14.7%","±0.4","28,343","±2,222","11.3%","±0.9","307,644","±6,566","12.5%","±0.3","150,073","±5,867","13.1%","±0.5","1,717,052","±18,681","13.3%","±0.1","200,797","±6,582","9.7%","±0.3","170,593","±5,524","12.7%","±0.4","48,786","±3,280","13.8%","±0.9","42,487","±3,001","15.1%","±1.1","1,002,174","±15,444","13.4%","±0.2","548,617","±11,400","15.0%","±0.3","52,065","±3,299","11.7%","±0.7","56,167","±3,803","9.4%","±0.6","599,961","±11,590","12.5%","±0.2","301,511","±7,398","12.0%","±0.3","115,210","±4,653","9.2%","±0.4","109,777","±3,834","9.9%","±0.3","217,964","±6,502","12.7%","±0.4","276,119","±9,145","15.9%","±0.5","53,609","±3,588","9.8%","±0.6","304,110","±8,052","14.0%","±0.4","319,396","±8,153","12.5%","±0.3","475,867","±7,986","12.3%","±0.2","197,342","±5,101","9.2%","±0.2","201,428","±6,800","18.2%","±0.6","280,372","±7,771","11.8%","±0.3","34,652","±2,586","8.4%","±0.6","70,979","±3,016","9.5%","±0.4","139,152","±5,053","13.4%","±0.5","51,588","±3,345","10.0%","±0.7","417,585","±10,005","13.1%","±0.3","99,526","±4,370","13.1%","±0.6","1,045,645","±14,537","14.5%","±0.2","507,461","±10,025","13.2%","±0.3","24,307","±2,875","7.8%","±0.9","587,576","±10,825","12.8%","±0.2","178,528","±4,176","12.2%","±0.3","160,476","±6,115","10.3%","±0.4","609,476","±9,965","12.3%","±0.2","56,993","±3,966","14.0%","±0.9","271,642","±7,702","14.6%","±0.4","32,320","±2,281","9.5%","±0.7","343,090","±8,249","13.6%","±0.3","1,321,657","±18,937","14.0%","±0.2","88,600","±4,379","9.5%","±0.5","20,227","±2,142","7.9%","±0.8","369,697","±7,979","11.9%","±0.3","274,123","±7,627","10.0%","±0.3","84,805","±3,628","11.5%","±0.5","228,380","±5,632","9.8%","±0.2","16,404","±1,723","7.2%","±0.7","","","",""
